L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,2.011,352.3,-54.8,64,2.342,1.624,30.6,1.016,2.778,88.9,1,2.16,5.871
0.9,1.993,437.6,-62.1,64,2.351,1.574,33.0,0.979,2.822,88.9,1,2.16,5.914
1.0,1.948,496.3,-68.68,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
1.1,1.948,554.8,-72.3,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
1.2,1.948,608.8,-75.54,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
1.3,1.948,656.6,-78.43,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
1.4,1.948,696.4,-81.0,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
1.5,1.948,726.9,-83.29,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
1.6,1.948,746.9,-85.32,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
1.7,1.948,755.9,-87.12,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
1.8,1.948,753.5,-88.72,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
1.9,1.948,740.0,-90.14,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.0,1.948,715.9,-91.38,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.1,1.948,682.3,-92.49,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.2,1.948,640.4,-93.46,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.3,1.948,591.8,-94.31,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.4,1.948,538.2,-95.06,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.5,1.948,481.2,-95.72,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.6,1.948,422.6,-96.3,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.7,1.948,363.9,-96.8,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.8,1.948,306.7,-97.24,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
2.9,1.948,251.9,-97.63,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
3.0,1.948,200.7,-97.96,64,2.319,1.516,34.6,0.95,2.86,88.9,1,2.16,5.929
