mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,8.2734,0.0001,8.2732,65866.42,-1.19,4.2527,4.2525,100
return_noise,0.003,8.2734,0.0002,8.2729,65866.04,-1.19,4.2527,4.2524,100
return_noise,0.005,8.2735,0.0003,8.2727,65866.38,-1.19,4.2527,4.2523,100
return_noise,0.01,8.2734,0.0009,8.2715,65867.21,-1.19,4.2526,4.2517,100
signal_shuffle,0.02,1.9494,0.0511,1.7415,500.43,-68.46,1.002,0.8952,100
signal_shuffle,0.05,1.9439,0.1082,1.6467,499.41,-68.17,0.9992,0.8464,100
signal_shuffle,0.1,1.9509,0.1528,1.4739,513.15,-68.2,1.0028,0.7576,100
signal_shuffle,0.2,1.9438,0.2273,1.3207,524.22,-67.29,0.9991,0.6789,100
ranking_noise,0.02,1.9224,0.1017,1.6185,491.63,-67.41,0.9881,0.8319,100
ranking_noise,0.05,1.9593,0.2106,1.5367,556.93,-67.08,1.0071,0.7899,100
ranking_noise,0.1,1.8994,0.2508,1.3394,529.32,-66.56,0.9763,0.6885,100
