trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
0,1.054791,-0.971847,1.096504,7,-675,1.366693,6,1.947900,528.770000,-70.714000,7.478000,0.950000
1,1.057213,-0.879550,0.975265,5,-1340,1.103941,6,1.947900,530.190000,-70.801000,7.488000,0.950000
2,0.988683,-0.908990,1.006212,5,-1261,1.094278,6,1.947900,489.450000,-68.241000,7.172000,0.950000
3,0.970905,-1.129797,1.186287,8,-755,0.963643,3,1.947900,478.670000,-67.544000,7.087000,0.950000
4,0.930858,-1.044366,1.096584,10,-860,0.887404,5,1.938000,441.800000,-63.760000,6.929000,1.005100
5,0.937894,-0.880087,0.982784,5,-1135,0.940224,6,1.947900,458.500000,-66.214000,6.925000,0.950000
6,1.040053,-0.934273,1.088681,8,-909,0.822356,6,1.947900,520.120000,-70.178000,7.411000,0.950000
7,0.927950,-0.900873,0.945916,8,-1131,1.152491,6,1.947900,452.390000,-65.803000,6.875000,0.950000
8,0.991783,-1.010416,1.060937,5,-1134,0.967108,5,1.947900,491.320000,-68.361000,7.187000,0.950000
9,1.053000,-1.030011,1.081512,6,-842,0.618408,5,1.947900,527.730000,-70.649000,7.470000,0.950000
10,0.942917,-0.962833,1.094961,5,-646,0.816856,4,1.947900,461.580000,-66.419000,6.949000,0.950000
11,1.032383,-1.006939,1.074318,7,-924,1.238704,4,1.947900,515.590000,-69.896000,7.377000,0.950000
12,0.904542,-0.868244,1.056041,5,-728,0.990827,4,1.947900,437.950000,-64.818000,6.757000,0.950000
13,1.039264,-0.974008,1.022709,5,-1103,0.880556,3,1.947900,519.660000,-70.150000,7.408000,0.950000
14,0.923601,-1.127184,1.183543,7,-812,1.361588,6,1.947900,449.710000,-65.622000,6.853000,0.950000
15,1.043378,-0.974960,1.023708,5,-1321,0.954975,4,1.947900,522.080000,-70.300000,7.426000,0.950000
16,0.961191,-1.013528,1.064205,9,-1206,1.163815,5,1.947900,472.760000,-67.158000,7.039000,0.950000
