surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,2.5632,3,4.69,3,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,2.6306,2,3.12,2,False,Thin plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,2.6711,1,1.56,1,False,Single-cell peak | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.95,2.2109,10,5.56,10,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,2.2691,9,5.0,9,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,2.304,1,0.56,1,False,Single-cell peak | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,1.8505,108,100.0,108,True,Robust plateau | baseline inside
lbase_lhigh,L_BASE,L_HIGH,0.975,1.8992,108,100.0,108,True,Robust plateau | baseline inside
lbase_lhigh,L_BASE,L_HIGH,0.99,1.9284,108,100.0,108,True,Robust plateau | baseline inside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,2.1692,22,11.11,22,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,2.2263,11,5.56,11,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,2.2606,11,5.56,11,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,1.9047,72,90.0,72,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,1.9549,16,20.0,16,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,1.9849,16,20.0,16,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,1.9047,9,90.0,9,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,1.9549,2,20.0,2,False,Thin plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,1.9849,2,20.0,2,False,Thin plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,1.8505,10,100.0,10,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,1.8992,10,100.0,10,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,1.9284,10,100.0,10,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,1.8505,12,100.0,12,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,1.8992,12,100.0,12,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,1.9284,12,100.0,12,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,2.1581,18,25.71,7,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,2.2149,2,2.86,2,False,Thin plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,2.249,1,1.43,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,,0,,0,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,,0,,0,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,,0,,0,False,Single-cell peak | baseline outside
