shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,1.9455,496.27,-68.678,0.0,0.0,True
-10.0,1,1.9081,467.81,-70.304,-0.0374,-1.627,False
-10.0,3,1.7599,366.33,-76.042,-0.1856,-7.364,False
-10.0,5,1.5946,273.3,-81.203,-0.3509,-12.525,False
-20.0,1,1.8259,409.67,-73.604,-0.1196,-4.926,False
-20.0,3,1.5224,237.25,-83.174,-0.4231,-14.496,False
-20.0,5,1.2133,117.52,-89.569,-0.7322,-20.891,False
-30.0,1,1.7367,350.93,-76.903,-0.2088,-8.226,False
-30.0,3,1.2787,133.56,-88.728,-0.6667,-20.05,False
-30.0,5,0.842,17.92,-94.65,-1.1035,-25.972,False
-40.0,1,1.6422,291.48,-80.203,-0.3033,-11.525,False
-40.0,3,1.0398,52.83,-92.901,-0.9057,-24.224,False
-40.0,5,0.5007,-41.84,-97.525,-1.4447,-28.847,False
