L_BASE,L_HIGH,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.0,0.8,1.0,2.0837,290.24,-44.904,6.464,1.0688,False
0.0,0.8,2.0,1.9479,373.24,-60.098,6.211,0.95,False
0.0,0.8,2.5,1.9479,373.24,-60.098,6.211,0.95,False
0.0,0.8,3.0,1.9479,373.24,-60.098,6.211,0.95,False
0.0,0.9,1.0,2.0837,344.46,-48.964,7.035,1.0688,False
0.0,0.9,2.0,1.9479,435.15,-64.624,6.733,0.95,False
0.0,0.9,2.5,1.9479,435.15,-64.624,6.733,0.95,False
0.0,0.9,3.0,1.9479,435.15,-64.624,6.733,0.95,False
0.0,1.0,1.0,2.0837,402.0,-52.747,7.621,1.0688,False
0.0,1.0,2.0,1.9479,496.27,-68.678,7.226,0.95,True
0.0,1.0,2.5,1.9479,496.27,-68.678,7.226,0.95,False
0.0,1.0,3.0,1.9479,496.27,-68.678,7.226,0.95,False
0.0,1.1,1.0,2.0837,462.36,-56.269,8.217,1.0688,False
0.0,1.1,2.0,1.9479,554.78,-72.302,7.673,0.95,False
0.0,1.1,2.5,1.9479,554.78,-72.302,7.673,0.95,False
0.0,1.1,3.0,1.9479,554.78,-72.302,7.673,0.95,False
0.0,1.2,1.0,2.0837,524.9,-59.548,8.815,1.0688,False
0.0,1.2,2.0,1.9479,608.82,-75.54,8.06,0.95,False
0.0,1.2,2.5,1.9479,608.82,-75.54,8.06,0.95,False
0.0,1.2,3.0,1.9479,608.82,-75.54,8.06,0.95,False
0.0,1.3,1.0,2.0837,588.9,-62.598,9.408,1.0688,False
0.0,1.3,2.0,1.9479,656.58,-78.427,8.372,0.95,False
0.0,1.3,2.5,1.9479,656.58,-78.427,8.372,0.95,False
0.0,1.3,3.0,1.9479,656.58,-78.427,8.372,0.95,False
0.0,1.4,1.0,2.0837,653.52,-65.435,9.987,1.0688,False
0.0,1.4,2.0,1.9479,696.4,-80.999,8.598,0.95,False
0.0,1.4,2.5,1.9479,696.4,-80.999,8.598,0.95,False
0.0,1.4,3.0,1.9479,696.4,-80.999,8.598,0.95,False
0.0,1.5,1.0,2.0837,717.87,-68.072,10.546,1.0688,False
0.0,1.5,2.0,1.9479,726.87,-83.287,8.727,0.95,False
0.0,1.5,2.5,1.9479,726.87,-83.287,8.727,0.95,False
0.0,1.5,3.0,1.9479,726.87,-83.287,8.727,0.95,False
0.0,1.6,1.0,2.0837,780.97,-70.521,11.074,1.0688,False
0.0,1.6,2.0,1.9479,746.94,-85.32,8.755,0.95,False
0.0,1.6,2.5,1.9479,746.94,-85.32,8.755,0.95,False
0.0,1.6,3.0,1.9479,746.94,-85.32,8.755,0.95,False
0.0,1.7,1.0,2.0837,841.83,-72.796,11.564,1.0688,False
0.0,1.7,2.0,1.9479,755.91,-87.124,8.676,0.95,False
0.0,1.7,2.5,1.9479,755.91,-87.124,8.676,0.95,False
0.0,1.7,3.0,1.9479,755.91,-87.124,8.676,0.95,False
0.0,1.8,1.0,2.0837,899.45,-74.908,12.007,1.0688,False
0.0,1.8,2.0,1.9479,753.54,-88.722,8.493,0.95,False
0.0,1.8,2.5,1.9479,753.54,-88.722,8.493,0.95,False
0.0,1.8,3.0,1.9479,753.54,-88.722,8.493,0.95,False
0.0,2.0,1.0,2.0837,1001.1,-78.683,12.723,1.0688,False
0.0,2.0,2.0,1.9479,715.95,-91.385,7.834,0.95,False
0.0,2.0,2.5,1.9479,715.95,-91.385,7.834,0.95,False
0.0,2.0,3.0,1.9479,715.95,-91.385,7.834,0.95,False
0.5,0.8,1.0,2.0837,290.24,-44.904,6.464,1.0688,False
0.5,0.8,2.0,1.9479,373.24,-60.098,6.211,0.95,False
0.5,0.8,2.5,1.9479,373.24,-60.098,6.211,0.95,False
0.5,0.8,3.0,1.9479,373.24,-60.098,6.211,0.95,False
0.5,0.9,1.0,2.0837,344.46,-48.964,7.035,1.0688,False
0.5,0.9,2.0,1.9479,435.15,-64.624,6.733,0.95,False
0.5,0.9,2.5,1.9479,435.15,-64.624,6.733,0.95,False
0.5,0.9,3.0,1.9479,435.15,-64.624,6.733,0.95,False
0.5,1.0,1.0,2.0837,402.0,-52.747,7.621,1.0688,False
0.5,1.0,2.0,1.9479,496.27,-68.678,7.226,0.95,False
0.5,1.0,2.5,1.9479,496.27,-68.678,7.226,0.95,False
0.5,1.0,3.0,1.9479,496.27,-68.678,7.226,0.95,False
0.5,1.1,1.0,2.0837,462.36,-56.269,8.217,1.0688,False
0.5,1.1,2.0,1.9479,554.78,-72.302,7.673,0.95,False
0.5,1.1,2.5,1.9479,554.78,-72.302,7.673,0.95,False
0.5,1.1,3.0,1.9479,554.78,-72.302,7.673,0.95,False
0.5,1.2,1.0,2.0837,524.9,-59.548,8.815,1.0688,False
0.5,1.2,2.0,1.9479,608.82,-75.54,8.06,0.95,False
0.5,1.2,2.5,1.9479,608.82,-75.54,8.06,0.95,False
0.5,1.2,3.0,1.9479,608.82,-75.54,8.06,0.95,False
0.5,1.3,1.0,2.0837,588.9,-62.598,9.408,1.0688,False
0.5,1.3,2.0,1.9479,656.58,-78.427,8.372,0.95,False
0.5,1.3,2.5,1.9479,656.58,-78.427,8.372,0.95,False
0.5,1.3,3.0,1.9479,656.58,-78.427,8.372,0.95,False
0.5,1.4,1.0,2.0837,653.52,-65.435,9.987,1.0688,False
0.5,1.4,2.0,1.9479,696.4,-80.999,8.598,0.95,False
0.5,1.4,2.5,1.9479,696.4,-80.999,8.598,0.95,False
0.5,1.4,3.0,1.9479,696.4,-80.999,8.598,0.95,False
0.5,1.5,1.0,2.0837,717.87,-68.072,10.546,1.0688,False
0.5,1.5,2.0,1.9479,726.87,-83.287,8.727,0.95,False
0.5,1.5,2.5,1.9479,726.87,-83.287,8.727,0.95,False
0.5,1.5,3.0,1.9479,726.87,-83.287,8.727,0.95,False
0.5,1.6,1.0,2.0837,780.97,-70.521,11.074,1.0688,False
0.5,1.6,2.0,1.9479,746.94,-85.32,8.755,0.95,False
0.5,1.6,2.5,1.9479,746.94,-85.32,8.755,0.95,False
0.5,1.6,3.0,1.9479,746.94,-85.32,8.755,0.95,False
0.5,1.7,1.0,2.0837,841.83,-72.796,11.564,1.0688,False
0.5,1.7,2.0,1.9479,755.91,-87.124,8.676,0.95,False
0.5,1.7,2.5,1.9479,755.91,-87.124,8.676,0.95,False
0.5,1.7,3.0,1.9479,755.91,-87.124,8.676,0.95,False
0.5,1.8,1.0,2.0837,899.45,-74.908,12.007,1.0688,False
0.5,1.8,2.0,1.9479,753.54,-88.722,8.493,0.95,False
0.5,1.8,2.5,1.9479,753.54,-88.722,8.493,0.95,False
0.5,1.8,3.0,1.9479,753.54,-88.722,8.493,0.95,False
0.5,2.0,1.0,2.0837,1001.1,-78.683,12.723,1.0688,False
0.5,2.0,2.0,1.9479,715.95,-91.385,7.834,0.95,False
0.5,2.0,2.5,1.9479,715.95,-91.385,7.834,0.95,False
0.5,2.0,3.0,1.9479,715.95,-91.385,7.834,0.95,False
1.0,1.1,1.0,2.0837,462.36,-56.269,8.217,1.0688,False
1.0,1.1,2.0,1.9479,554.78,-72.302,7.673,0.95,False
1.0,1.1,2.5,1.9479,554.78,-72.302,7.673,0.95,False
1.0,1.1,3.0,1.9479,554.78,-72.302,7.673,0.95,False
1.0,1.2,1.0,2.0837,524.9,-59.548,8.815,1.0688,False
1.0,1.2,2.0,1.9479,608.82,-75.54,8.06,0.95,False
1.0,1.2,2.5,1.9479,608.82,-75.54,8.06,0.95,False
1.0,1.2,3.0,1.9479,608.82,-75.54,8.06,0.95,False
1.0,1.3,1.0,2.0837,588.9,-62.598,9.408,1.0688,False
1.0,1.3,2.0,1.9479,656.58,-78.427,8.372,0.95,False
1.0,1.3,2.5,1.9479,656.58,-78.427,8.372,0.95,False
1.0,1.3,3.0,1.9479,656.58,-78.427,8.372,0.95,False
1.0,1.4,1.0,2.0837,653.52,-65.435,9.987,1.0688,False
1.0,1.4,2.0,1.9479,696.4,-80.999,8.598,0.95,False
1.0,1.4,2.5,1.9479,696.4,-80.999,8.598,0.95,False
1.0,1.4,3.0,1.9479,696.4,-80.999,8.598,0.95,False
1.0,1.5,1.0,2.0837,717.87,-68.072,10.546,1.0688,False
1.0,1.5,2.0,1.9479,726.87,-83.287,8.727,0.95,False
1.0,1.5,2.5,1.9479,726.87,-83.287,8.727,0.95,False
1.0,1.5,3.0,1.9479,726.87,-83.287,8.727,0.95,False
1.0,1.6,1.0,2.0837,780.97,-70.521,11.074,1.0688,False
1.0,1.6,2.0,1.9479,746.94,-85.32,8.755,0.95,False
1.0,1.6,2.5,1.9479,746.94,-85.32,8.755,0.95,False
1.0,1.6,3.0,1.9479,746.94,-85.32,8.755,0.95,False
1.0,1.7,1.0,2.0837,841.83,-72.796,11.564,1.0688,False
1.0,1.7,2.0,1.9479,755.91,-87.124,8.676,0.95,False
1.0,1.7,2.5,1.9479,755.91,-87.124,8.676,0.95,False
1.0,1.7,3.0,1.9479,755.91,-87.124,8.676,0.95,False
1.0,1.8,1.0,2.0837,899.45,-74.908,12.007,1.0688,False
1.0,1.8,2.0,1.9479,753.54,-88.722,8.493,0.95,False
1.0,1.8,2.5,1.9479,753.54,-88.722,8.493,0.95,False
1.0,1.8,3.0,1.9479,753.54,-88.722,8.493,0.95,False
1.0,2.0,1.0,2.0837,1001.1,-78.683,12.723,1.0688,False
1.0,2.0,2.0,1.9479,715.95,-91.385,7.834,0.95,False
1.0,2.0,2.5,1.9479,715.95,-91.385,7.834,0.95,False
1.0,2.0,3.0,1.9479,715.95,-91.385,7.834,0.95,False
