drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,1.746,242.0,-50.16,305,93,0.938,2.589,88.9,1
0.023,1.4,1.944,326.1,-53.64,314,84,0.946,2.75,88.9,1
0.024,1.4,1.822,279.6,-53.64,316,82,0.995,2.53,88.9,1
0.025,1.4,1.815,277.0,-53.64,317,81,1.003,2.516,88.9,1
0.026,1.4,1.841,286.7,-52.34,318,80,1.008,2.552,88.9,1
0.027,1.4,1.78,265.2,-52.34,323,75,1.061,2.439,88.9,1
0.028,1.4,1.78,265.2,-52.34,323,75,1.061,2.439,88.9,1
0.029,1.4,1.831,284.8,-52.34,325,73,1.099,2.519,88.9,1
0.03,1.4,1.979,347.3,-52.34,327,71,1.082,2.618,88.9,1
0.031,1.4,1.971,343.9,-52.75,328,70,1.082,2.618,88.9,1
0.032,1.4,1.994,354.2,-52.75,329,69,1.082,2.618,88.9,1
0.033,1.4,2.002,358.3,-52.75,331,67,1.082,2.618,88.9,1
0.034,1.4,2.002,358.3,-52.75,331,67,1.082,2.618,88.9,1
0.035,1.4,2.002,358.3,-52.75,331,67,1.082,2.618,88.9,1
0.04,1.4,2.084,402.0,-52.75,334,64,1.069,2.69,88.9,1
