Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0842,0.107,-0.1142,0.0285,368,yes
Sharpe,level,1,-0.1425,0.0062,-0.1087,0.0371,368,yes
CAGR%,level,1,-0.0682,0.192,-0.1024,0.0496,368,yes
AvgDailyRet%,level,1,-0.1149,0.0276,-0.0983,0.0596,368,
Sortino,level,1,0.0094,0.8579,-0.0429,0.4123,368,
Sharpe,delta,1,0.07,0.1808,0.0237,0.6512,367,
CAGR%,delta,1,-0.0034,0.9488,-0.0164,0.7537,367,
AvgDailyRet%,delta,1,0.0388,0.4581,-0.013,0.8044,367,
Sortino,delta,1,0.0056,0.9149,-0.0089,0.8654,367,
Calmar,delta,1,-0.0225,0.6673,-0.0014,0.9792,367,
Sharpe,level,3,-0.2854,0.0,-0.1497,0.0041,366,yes
Calmar,level,3,-0.1125,0.0314,-0.149,0.0043,366,yes
CAGR%,level,3,-0.099,0.0584,-0.1399,0.0074,366,yes
AvgDailyRet%,level,3,-0.2186,0.0,-0.1337,0.0105,366,yes
Sortino,level,3,-0.0228,0.6641,-0.058,0.2684,366,
Sharpe,delta,3,0.0475,0.3652,0.029,0.5804,365,
AvgDailyRet%,delta,3,0.0246,0.6391,0.0241,0.646,365,
Sortino,delta,3,0.0415,0.429,0.0223,0.6705,365,
CAGR%,delta,3,-0.039,0.4578,-0.0158,0.7629,365,
Calmar,delta,3,-0.0558,0.2874,-0.0089,0.8653,365,
Calmar,level,5,-0.1128,0.0315,-0.1921,0.0002,364,yes
CAGR%,level,5,-0.1031,0.0493,-0.1886,0.0003,364,yes
Sharpe,level,5,-0.3718,0.0,-0.1856,0.0004,364,yes
AvgDailyRet%,level,5,-0.2814,0.0,-0.1838,0.0004,364,yes
Sortino,level,5,-0.0796,0.1295,-0.0989,0.0594,364,
Sortino,delta,5,0.0748,0.155,-0.036,0.4939,363,
Calmar,delta,5,-0.0477,0.3652,-0.0313,0.5528,363,
CAGR%,delta,5,-0.0322,0.5405,-0.0243,0.6448,363,
Sharpe,delta,5,-0.0044,0.9327,0.0099,0.8516,363,
AvgDailyRet%,delta,5,0.007,0.8939,-0.0054,0.9186,363,
