Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,0.0849,0.0952,0.0674,0.1856,387,
AvgDailyRet%,delta,1,0.0106,0.8357,0.0328,0.5195,387,
CAGR%,delta,1,0.0615,0.2276,0.0252,0.6209,387,
Sortino,level,1,0.0093,0.8547,0.0242,0.6346,388,
Calmar,level,1,-0.0524,0.4446,0.0062,0.9277,215,
Calmar,delta,1,-0.0425,0.5366,0.0039,0.9544,214,
CAGR%,level,1,-0.0608,0.2321,-0.0035,0.9456,388,
AvgDailyRet%,level,1,-0.05,0.3261,-0.0027,0.9583,388,
Sharpe,level,1,-0.0335,0.559,0.0018,0.9747,306,
Sharpe,delta,1,-0.009,0.8761,-0.0011,0.9847,305,
Sortino,delta,3,0.0239,0.6405,0.0737,0.1487,385,
AvgDailyRet%,delta,3,-0.0205,0.6882,0.0656,0.1991,385,
CAGR%,delta,3,-0.0593,0.2461,0.0613,0.2298,385,
Sharpe,delta,3,0.0227,0.6939,0.0577,0.3168,303,
Calmar,level,3,-0.0525,0.4436,0.0466,0.4964,215,
Calmar,delta,3,-0.0238,0.7292,0.034,0.6206,214,
Sortino,level,3,-0.031,0.5431,0.024,0.6376,386,
AvgDailyRet%,level,3,-0.0885,0.0826,-0.0162,0.7516,386,
CAGR%,level,3,-0.1702,0.0008,-0.0152,0.7656,386,
Sharpe,level,3,-0.0913,0.1123,0.0083,0.8854,304,
AvgDailyRet%,level,5,-0.1012,0.0475,-0.0832,0.1036,384,
CAGR%,level,5,-0.0933,0.0679,-0.081,0.1132,384,
Sharpe,level,5,-0.1378,0.0166,-0.0569,0.3243,302,
Sharpe,delta,5,0.0219,0.7051,0.0495,0.3917,301,
Sortino,level,5,-0.0445,0.3841,-0.0468,0.3609,384,
AvgDailyRet%,delta,5,0.0037,0.9418,0.0442,0.3879,383,
Calmar,delta,5,-0.018,0.7939,0.0323,0.6389,214,
CAGR%,delta,5,-0.0779,0.1283,0.0308,0.5479,383,
Sortino,delta,5,0.0193,0.7071,0.022,0.668,383,
Calmar,level,5,-0.0662,0.3339,-0.0157,0.8191,215,
