date,type,start_usd,margin_usd,lev,invested_usd,trade_vol_usd,taker_fee_usd,funding_usd,end_usd,ret_gross_pct,ret_net_pct,net_pnl_usd
2025-02-13,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-14,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-15,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-16,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-17,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-18,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-19,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-20,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-21,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-22,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-23,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-24,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-25,flat,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-26,active,100000.0,100000.0,1.1,110000.0,220000.0,88.0,22.0,109619.5,9.7295,9.6195,9619.5
2025-02-27,flat,109619.5,0.0,0.0,0.0,0.0,0.0,0.0,109619.5,0.0,0.0,0.0
2025-02-28,active,109619.5,109619.5,1.1,120581.45,241162.9,96.4652,24.1163,110746.94,1.1385,1.0285,1127.44
2025-03-01,no_entry,110746.94,0.0,0.0,0.0,0.0,0.0,0.0,110746.94,0.0,0.0,0.0
2025-03-02,no_entry,110746.94,0.0,0.0,0.0,0.0,0.0,0.0,110746.94,0.0,0.0,0.0
2025-03-03,flat,110746.94,0.0,0.0,0.0,0.0,0.0,0.0,110746.94,0.0,0.0,0.0
