date,type,start_usd,margin_usd,lev,invested_usd,trade_vol_usd,taker_fee_usd,funding_usd,end_usd,ret_gross_pct,ret_net_pct,net_pnl_usd
2025-02-13,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-14,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-15,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-16,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-17,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-18,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-19,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-20,active,10000.0,10000.0,1.2,12000.0,24000.0,9.6,2.4,11471.5,14.835,14.715,1471.5
2025-02-21,active,11471.5,11471.5,1.2,13765.8,27531.6,11.0126,2.7532,10724.36,-6.393,-6.513,-747.14
2025-02-22,no_entry,10724.36,0.0,0.0,0.0,0.0,0.0,0.0,10724.36,0.0,0.0,0.0
2025-02-23,no_entry,10724.36,0.0,0.0,0.0,0.0,0.0,0.0,10724.36,0.0,0.0,0.0
2025-02-24,no_entry,10724.36,0.0,0.0,0.0,0.0,0.0,0.0,10724.36,0.0,0.0,0.0
2025-02-25,no_entry,10724.36,0.0,0.0,0.0,0.0,0.0,0.0,10724.36,0.0,0.0,0.0
2025-02-26,active,10724.36,10724.36,1.2,12869.23,25738.47,10.2954,2.5738,11849.78,10.614,10.494,1125.41
2025-02-27,no_entry,11849.78,0.0,0.0,0.0,0.0,0.0,0.0,11849.78,0.0,0.0,0.0
2025-02-28,active,11849.78,11849.78,1.2,14219.73,28439.46,11.3758,2.8439,11982.73,1.242,1.122,132.95
2025-03-01,no_entry,11982.73,0.0,0.0,0.0,0.0,0.0,0.0,11982.73,0.0,0.0,0.0
2025-03-02,no_entry,11982.73,0.0,0.0,0.0,0.0,0.0,0.0,11982.73,0.0,0.0,0.0
2025-03-03,no_entry,11982.73,0.0,0.0,0.0,0.0,0.0,0.0,11982.73,0.0,0.0,0.0
2025-03-04,active,11982.73,11982.73,1.2,14379.28,28758.55,11.5034,2.8759,11798.68,-1.416,-1.536,-184.05
2025-03-05,no_entry,11798.68,0.0,0.0,0.0,0.0,0.0,0.0,11798.68,0.0,0.0,0.0
2025-03-06,no_entry,11798.68,0.0,0.0,0.0,0.0,0.0,0.0,11798.68,0.0,0.0,0.0
2025-03-07,active,11798.68,11798.68,1.2,14158.41,28316.82,11.3267,2.8317,11563.29,-1.875,-1.995,-235.38
2025-03-08,active,11563.29,11563.29,1.2,13875.95,27751.9,11.1008,2.7752,10649.56,-7.782,-7.902,-913.73
2025-03-09,no_entry,10649.56,0.0,0.0,0.0,0.0,0.0,0.0,10649.56,0.0,0.0,0.0
2025-03-10,no_entry,10649.56,0.0,0.0,0.0,0.0,0.0,0.0,10649.56,0.0,0.0,0.0
2025-03-11,no_entry,10649.56,0.0,0.0,0.0,0.0,0.0,0.0,10649.56,0.0,0.0,0.0
2025-03-12,active,10649.56,10649.56,1.2,12779.47,25558.95,10.2236,2.5559,11131.67,4.647,4.527,482.11
2025-03-13,no_entry,11131.67,0.0,0.0,0.0,0.0,0.0,0.0,11131.67,0.0,0.0,0.0
2025-03-14,active,11131.67,11131.67,1.2,13358.0,26716.0,10.6864,2.6716,11283.95,1.488,1.368,152.28
2025-03-15,active,11283.95,11283.95,1.5675,17687.44,35374.89,14.15,3.5375,12720.61,12.8887,12.7319,1436.66
2025-03-16,no_entry,12720.61,0.0,0.0,0.0,0.0,0.0,0.0,12720.61,0.0,0.0,0.0
2025-03-17,no_entry,12720.61,0.0,0.0,0.0,0.0,0.0,0.0,12720.61,0.0,0.0,0.0
2025-03-18,no_entry,12720.61,0.0,0.0,0.0,0.0,0.0,0.0,12720.61,0.0,0.0,0.0
2025-03-19,no_entry,12720.61,0.0,0.0,0.0,0.0,0.0,0.0,12720.61,0.0,0.0,0.0
2025-03-20,active,12720.61,12720.61,1.2,15264.73,30529.46,12.2118,3.0529,12646.19,-0.465,-0.585,-74.42
2025-03-21,no_entry,12646.19,0.0,0.0,0.0,0.0,0.0,0.0,12646.19,0.0,0.0,0.0
2025-03-22,no_entry,12646.19,0.0,0.0,0.0,0.0,0.0,0.0,12646.19,0.0,0.0,0.0
2025-03-23,active,12646.19,12646.19,1.7989,22749.17,45498.35,18.1993,4.5498,11741.91,-6.9707,-7.1506,-904.28
2025-03-24,active,11741.91,11741.91,1.9241,22592.16,45184.31,18.0737,4.5184,10339.51,-11.7512,-11.9436,-1402.41
2025-03-25,no_entry,10339.51,0.0,0.0,0.0,0.0,0.0,0.0,10339.51,0.0,0.0,0.0
2025-03-26,active,10339.51,10339.51,2.4,24814.82,49629.63,19.8519,4.963,9928.2,-3.738,-3.978,-411.31
2025-03-27,no_entry,9928.2,0.0,0.0,0.0,0.0,0.0,0.0,9928.2,0.0,0.0,0.0
2025-03-28,no_entry,9928.2,0.0,0.0,0.0,0.0,0.0,0.0,9928.2,0.0,0.0,0.0
2025-03-29,active,9928.2,9928.2,2.4,23827.68,47655.37,19.0621,4.7655,9337.27,-5.712,-5.952,-590.93
2025-03-30,active,9337.27,9337.27,2.4,22409.46,44818.92,17.9276,4.4819,9322.15,0.078,-0.162,-15.13
2025-03-31,no_entry,9322.15,0.0,0.0,0.0,0.0,0.0,0.0,9322.15,0.0,0.0,0.0
2025-04-01,active,9322.15,9322.15,2.4,22373.16,44746.31,17.8985,4.4746,8688.99,-6.552,-6.792,-633.16
2025-04-02,active,8688.99,8688.99,2.4,20853.57,41707.14,16.6829,4.1707,8885.53,2.502,2.262,196.54
2025-04-03,active,8885.53,8885.53,2.4,21325.28,42650.56,17.0602,4.2651,9434.66,6.42,6.18,549.13
2025-04-04,no_entry,9434.66,0.0,0.0,0.0,0.0,0.0,0.0,9434.66,0.0,0.0,0.0
2025-04-05,active,9434.66,9434.66,2.4,22643.18,45286.36,18.1145,4.5286,9696.19,3.012,2.772,261.53
2025-04-06,no_entry,9696.19,0.0,0.0,0.0,0.0,0.0,0.0,9696.19,0.0,0.0,0.0
2025-04-07,no_entry,9696.19,0.0,0.0,0.0,0.0,0.0,0.0,9696.19,0.0,0.0,0.0
2025-04-08,no_entry,9696.19,0.0,0.0,0.0,0.0,0.0,0.0,9696.19,0.0,0.0,0.0
2025-04-09,no_entry,9696.19,0.0,0.0,0.0,0.0,0.0,0.0,9696.19,0.0,0.0,0.0
2025-04-10,active,9696.19,9696.19,2.4,23270.85,46541.7,18.6167,4.6542,9329.09,-3.546,-3.786,-367.1
2025-04-11,no_entry,9329.09,0.0,0.0,0.0,0.0,0.0,0.0,9329.09,0.0,0.0,0.0
2025-04-12,active,9329.09,9329.09,2.4,22389.82,44779.63,17.9119,4.478,11179.61,20.076,19.836,1850.52
2025-04-13,active,11179.61,11179.61,2.4,26831.06,53662.12,21.4648,5.3662,10842.88,-2.772,-3.012,-336.73
2025-04-14,no_entry,10842.88,0.0,0.0,0.0,0.0,0.0,0.0,10842.88,0.0,0.0,0.0
2025-04-15,no_entry,10842.88,0.0,0.0,0.0,0.0,0.0,0.0,10842.88,0.0,0.0,0.0
2025-04-16,no_entry,10842.88,0.0,0.0,0.0,0.0,0.0,0.0,10842.88,0.0,0.0,0.0
2025-04-17,active,10842.88,10842.88,2.4,26022.91,52045.82,20.8183,5.2046,12540.22,15.894,15.654,1697.34
2025-04-18,no_entry,12540.22,0.0,0.0,0.0,0.0,0.0,0.0,12540.22,0.0,0.0,0.0
2025-04-19,active,12540.22,12540.22,2.4,30096.53,60193.07,24.0772,6.0193,14832.07,18.516,18.276,2291.85
2025-04-20,no_entry,14832.07,0.0,0.0,0.0,0.0,0.0,0.0,14832.07,0.0,0.0,0.0
2025-04-21,no_entry,14832.07,0.0,0.0,0.0,0.0,0.0,0.0,14832.07,0.0,0.0,0.0
2025-04-22,no_entry,14832.07,0.0,0.0,0.0,0.0,0.0,0.0,14832.07,0.0,0.0,0.0
2025-04-23,active,14832.07,14832.07,1.2685,18814.49,37628.98,15.0516,3.7629,15742.22,6.2632,6.1364,910.15
