EARLY_KILL_X,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
15,0.0,2.1651,371.48,-40.465,-15.69,9.18,0.968,False
15,0.0005,2.1651,371.48,-40.465,-15.69,9.18,0.968,False
15,0.0008,2.1651,371.48,-40.465,-15.69,9.18,0.968,False
15,0.001,2.1651,371.48,-40.465,-15.69,9.18,0.968,False
15,0.0015,2.1651,371.48,-40.465,-15.69,9.18,0.968,False
15,0.002,2.1651,371.48,-40.465,-15.69,9.18,0.968,False
15,0.0025,2.1651,371.48,-40.465,-15.69,9.18,0.968,False
15,0.003,2.1651,371.48,-40.465,-15.69,9.18,0.968,False
20,0.0,1.8203,266.59,-45.326,-14.994,5.882,0.9395,False
20,0.0005,1.8203,266.59,-45.326,-14.994,5.882,0.9395,False
20,0.0008,1.8203,266.59,-45.326,-14.994,5.882,0.9395,False
20,0.001,1.8203,266.59,-45.326,-14.994,5.882,0.9395,False
20,0.0015,1.8203,266.59,-45.326,-14.994,5.882,0.9395,False
20,0.002,1.8203,266.59,-45.326,-14.994,5.882,0.9395,False
20,0.0025,1.8203,266.59,-45.326,-14.994,5.882,0.9395,False
20,0.003,1.8203,266.59,-45.326,-14.994,5.882,0.9395,False
25,0.0,2.6038,501.99,-32.356,-14.826,15.515,0.3042,False
25,0.0005,2.6038,501.99,-32.356,-14.826,15.515,0.3042,False
25,0.0008,2.6038,501.99,-32.356,-14.826,15.515,0.3042,False
25,0.001,2.6038,501.99,-32.356,-14.826,15.515,0.3042,False
25,0.0015,2.6038,501.99,-32.356,-14.826,15.515,0.3042,False
25,0.002,2.6038,501.99,-32.356,-14.826,15.515,0.3042,False
25,0.0025,2.6038,501.99,-32.356,-14.826,15.515,0.3042,False
25,0.003,2.6038,501.99,-32.356,-14.826,15.515,0.3042,False
30,0.0,2.9013,696.57,-22.698,-15.966,30.689,0.4941,False
30,0.0005,2.9013,696.57,-22.698,-15.966,30.689,0.4941,False
30,0.0008,2.9013,696.57,-22.698,-15.966,30.689,0.4941,False
30,0.001,2.9013,696.57,-22.698,-15.966,30.689,0.4941,False
30,0.0015,2.9013,696.57,-22.698,-15.966,30.689,0.4941,False
30,0.002,2.9013,696.57,-22.698,-15.966,30.689,0.4941,False
30,0.0025,2.9013,696.57,-22.698,-15.966,30.689,0.4941,False
30,0.003,2.9013,696.57,-22.698,-15.966,30.689,0.4941,False
35,0.0,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
35,0.0005,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
35,0.0008,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
35,0.001,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
35,0.0015,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
35,0.002,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
35,0.0025,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
35,0.003,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,True
40,0.0,3.0028,669.04,-27.526,-7.753,24.305,0.5777,False
40,0.0005,3.0028,669.04,-27.526,-7.753,24.305,0.5777,False
40,0.0008,3.0028,669.04,-27.526,-7.753,24.305,0.5777,False
40,0.001,3.0028,669.04,-27.526,-7.753,24.305,0.5777,False
40,0.0015,3.0028,669.04,-27.526,-7.753,24.305,0.5777,False
40,0.002,3.0028,669.04,-27.526,-7.753,24.305,0.5777,False
40,0.0025,3.0028,669.04,-27.526,-7.753,24.305,0.5777,False
40,0.003,3.0028,669.04,-27.526,-7.753,24.305,0.5777,False
45,0.0,3.2215,822.89,-24.095,-9.33,34.152,0.5691,False
45,0.0005,3.2215,822.89,-24.095,-9.33,34.152,0.5691,False
45,0.0008,3.2215,822.89,-24.095,-9.33,34.152,0.5691,False
45,0.001,3.2215,822.89,-24.095,-9.33,34.152,0.5691,False
45,0.0015,3.2215,822.89,-24.095,-9.33,34.152,0.5691,False
45,0.002,3.2215,822.89,-24.095,-9.33,34.152,0.5691,False
45,0.0025,3.2215,822.89,-24.095,-9.33,34.152,0.5691,False
45,0.003,3.2215,822.89,-24.095,-9.33,34.152,0.5691,False
50,0.0,2.9309,653.44,-26.303,-9.496,24.843,0.6073,False
50,0.0005,2.9309,653.44,-26.303,-9.496,24.843,0.6073,False
50,0.0008,2.9309,653.44,-26.303,-9.496,24.843,0.6073,False
50,0.001,2.9309,653.44,-26.303,-9.496,24.843,0.6073,False
50,0.0015,2.9309,653.44,-26.303,-9.496,24.843,0.6073,False
50,0.002,2.9309,653.44,-26.303,-9.496,24.843,0.6073,False
50,0.0025,2.9309,653.44,-26.303,-9.496,24.843,0.6073,False
50,0.003,2.9309,653.44,-26.303,-9.496,24.843,0.6073,False
