EARLY_KILL_Y,PORT_SL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,-0.04,3.0784,735.64,-24.64,-11.046,29.855,0.456,False
0.0,-0.05,3.6141,954.05,-19.347,-12.66,49.311,0.417,False
0.0,-0.055,3.5132,935.61,-20.221,-13.734,46.27,0.4448,False
0.0,-0.06,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.0,-0.065,3.7672,1034.24,-18.091,-8.982,57.169,0.4604,False
0.0,-0.07,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0,-0.075,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0,-0.08,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0,-0.085,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0,-0.1,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0005,-0.04,3.0784,735.64,-24.64,-11.046,29.855,0.456,False
0.0005,-0.05,3.6141,954.05,-19.347,-12.66,49.311,0.417,False
0.0005,-0.055,3.5132,935.61,-20.221,-13.734,46.27,0.4448,False
0.0005,-0.06,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.0005,-0.065,3.7672,1034.24,-18.091,-8.982,57.169,0.4604,False
0.0005,-0.07,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0005,-0.075,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0005,-0.08,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0005,-0.085,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0005,-0.1,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0008,-0.04,3.0784,735.64,-24.64,-11.046,29.855,0.456,False
0.0008,-0.05,3.6141,954.05,-19.347,-12.66,49.311,0.417,False
0.0008,-0.055,3.5132,935.61,-20.221,-13.734,46.27,0.4448,False
0.0008,-0.06,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.0008,-0.065,3.7672,1034.24,-18.091,-8.982,57.169,0.4604,False
0.0008,-0.07,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0008,-0.075,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0008,-0.08,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0008,-0.085,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0008,-0.1,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.001,-0.04,3.0784,735.64,-24.64,-11.046,29.855,0.456,False
0.001,-0.05,3.6141,954.05,-19.347,-12.66,49.311,0.417,False
0.001,-0.055,3.5132,935.61,-20.221,-13.734,46.27,0.4448,False
0.001,-0.06,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.001,-0.065,3.7672,1034.24,-18.091,-8.982,57.169,0.4604,False
0.001,-0.07,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.001,-0.075,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.001,-0.08,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.001,-0.085,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.001,-0.1,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0015,-0.04,3.0784,735.64,-24.64,-11.046,29.855,0.456,False
0.0015,-0.05,3.6141,954.05,-19.347,-12.66,49.311,0.417,False
0.0015,-0.055,3.5132,935.61,-20.221,-13.734,46.27,0.4448,False
0.0015,-0.06,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.0015,-0.065,3.7672,1034.24,-18.091,-8.982,57.169,0.4604,False
0.0015,-0.07,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0015,-0.075,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0015,-0.08,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0015,-0.085,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0015,-0.1,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.002,-0.04,3.0784,735.64,-24.64,-11.046,29.855,0.456,False
0.002,-0.05,3.6141,954.05,-19.347,-12.66,49.311,0.417,False
0.002,-0.055,3.5132,935.61,-20.221,-13.734,46.27,0.4448,False
0.002,-0.06,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.002,-0.065,3.7672,1034.24,-18.091,-8.982,57.169,0.4604,False
0.002,-0.07,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.002,-0.075,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.002,-0.08,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.002,-0.085,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.002,-0.1,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0025,-0.04,3.0784,735.64,-24.64,-11.046,29.855,0.456,False
0.0025,-0.05,3.6141,954.05,-19.347,-12.66,49.311,0.417,False
0.0025,-0.055,3.5132,935.61,-20.221,-13.734,46.27,0.4448,False
0.0025,-0.06,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.0025,-0.065,3.7672,1034.24,-18.091,-8.982,57.169,0.4604,False
0.0025,-0.07,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0025,-0.075,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0025,-0.08,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0025,-0.085,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.0025,-0.1,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.003,-0.04,3.0784,735.64,-24.64,-11.046,29.855,0.456,False
0.003,-0.05,3.6141,954.05,-19.347,-12.66,49.311,0.417,False
0.003,-0.055,3.5132,935.61,-20.221,-13.734,46.27,0.4448,False
0.003,-0.06,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,True
0.003,-0.065,3.7672,1034.24,-18.091,-8.982,57.169,0.4604,False
0.003,-0.07,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.003,-0.075,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.003,-0.08,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.003,-0.085,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
0.003,-0.1,3.7626,1034.55,-18.091,-9.35,57.186,0.4626,False
