L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,3.56,189.8,-9.1,291,3.56,,,0.582,3.789,88.9,1,3.668,6.876
0.9,3.582,271.8,-11.42,291,3.582,,,0.582,3.789,88.9,1,3.668,6.876
1.0,3.594,386.9,-13.96,291,3.594,,,0.582,3.789,88.9,1,3.668,6.876
1.1,3.6,549.8,-16.71,291,3.6,,,0.582,3.789,88.9,1,3.668,6.876
1.2,3.649,723.8,-18.12,291,3.649,,,0.556,3.869,88.9,1,3.784,6.88
1.3,3.675,921.8,-19.52,291,3.675,,,0.538,3.913,88.9,1,3.862,6.843
1.4,3.711,1180.0,-20.9,291,3.711,,,0.516,3.95,88.9,1,3.93,6.797
1.5,3.744,1500.2,-22.26,291,3.744,,,0.497,3.98,88.9,1,3.987,6.748
1.6,3.755,1847.0,-23.61,291,3.755,,,0.493,3.982,88.9,1,4.035,6.683
1.7,3.763,2255.9,-24.94,291,3.763,,,0.487,3.984,88.9,1,4.064,6.629
1.8,3.768,2748.6,-26.25,291,3.768,,,0.48,3.987,100.0,0,4.064,6.576
1.9,3.772,3344.0,-27.55,291,3.772,,,0.472,3.988,100.0,0,4.064,6.523
2.0,3.774,4063.6,-28.83,291,3.774,,,0.465,3.99,100.0,0,4.065,6.47
2.1,3.774,4931.9,-30.09,291,3.774,,,0.458,3.991,100.0,0,4.066,6.418
2.2,3.779,6015.7,-31.34,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.3,3.779,7026.9,-32.57,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.4,3.779,8183.0,-33.79,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.5,3.779,9500.9,-34.99,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.6,3.779,10998.9,-36.18,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.7,3.779,12697.0,-37.35,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.8,3.779,14616.4,-38.51,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.9,3.779,16779.9,-39.65,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
3.0,3.779,19211.7,-40.78,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
