surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,3.0226,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,3.1022,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,3.1499,8,12.5,8,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.95,3.3934,43,23.89,43,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,3.4827,13,7.22,12,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,3.5363,1,0.56,1,False,Single-cell peak | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,3.0226,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,3.1022,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,3.1499,108,100.0,108,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,3.0876,143,72.22,132,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,3.1688,132,66.67,132,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,3.2176,88,44.44,44,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,3.2997,48,60.0,48,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,3.3866,40,50.0,40,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,3.4387,40,50.0,40,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,3.2997,48,60.0,48,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,3.3866,40,50.0,40,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,3.4387,40,50.0,40,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.0226,8,10.0,8,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.1022,8,10.0,8,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.1499,8,10.0,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.0226,8,8.33,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.1022,8,8.33,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.1499,8,8.33,8,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,3.0492,5,7.14,4,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,3.1295,4,5.71,4,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,3.1776,3,4.29,3,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,3.0226,25,100.0,25,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,3.1022,10,40.0,9,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,3.1499,9,36.0,9,True,Robust plateau | baseline inside
