Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.0601,0.3093,-0.0512,0.3864,288,
AvgDailyRet%,delta,1,0.0441,0.3932,0.0341,0.5091,377,
Calmar,level,1,0.055,0.381,-0.0277,0.6594,256,
CAGR%,level,1,-0.0568,0.2706,-0.0244,0.6361,378,
AvgDailyRet%,level,1,-0.0242,0.6393,-0.0224,0.6635,378,
CAGR%,delta,1,0.0308,0.5512,0.0162,0.7542,377,
Sortino,delta,1,0.0442,0.3921,0.0136,0.7927,377,
Sharpe,delta,1,0.0327,0.5812,0.0052,0.93,287,
Calmar,delta,1,0.1613,0.0099,-0.0037,0.9528,255,
Sortino,level,1,0.0099,0.8473,-0.0024,0.9632,378,
Sharpe,level,3,-0.1227,0.038,-0.0967,0.1027,286,
Calmar,level,3,-0.059,0.3487,-0.0548,0.3844,254,
CAGR%,level,3,-0.1442,0.0051,-0.0302,0.5591,376,
AvgDailyRet%,level,3,-0.0631,0.2225,-0.026,0.6157,376,
Sortino,delta,3,0.0722,0.1629,0.0192,0.7112,375,
Sortino,level,3,-0.0465,0.369,-0.0123,0.8123,376,
CAGR%,delta,3,-0.0362,0.485,0.0105,0.8397,375,
Sharpe,delta,3,-0.0155,0.7949,-0.0061,0.9185,285,
Calmar,delta,3,0.0631,0.3174,0.004,0.949,253,
AvgDailyRet%,delta,3,-0.0187,0.7186,-0.0018,0.9723,375,
Sharpe,level,5,-0.1313,0.0269,-0.0972,0.1021,284,
Calmar,level,5,-0.0723,0.2532,-0.0514,0.4165,252,
Calmar,delta,5,0.0386,0.5425,0.0208,0.7432,251,
Sortino,delta,5,0.0765,0.1402,0.0136,0.7931,373,
CAGR%,delta,5,-0.0362,0.4852,0.0128,0.8056,373,
Sortino,level,5,-0.0856,0.0983,0.0109,0.8334,374,
Sharpe,delta,5,-0.0031,0.9583,-0.0108,0.8558,283,
AvgDailyRet%,delta,5,0.0023,0.9647,0.0081,0.8758,373,
AvgDailyRet%,level,5,-0.0542,0.2961,0.0055,0.9152,374,
CAGR%,level,5,-0.109,0.0351,0.0039,0.9397,374,
