Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0628,0.2296,-0.0921,0.0775,368,
AvgDailyRet%,level,1,-0.0798,0.1267,-0.0898,0.0856,368,
Sharpe,level,1,-0.0861,0.099,-0.0872,0.0949,368,
Calmar,level,1,-0.069,0.1863,-0.0834,0.1102,368,
Sortino,level,1,0.0189,0.7184,-0.0669,0.2004,368,
Sharpe,delta,1,-0.0097,0.853,-0.0232,0.6573,367,
AvgDailyRet%,delta,1,0.0032,0.9509,-0.0153,0.7702,367,
Calmar,delta,1,-0.017,0.745,0.0106,0.8393,367,
CAGR%,delta,1,-0.0158,0.7632,-0.0078,0.8816,367,
Sortino,delta,1,0.0527,0.3137,-0.0001,0.9982,367,
CAGR%,level,3,-0.0831,0.1124,-0.1572,0.0026,366,yes
AvgDailyRet%,level,3,-0.1541,0.0031,-0.155,0.003,366,yes
Sharpe,level,3,-0.1621,0.0019,-0.1495,0.0041,366,yes
Calmar,level,3,-0.0814,0.1199,-0.1475,0.0047,366,yes
Sortino,level,3,-0.041,0.434,-0.1153,0.0275,366,yes
Calmar,delta,3,-0.024,0.6472,0.0171,0.744,365,
Sharpe,delta,3,0.0002,0.9975,0.0103,0.8452,365,
CAGR%,delta,3,-0.0178,0.7347,0.0098,0.8521,365,
Sortino,delta,3,0.0666,0.2046,0.0086,0.8693,365,
AvgDailyRet%,delta,3,0.0042,0.9366,0.0083,0.875,365,
CAGR%,level,5,-0.1002,0.0563,-0.2152,0.0,364,yes
AvgDailyRet%,level,5,-0.2064,0.0001,-0.2124,0.0,364,yes
Sharpe,level,5,-0.2201,0.0,-0.2083,0.0001,364,yes
Calmar,level,5,-0.0995,0.0578,-0.199,0.0001,364,yes
Sortino,level,5,-0.0882,0.0928,-0.1601,0.0022,364,yes
Sharpe,delta,5,0.0107,0.8394,0.0288,0.5846,363,
Calmar,delta,5,-0.0221,0.6744,0.0266,0.6128,363,
CAGR%,delta,5,-0.018,0.7321,0.0264,0.6161,363,
AvgDailyRet%,delta,5,0.0149,0.7765,0.0241,0.6469,363,
Sortino,delta,5,0.0595,0.2585,0.0141,0.7883,363,
