date,type,start_usd,margin_usd,lev,invested_usd,trade_vol_usd,taker_fee_usd,funding_usd,end_usd,ret_gross_pct,ret_net_pct,net_pnl_usd
2025-02-13,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-14,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-15,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-16,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-17,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-18,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-19,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-20,active,100000.0,100000.0,2.2,220000.0,440000.0,176.0,44.0,129023.5,29.2435,29.0235,29023.5
2025-02-21,active,129023.5,129023.5,2.2,283851.7,567703.4,227.0814,56.7703,112418.18,-12.65,-12.87,-16605.32
2025-02-22,no_entry,112418.18,0.0,0.0,0.0,0.0,0.0,0.0,112418.18,0.0,0.0,0.0
2025-02-23,no_entry,112418.18,0.0,0.0,0.0,0.0,0.0,0.0,112418.18,0.0,0.0,0.0
2025-02-24,no_entry,112418.18,0.0,0.0,0.0,0.0,0.0,0.0,112418.18,0.0,0.0,0.0
2025-02-25,no_entry,112418.18,0.0,0.0,0.0,0.0,0.0,0.0,112418.18,0.0,0.0,0.0
2025-02-26,active,112418.18,112418.18,2.2,247319.99,494639.97,197.856,49.464,134615.14,19.965,19.745,22196.97
2025-02-27,no_entry,134615.14,0.0,0.0,0.0,0.0,0.0,0.0,134615.14,0.0,0.0,0.0
2025-02-28,active,134615.14,134615.14,2.2,296153.32,592306.63,236.9227,59.2307,137384.18,2.277,2.057,2769.03
2025-03-01,no_entry,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-02,no_entry,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-03,no_entry,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-04,active,137384.18,137384.18,2.2,302245.19,604490.38,241.7962,60.449,134898.21,-1.5895,-1.8095,-2485.97
2025-03-05,no_entry,134898.21,0.0,0.0,0.0,0.0,0.0,0.0,134898.21,0.0,0.0,0.0
2025-03-06,no_entry,134898.21,0.0,0.0,0.0,0.0,0.0,0.0,134898.21,0.0,0.0,0.0
2025-03-07,active,134898.21,134898.21,2.2,296776.06,593552.13,237.4209,59.3552,130773.02,-2.838,-3.058,-4125.19
2025-03-08,active,130773.02,130773.02,2.2,287700.65,575401.3,230.1605,57.5401,112626.31,-13.6565,-13.8765,-18146.72
2025-03-09,no_entry,112626.31,0.0,0.0,0.0,0.0,0.0,0.0,112626.31,0.0,0.0,0.0
2025-03-10,no_entry,112626.31,0.0,0.0,0.0,0.0,0.0,0.0,112626.31,0.0,0.0,0.0
2025-03-11,no_entry,112626.31,0.0,0.0,0.0,0.0,0.0,0.0,112626.31,0.0,0.0,0.0
2025-03-12,active,112626.31,112626.31,2.2,247777.87,495555.74,198.2223,49.5556,121973.73,8.5195,8.2995,9347.42
2025-03-13,no_entry,121973.73,0.0,0.0,0.0,0.0,0.0,0.0,121973.73,0.0,0.0,0.0
2025-03-14,active,121973.73,121973.73,2.2,268342.2,536684.39,214.6738,53.6684,123503.28,1.474,1.254,1529.55
2025-03-15,active,123503.28,123503.28,2.2,271707.21,543414.41,217.3658,54.3414,145491.18,18.0235,17.8035,21987.91
2025-03-16,no_entry,145491.18,0.0,0.0,0.0,0.0,0.0,0.0,145491.18,0.0,0.0,0.0
2025-03-17,no_entry,145491.18,0.0,0.0,0.0,0.0,0.0,0.0,145491.18,0.0,0.0,0.0
2025-03-18,no_entry,145491.18,0.0,0.0,0.0,0.0,0.0,0.0,145491.18,0.0,0.0,0.0
2025-03-19,no_entry,145491.18,0.0,0.0,0.0,0.0,0.0,0.0,145491.18,0.0,0.0,0.0
2025-03-20,active,145491.18,145491.18,2.2,320080.6,640161.2,256.0645,64.0161,144210.86,-0.66,-0.88,-1280.32
2025-03-21,no_entry,144210.86,0.0,0.0,0.0,0.0,0.0,0.0,144210.86,0.0,0.0,0.0
2025-03-22,no_entry,144210.86,0.0,0.0,0.0,0.0,0.0,0.0,144210.86,0.0,0.0,0.0
2025-03-23,active,144210.86,144210.86,2.2,317263.89,634527.78,253.8111,63.4528,131575.82,-8.5415,-8.7615,-12635.03
2025-03-24,active,131575.82,131575.82,2.2,289466.81,578933.63,231.5735,57.8934,113484.15,-13.53,-13.75,-18091.68
2025-03-25,no_entry,113484.15,0.0,0.0,0.0,0.0,0.0,0.0,113484.15,0.0,0.0,0.0
2025-03-26,active,113484.15,113484.15,2.2,249665.13,499330.26,199.7321,49.933,107954.07,-4.653,-4.873,-5530.08
2025-03-27,no_entry,107954.07,0.0,0.0,0.0,0.0,0.0,0.0,107954.07,0.0,0.0,0.0
2025-03-28,no_entry,107954.07,0.0,0.0,0.0,0.0,0.0,0.0,107954.07,0.0,0.0,0.0
2025-03-29,active,107954.07,107954.07,2.2,237498.95,474997.89,189.9992,47.4998,100419.41,-6.7595,-6.9795,-7534.65
2025-03-30,active,100419.41,100419.41,2.2,220922.71,441845.41,176.7382,44.1845,99430.78,-0.7645,-0.9845,-988.63
2025-03-31,no_entry,99430.78,0.0,0.0,0.0,0.0,0.0,0.0,99430.78,0.0,0.0,0.0
2025-04-01,active,99430.78,99430.78,2.2,218747.72,437495.45,174.9982,43.7495,90423.85,-8.8385,-9.0585,-9006.94
2025-04-02,active,90423.85,90423.85,2.2,198932.46,397864.92,159.146,39.7865,92298.78,2.2935,2.0735,1874.94
2025-04-03,active,92298.78,92298.78,2.2,203057.32,406114.65,162.4459,40.6115,96964.03,5.2745,5.0545,4665.24
2025-04-04,no_entry,96964.03,0.0,0.0,0.0,0.0,0.0,0.0,96964.03,0.0,0.0,0.0
2025-04-05,active,96964.03,96964.03,2.2,213320.86,426641.71,170.6567,42.6642,97779.98,1.0615,0.8415,815.95
2025-04-06,no_entry,97779.98,0.0,0.0,0.0,0.0,0.0,0.0,97779.98,0.0,0.0,0.0
2025-04-07,no_entry,97779.98,0.0,0.0,0.0,0.0,0.0,0.0,97779.98,0.0,0.0,0.0
2025-04-08,no_entry,97779.98,0.0,0.0,0.0,0.0,0.0,0.0,97779.98,0.0,0.0,0.0
2025-04-09,no_entry,97779.98,0.0,0.0,0.0,0.0,0.0,0.0,97779.98,0.0,0.0,0.0
2025-04-10,active,97779.98,97779.98,2.2,215115.95,430231.9,172.0928,43.0232,93913.27,-3.7345,-3.9545,-3866.71
2025-04-11,no_entry,93913.27,0.0,0.0,0.0,0.0,0.0,0.0,93913.27,0.0,0.0,0.0
2025-04-12,active,93913.27,93913.27,2.2,206609.19,413218.38,165.2874,41.3218,110989.52,18.403,18.183,17076.25
2025-04-13,active,110989.52,110989.52,2.2,244176.94,488353.88,195.3416,48.8354,102180.84,-7.7165,-7.9365,-8808.68
2025-04-14,no_entry,102180.84,0.0,0.0,0.0,0.0,0.0,0.0,102180.84,0.0,0.0,0.0
2025-04-15,no_entry,102180.84,0.0,0.0,0.0,0.0,0.0,0.0,102180.84,0.0,0.0,0.0
2025-04-16,no_entry,102180.84,0.0,0.0,0.0,0.0,0.0,0.0,102180.84,0.0,0.0,0.0
2025-04-17,active,102180.84,102180.84,2.2,224797.84,449595.68,179.8383,44.9596,116910.71,14.6355,14.4155,14729.88
2025-04-18,no_entry,116910.71,0.0,0.0,0.0,0.0,0.0,0.0,116910.71,0.0,0.0,0.0
2025-04-19,active,116910.71,116910.71,2.2,257203.57,514407.14,205.7629,51.4407,135467.95,16.093,15.873,18557.24
2025-04-20,no_entry,135467.95,0.0,0.0,0.0,0.0,0.0,0.0,135467.95,0.0,0.0,0.0
2025-04-21,no_entry,135467.95,0.0,0.0,0.0,0.0,0.0,0.0,135467.95,0.0,0.0,0.0
2025-04-22,no_entry,135467.95,0.0,0.0,0.0,0.0,0.0,0.0,135467.95,0.0,0.0,0.0
2025-04-23,active,135467.95,135467.95,2.2,298029.49,596058.99,238.4236,59.6059,148961.24,10.1805,9.9605,13493.29
2025-04-24,active,148961.24,148961.24,2.2,327714.72,655429.44,262.1718,65.5429,182314.4,22.6105,22.3905,33353.17
2025-04-25,no_entry,182314.4,0.0,0.0,0.0,0.0,0.0,0.0,182314.4,0.0,0.0,0.0
2025-04-26,no_entry,182314.4,0.0,0.0,0.0,0.0,0.0,0.0,182314.4,0.0,0.0,0.0
2025-04-27,active,182314.4,182314.4,2.2,401091.69,802183.37,320.8733,80.2183,158930.76,-12.606,-12.826,-23383.65
2025-04-28,active,158930.76,158930.76,2.2,349647.67,699295.33,279.7181,69.9295,134525.35,-15.136,-15.356,-24405.41
2025-04-29,no_entry,134525.35,0.0,0.0,0.0,0.0,0.0,0.0,134525.35,0.0,0.0,0.0
2025-04-30,active,134525.35,134525.35,2.2,295955.77,591911.54,236.7646,59.1912,155671.39,15.939,15.719,21146.04
2025-05-01,no_entry,155671.39,0.0,0.0,0.0,0.0,0.0,0.0,155671.39,0.0,0.0,0.0
2025-05-02,no_entry,155671.39,0.0,0.0,0.0,0.0,0.0,0.0,155671.39,0.0,0.0,0.0
2025-05-03,no_entry,155671.39,0.0,0.0,0.0,0.0,0.0,0.0,155671.39,0.0,0.0,0.0
2025-05-04,no_entry,155671.39,0.0,0.0,0.0,0.0,0.0,0.0,155671.39,0.0,0.0,0.0
2025-05-05,no_entry,155671.39,0.0,0.0,0.0,0.0,0.0,0.0,155671.39,0.0,0.0,0.0
2025-05-06,active,155671.39,155671.39,2.2,342477.06,684954.12,273.9816,68.4954,147255.02,-5.1865,-5.4065,-8416.37
2025-05-07,active,147255.02,147255.02,2.2,323961.04,647922.07,259.1688,64.7922,180825.48,23.0175,22.7975,33570.46
2025-05-08,active,180825.48,180825.48,2.2,397816.05,795632.11,318.2528,79.5632,216410.12,19.899,19.679,35584.65
2025-05-09,no_entry,216410.12,0.0,0.0,0.0,0.0,0.0,0.0,216410.12,0.0,0.0,0.0
2025-05-10,active,216410.12,216410.12,2.2,476102.27,952204.55,380.8818,95.2205,225206.11,4.2845,4.0645,8795.99
2025-05-11,no_entry,225206.11,0.0,0.0,0.0,0.0,0.0,0.0,225206.11,0.0,0.0,0.0
2025-05-12,active,225206.11,225206.11,2.2,495453.45,990906.9,396.3628,99.0907,257571.61,14.5915,14.3715,32365.5
2025-05-13,no_entry,257571.61,0.0,0.0,0.0,0.0,0.0,0.0,257571.61,0.0,0.0,0.0
2025-05-14,active,257571.61,257571.61,2.2,566657.54,1133315.09,453.326,113.3315,226249.62,-11.9405,-12.1605,-31322.0
2025-05-15,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-16,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-17,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-18,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-19,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-20,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-21,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-22,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-23,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-24,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-25,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-26,no_entry,226249.62,0.0,0.0,0.0,0.0,0.0,0.0,226249.62,0.0,0.0,0.0
2025-05-27,active,226249.62,226249.62,2.2,497749.15,995498.31,398.1993,99.5498,226510.93,0.3355,0.1155,261.32
2025-05-28,no_entry,226510.93,0.0,0.0,0.0,0.0,0.0,0.0,226510.93,0.0,0.0,0.0
2025-05-29,no_entry,226510.93,0.0,0.0,0.0,0.0,0.0,0.0,226510.93,0.0,0.0,0.0
2025-05-30,no_entry,226510.93,0.0,0.0,0.0,0.0,0.0,0.0,226510.93,0.0,0.0,0.0
2025-05-31,no_entry,226510.93,0.0,0.0,0.0,0.0,0.0,0.0,226510.93,0.0,0.0,0.0
2025-06-01,active,226510.93,226510.93,2.2,498324.05,996648.11,398.6592,99.6648,222549.26,-1.529,-1.749,-3961.68
2025-06-02,no_entry,222549.26,0.0,0.0,0.0,0.0,0.0,0.0,222549.26,0.0,0.0,0.0
2025-06-03,active,222549.26,222549.26,2.2,489608.37,979216.73,391.6867,97.9217,205498.65,-7.4415,-7.6615,-17050.61
2025-06-04,no_entry,205498.65,0.0,0.0,0.0,0.0,0.0,0.0,205498.65,0.0,0.0,0.0
2025-06-05,no_entry,205498.65,0.0,0.0,0.0,0.0,0.0,0.0,205498.65,0.0,0.0,0.0
2025-06-06,active,205498.65,205498.65,2.2,452097.02,904194.04,361.6776,90.4194,190715.07,-6.974,-7.194,-14783.57
2025-06-07,no_entry,190715.07,0.0,0.0,0.0,0.0,0.0,0.0,190715.07,0.0,0.0,0.0
2025-06-08,no_entry,190715.07,0.0,0.0,0.0,0.0,0.0,0.0,190715.07,0.0,0.0,0.0
2025-06-09,active,190715.07,190715.07,2.2,419573.16,839146.32,335.6585,83.9146,220274.0,15.719,15.499,29558.93
2025-06-10,no_entry,220274.0,0.0,0.0,0.0,0.0,0.0,0.0,220274.0,0.0,0.0,0.0
2025-06-11,no_entry,220274.0,0.0,0.0,0.0,0.0,0.0,0.0,220274.0,0.0,0.0,0.0
2025-06-12,no_entry,220274.0,0.0,0.0,0.0,0.0,0.0,0.0,220274.0,0.0,0.0,0.0
2025-06-13,no_entry,220274.0,0.0,0.0,0.0,0.0,0.0,0.0,220274.0,0.0,0.0,0.0
2025-06-14,no_entry,220274.0,0.0,0.0,0.0,0.0,0.0,0.0,220274.0,0.0,0.0,0.0
2025-06-15,no_entry,220274.0,0.0,0.0,0.0,0.0,0.0,0.0,220274.0,0.0,0.0,0.0
2025-06-16,active,220274.0,220274.0,2.2,484602.81,969205.61,387.6822,96.9206,207650.1,-5.511,-5.731,-12623.9
2025-06-17,no_entry,207650.1,0.0,0.0,0.0,0.0,0.0,0.0,207650.1,0.0,0.0,0.0
2025-06-18,no_entry,207650.1,0.0,0.0,0.0,0.0,0.0,0.0,207650.1,0.0,0.0,0.0
2025-06-19,no_entry,207650.1,0.0,0.0,0.0,0.0,0.0,0.0,207650.1,0.0,0.0,0.0
2025-06-20,no_entry,207650.1,0.0,0.0,0.0,0.0,0.0,0.0,207650.1,0.0,0.0,0.0
2025-06-21,no_entry,207650.1,0.0,0.0,0.0,0.0,0.0,0.0,207650.1,0.0,0.0,0.0
2025-06-22,active,207650.1,207650.1,2.2,456830.22,913660.44,365.4642,91.366,245121.6,18.2655,18.0455,37471.5
2025-06-23,no_entry,245121.6,0.0,0.0,0.0,0.0,0.0,0.0,245121.6,0.0,0.0,0.0
2025-06-24,no_entry,245121.6,0.0,0.0,0.0,0.0,0.0,0.0,245121.6,0.0,0.0,0.0
2025-06-25,active,245121.6,245121.6,2.2,539267.52,1078535.03,431.414,107.8535,230669.23,-5.676,-5.896,-14452.37
