Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,delta,1,0.0586,0.2561,0.0538,0.2974,377,
AvgDailyRet%,delta,1,0.0487,0.3454,0.0443,0.391,377,
Sharpe,delta,1,0.0481,0.3517,0.0367,0.4773,377,
Calmar,delta,1,0.1447,0.0058,0.0222,0.6742,362,
Sortino,delta,1,0.0662,0.1994,0.0102,0.8436,377,
Calmar,level,1,0.0697,0.1854,0.0086,0.8709,363,
Sortino,level,1,0.0051,0.9209,0.0083,0.8719,378,
AvgDailyRet%,level,1,-0.0103,0.8414,0.0019,0.9701,378,
Sharpe,level,1,0.0027,0.9582,0.0008,0.9873,378,
CAGR%,level,1,-0.0581,0.26,0.0004,0.9931,378,
Sortino,delta,3,0.0355,0.4936,0.0751,0.1467,375,
Calmar,delta,3,0.0661,0.2107,0.0749,0.156,360,
CAGR%,delta,3,-0.04,0.4403,0.0747,0.1488,375,
Sharpe,delta,3,0.058,0.2622,0.0633,0.2214,375,
AvgDailyRet%,delta,3,0.0039,0.9394,0.0575,0.2664,375,
Sortino,level,3,-0.0463,0.3707,0.0374,0.4695,376,
Sharpe,level,3,-0.0223,0.6671,0.022,0.6702,376,
Calmar,level,3,-0.0138,0.7942,0.0186,0.7245,361,
AvgDailyRet%,level,3,-0.0387,0.454,0.0163,0.7523,376,
CAGR%,level,3,-0.1603,0.0018,0.0145,0.7792,376,
Sharpe,delta,5,0.084,0.1053,0.0754,0.1461,373,
AvgDailyRet%,delta,5,0.0357,0.4922,0.0663,0.2013,373,
Sortino,delta,5,0.0516,0.3199,0.0655,0.2072,373,
Calmar,delta,5,0.0463,0.3829,0.0613,0.2477,358,
CAGR%,delta,5,-0.0112,0.83,0.0606,0.2427,373,
Sortino,level,5,-0.0622,0.2301,0.0241,0.6428,374,
Calmar,level,5,-0.0294,0.5794,0.0028,0.9579,359,
AvgDailyRet%,level,5,-0.0357,0.4915,0.0024,0.9626,374,
Sharpe,level,5,-0.0411,0.4278,-0.0008,0.9878,374,
CAGR%,level,5,-0.1161,0.0247,-0.0001,0.9992,374,
