date,type,start_usd,margin_usd,lev,invested_usd,trade_vol_usd,taker_fee_usd,funding_usd,end_usd,ret_gross_pct,ret_net_pct,net_pnl_usd
2025-02-13,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-14,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-15,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-16,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-17,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-18,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-19,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-20,active,100000.0,100000.0,2.2,220000.0,440000.0,176.0,44.0,129023.5,29.2435,29.0235,29023.5
2025-02-21,active,129023.5,129023.5,2.2,283851.7,567703.4,227.0814,56.7703,112418.18,-12.65,-12.87,-16605.32
2025-02-22,no_entry,112418.18,0.0,0.0,0.0,0.0,0.0,0.0,112418.18,0.0,0.0,0.0
2025-02-23,no_entry,112418.18,0.0,0.0,0.0,0.0,0.0,0.0,112418.18,0.0,0.0,0.0
2025-02-24,no_entry,112418.18,0.0,0.0,0.0,0.0,0.0,0.0,112418.18,0.0,0.0,0.0
2025-02-25,flat,112418.18,0.0,0.0,0.0,0.0,0.0,0.0,112418.18,0.0,0.0,0.0
2025-02-26,active,112418.18,112418.18,2.2,247319.99,494639.97,197.856,49.464,134615.14,19.965,19.745,22196.97
2025-02-27,flat,134615.14,0.0,0.0,0.0,0.0,0.0,0.0,134615.14,0.0,0.0,0.0
2025-02-28,active,134615.14,134615.14,2.2,296153.32,592306.63,236.9227,59.2307,137384.18,2.277,2.057,2769.03
2025-03-01,no_entry,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-02,no_entry,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-03,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-04,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-05,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-06,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-07,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-08,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-09,no_entry,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-10,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-11,no_entry,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-12,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-13,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-14,flat,137384.18,0.0,0.0,0.0,0.0,0.0,0.0,137384.18,0.0,0.0,0.0
2025-03-15,active,137384.18,137384.18,2.2,302245.19,604490.38,241.7962,60.449,161843.37,18.0235,17.8035,24459.19
2025-03-16,no_entry,161843.37,0.0,0.0,0.0,0.0,0.0,0.0,161843.37,0.0,0.0,0.0
2025-03-17,no_entry,161843.37,0.0,0.0,0.0,0.0,0.0,0.0,161843.37,0.0,0.0,0.0
2025-03-18,no_entry,161843.37,0.0,0.0,0.0,0.0,0.0,0.0,161843.37,0.0,0.0,0.0
2025-03-19,no_entry,161843.37,0.0,0.0,0.0,0.0,0.0,0.0,161843.37,0.0,0.0,0.0
2025-03-20,active,161843.37,161843.37,2.2,356055.41,712110.83,284.8443,71.2111,160419.15,-0.66,-0.88,-1424.22
2025-03-21,no_entry,160419.15,0.0,0.0,0.0,0.0,0.0,0.0,160419.15,0.0,0.0,0.0
2025-03-22,no_entry,160419.15,0.0,0.0,0.0,0.0,0.0,0.0,160419.15,0.0,0.0,0.0
2025-03-23,active,160419.15,160419.15,2.2,352922.13,705844.25,282.3377,70.5844,146364.02,-8.5415,-8.7615,-14055.12
2025-03-24,active,146364.02,146364.02,2.2,322000.85,644001.71,257.6007,64.4002,126238.97,-13.53,-13.75,-20125.05
2025-03-25,no_entry,126238.97,0.0,0.0,0.0,0.0,0.0,0.0,126238.97,0.0,0.0,0.0
2025-03-26,active,126238.97,126238.97,2.2,277725.74,555451.47,222.1806,55.5451,120087.35,-4.653,-4.873,-6151.63
2025-03-27,no_entry,120087.35,0.0,0.0,0.0,0.0,0.0,0.0,120087.35,0.0,0.0,0.0
2025-03-28,no_entry,120087.35,0.0,0.0,0.0,0.0,0.0,0.0,120087.35,0.0,0.0,0.0
2025-03-29,active,120087.35,120087.35,2.2,264192.16,528384.32,211.3537,52.8384,111705.85,-6.7595,-6.9795,-8381.5
2025-03-30,active,111705.85,111705.85,2.2,245752.87,491505.74,196.6023,49.1506,110606.11,-0.7645,-0.9845,-1099.74
2025-03-31,no_entry,110606.11,0.0,0.0,0.0,0.0,0.0,0.0,110606.11,0.0,0.0,0.0
2025-04-01,active,110606.11,110606.11,2.2,243333.43,486666.87,194.6667,48.6667,100586.85,-8.8385,-9.0585,-10019.25
2025-04-02,active,100586.85,100586.85,2.2,221291.07,442582.15,177.0329,44.2582,102672.52,2.2935,2.0735,2085.67
2025-04-03,active,102672.52,102672.52,2.2,225879.54,451759.09,180.7036,45.1759,107862.1,5.2745,5.0545,5189.58
2025-04-04,no_entry,107862.1,0.0,0.0,0.0,0.0,0.0,0.0,107862.1,0.0,0.0,0.0
2025-04-05,active,107862.1,107862.1,2.2,237296.63,474593.25,189.8373,47.4593,108769.76,1.0615,0.8415,907.66
2025-04-06,no_entry,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-07,flat,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-08,no_entry,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-09,no_entry,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-10,flat,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-11,flat,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-12,flat,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-13,flat,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-14,flat,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-15,no_entry,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-16,no_entry,108769.76,0.0,0.0,0.0,0.0,0.0,0.0,108769.76,0.0,0.0,0.0
2025-04-17,active,108769.76,108769.76,2.2,239293.48,478586.95,191.4348,47.8587,124449.47,14.6355,14.4155,15679.71
2025-04-18,no_entry,124449.47,0.0,0.0,0.0,0.0,0.0,0.0,124449.47,0.0,0.0,0.0
2025-04-19,active,124449.47,124449.47,2.2,273788.83,547577.66,219.0311,54.7578,144203.33,16.093,15.873,19753.86
2025-04-20,no_entry,144203.33,0.0,0.0,0.0,0.0,0.0,0.0,144203.33,0.0,0.0,0.0
2025-04-21,no_entry,144203.33,0.0,0.0,0.0,0.0,0.0,0.0,144203.33,0.0,0.0,0.0
2025-04-22,no_entry,144203.33,0.0,0.0,0.0,0.0,0.0,0.0,144203.33,0.0,0.0,0.0
2025-04-23,active,144203.33,144203.33,2.2,317247.33,634494.66,253.7979,63.4495,158566.7,10.1805,9.9605,14363.37
2025-04-24,active,158566.7,158566.7,2.2,348846.75,697693.5,279.0774,69.7693,194070.58,22.6105,22.3905,35503.88
2025-04-25,no_entry,194070.58,0.0,0.0,0.0,0.0,0.0,0.0,194070.58,0.0,0.0,0.0
2025-04-26,no_entry,194070.58,0.0,0.0,0.0,0.0,0.0,0.0,194070.58,0.0,0.0,0.0
2025-04-27,active,194070.58,194070.58,2.2,426955.28,853910.56,341.5642,85.3911,169179.09,-12.606,-12.826,-24891.49
2025-04-28,active,169179.09,169179.09,2.2,372194.0,744387.99,297.7552,74.4388,143199.95,-15.136,-15.356,-25979.14
2025-04-29,no_entry,143199.95,0.0,0.0,0.0,0.0,0.0,0.0,143199.95,0.0,0.0,0.0
2025-04-30,active,143199.95,143199.95,2.2,315039.89,630079.77,252.0319,63.008,165709.55,15.939,15.719,22509.6
2025-05-01,no_entry,165709.55,0.0,0.0,0.0,0.0,0.0,0.0,165709.55,0.0,0.0,0.0
2025-05-02,no_entry,165709.55,0.0,0.0,0.0,0.0,0.0,0.0,165709.55,0.0,0.0,0.0
2025-05-03,no_entry,165709.55,0.0,0.0,0.0,0.0,0.0,0.0,165709.55,0.0,0.0,0.0
2025-05-04,no_entry,165709.55,0.0,0.0,0.0,0.0,0.0,0.0,165709.55,0.0,0.0,0.0
2025-05-05,no_entry,165709.55,0.0,0.0,0.0,0.0,0.0,0.0,165709.55,0.0,0.0,0.0
2025-05-06,active,165709.55,165709.55,2.2,364561.01,729122.01,291.6488,72.9122,156750.46,-5.1865,-5.4065,-8959.09
2025-05-07,active,156750.46,156750.46,2.2,344851.01,689702.03,275.8808,68.9702,192485.65,23.0175,22.7975,35735.19
2025-05-08,active,192485.65,192485.65,2.2,423468.42,846936.85,338.7747,84.6937,230364.9,19.899,19.679,37879.25
2025-05-09,no_entry,230364.9,0.0,0.0,0.0,0.0,0.0,0.0,230364.9,0.0,0.0,0.0
2025-05-10,active,230364.9,230364.9,2.2,506802.78,1013605.55,405.4422,101.3606,239728.08,4.2845,4.0645,9363.18
2025-05-11,no_entry,239728.08,0.0,0.0,0.0,0.0,0.0,0.0,239728.08,0.0,0.0,0.0
2025-05-12,active,239728.08,239728.08,2.2,527401.77,1054803.55,421.9214,105.4804,274180.6,14.5915,14.3715,34452.52
2025-05-13,no_entry,274180.6,0.0,0.0,0.0,0.0,0.0,0.0,274180.6,0.0,0.0,0.0
2025-05-14,active,274180.6,274180.6,2.2,603197.32,1206394.64,482.5579,120.6395,240838.87,-11.9405,-12.1605,-33341.73
2025-05-15,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-16,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-17,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-18,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-19,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-20,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-21,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-22,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-23,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-24,flat,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-25,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-26,no_entry,240838.87,0.0,0.0,0.0,0.0,0.0,0.0,240838.87,0.0,0.0,0.0
2025-05-27,active,240838.87,240838.87,2.2,529845.51,1059691.02,423.8764,105.9691,241117.04,0.3355,0.1155,278.17
2025-05-28,no_entry,241117.04,0.0,0.0,0.0,0.0,0.0,0.0,241117.04,0.0,0.0,0.0
2025-05-29,no_entry,241117.04,0.0,0.0,0.0,0.0,0.0,0.0,241117.04,0.0,0.0,0.0
2025-05-30,no_entry,241117.04,0.0,0.0,0.0,0.0,0.0,0.0,241117.04,0.0,0.0,0.0
2025-05-31,no_entry,241117.04,0.0,0.0,0.0,0.0,0.0,0.0,241117.04,0.0,0.0,0.0
2025-06-01,active,241117.04,241117.04,2.2,530457.48,1060914.96,424.366,106.0915,236899.9,-1.529,-1.749,-4217.14
2025-06-02,no_entry,236899.9,0.0,0.0,0.0,0.0,0.0,0.0,236899.9,0.0,0.0,0.0
2025-06-03,active,236899.9,236899.9,2.2,521179.78,1042359.56,416.9438,104.236,218749.81,-7.4415,-7.6615,-18150.09
2025-06-04,no_entry,218749.81,0.0,0.0,0.0,0.0,0.0,0.0,218749.81,0.0,0.0,0.0
2025-06-05,no_entry,218749.81,0.0,0.0,0.0,0.0,0.0,0.0,218749.81,0.0,0.0,0.0
2025-06-06,active,218749.81,218749.81,2.2,481249.59,962499.18,384.9997,96.2499,203012.95,-6.974,-7.194,-15736.86
2025-06-07,no_entry,203012.95,0.0,0.0,0.0,0.0,0.0,0.0,203012.95,0.0,0.0,0.0
2025-06-08,no_entry,203012.95,0.0,0.0,0.0,0.0,0.0,0.0,203012.95,0.0,0.0,0.0
2025-06-09,active,203012.95,203012.95,2.2,446628.5,893256.99,357.3028,89.3257,234477.93,15.719,15.499,31464.98
2025-06-10,flat,234477.93,0.0,0.0,0.0,0.0,0.0,0.0,234477.93,0.0,0.0,0.0
2025-06-11,no_entry,234477.93,0.0,0.0,0.0,0.0,0.0,0.0,234477.93,0.0,0.0,0.0
2025-06-12,no_entry,234477.93,0.0,0.0,0.0,0.0,0.0,0.0,234477.93,0.0,0.0,0.0
2025-06-13,no_entry,234477.93,0.0,0.0,0.0,0.0,0.0,0.0,234477.93,0.0,0.0,0.0
2025-06-14,no_entry,234477.93,0.0,0.0,0.0,0.0,0.0,0.0,234477.93,0.0,0.0,0.0
2025-06-15,no_entry,234477.93,0.0,0.0,0.0,0.0,0.0,0.0,234477.93,0.0,0.0,0.0
2025-06-16,active,234477.93,234477.93,2.2,515851.45,1031702.89,412.6812,103.1703,221040.0,-5.511,-5.731,-13437.93
2025-06-17,no_entry,221040.0,0.0,0.0,0.0,0.0,0.0,0.0,221040.0,0.0,0.0,0.0
2025-06-18,no_entry,221040.0,0.0,0.0,0.0,0.0,0.0,0.0,221040.0,0.0,0.0,0.0
2025-06-19,no_entry,221040.0,0.0,0.0,0.0,0.0,0.0,0.0,221040.0,0.0,0.0,0.0
2025-06-20,no_entry,221040.0,0.0,0.0,0.0,0.0,0.0,0.0,221040.0,0.0,0.0,0.0
2025-06-21,no_entry,221040.0,0.0,0.0,0.0,0.0,0.0,0.0,221040.0,0.0,0.0,0.0
2025-06-22,active,221040.0,221040.0,2.2,486288.0,972576.0,389.0304,97.2576,260927.77,18.2655,18.0455,39887.77
2025-06-23,no_entry,260927.77,0.0,0.0,0.0,0.0,0.0,0.0,260927.77,0.0,0.0,0.0
2025-06-24,no_entry,260927.77,0.0,0.0,0.0,0.0,0.0,0.0,260927.77,0.0,0.0,0.0
2025-06-25,active,260927.77,260927.77,2.2,574041.1,1148082.2,459.2329,114.8082,245543.47,-5.676,-5.896,-15384.3
2025-06-26,active,245543.47,245543.47,2.2,540195.64,1080391.28,432.1565,108.0391,245800.06,0.3245,0.1045,256.59
2025-06-27,no_entry,245800.06,0.0,0.0,0.0,0.0,0.0,0.0,245800.06,0.0,0.0,0.0
