Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.1121,0.0316,-0.103,0.0484,368,yes
Calmar,level,1,-0.0786,0.1351,-0.0942,0.0731,363,
CAGR%,level,1,-0.0727,0.164,-0.0925,0.0762,368,
AvgDailyRet%,level,1,-0.0941,0.0714,-0.0906,0.0828,368,
Sortino,level,1,0.0116,0.8243,-0.0428,0.4128,368,
Calmar,delta,1,0.0084,0.8729,0.0426,0.419,362,
Sharpe,delta,1,0.0376,0.4726,0.0408,0.4354,367,
Sortino,delta,1,0.051,0.33,0.0397,0.4481,367,
AvgDailyRet%,delta,1,0.0448,0.3925,0.026,0.6192,367,
CAGR%,delta,1,0.0008,0.9885,0.0226,0.6656,367,
Sharpe,level,3,-0.2217,0.0,-0.1903,0.0003,366,yes
Calmar,level,3,-0.12,0.0225,-0.182,0.0005,361,yes
CAGR%,level,3,-0.1015,0.0523,-0.1634,0.0017,366,yes
AvgDailyRet%,level,3,-0.1833,0.0004,-0.1596,0.0022,366,yes
Sortino,level,3,-0.0397,0.4486,-0.1061,0.0425,366,yes
CAGR%,delta,3,-0.038,0.4692,-0.0302,0.5651,365,
Sortino,delta,3,0.0407,0.4385,0.0265,0.6133,365,
AvgDailyRet%,delta,3,-0.0282,0.5918,-0.0226,0.6671,365,
Calmar,delta,3,-0.034,0.5197,-0.0133,0.8011,360,
Sharpe,delta,3,-0.0167,0.7499,-0.0046,0.9296,365,
Calmar,level,5,-0.1341,0.011,-0.2472,0.0,359,yes
Sharpe,level,5,-0.2868,0.0,-0.2465,0.0,364,yes
CAGR%,level,5,-0.1075,0.0403,-0.211,0.0,364,yes
AvgDailyRet%,level,5,-0.2315,0.0,-0.2056,0.0001,364,yes
Sortino,level,5,-0.0692,0.188,-0.1612,0.002,364,yes
CAGR%,delta,5,-0.0293,0.5779,-0.0373,0.4788,363,
Calmar,delta,5,-0.0278,0.6,-0.0171,0.7475,358,
AvgDailyRet%,delta,5,-0.0153,0.771,-0.0164,0.7562,363,
Sharpe,delta,5,-0.0247,0.6388,-0.0074,0.8883,363,
Sortino,delta,5,0.0237,0.6532,0.0025,0.9624,363,
