EARLY_KILL_Y,PORT_SL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,-0.04,2.4652,840.82,-38.399,-12.568,21.897,1.0895,False
0.0,-0.05,2.7537,1231.7,-38.748,-12.568,31.788,0.8458,False
0.0,-0.055,2.7369,1224.01,-45.23,-14.432,27.062,0.9605,False
0.0,-0.06,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.0,-0.065,3.0749,1843.93,-41.564,-15.944,44.364,0.9012,False
0.0,-0.07,3.0987,1891.4,-38.991,-16.764,48.508,0.8731,False
0.0,-0.075,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0,-0.08,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0,-0.085,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0,-0.1,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0005,-0.04,2.4652,840.82,-38.399,-12.568,21.897,1.0895,False
0.0005,-0.05,2.7537,1231.7,-38.748,-12.568,31.788,0.8458,False
0.0005,-0.055,2.7369,1224.01,-45.23,-14.432,27.062,0.9605,False
0.0005,-0.06,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.0005,-0.065,3.0749,1843.93,-41.564,-15.944,44.364,0.9012,False
0.0005,-0.07,3.0987,1891.4,-38.991,-16.764,48.508,0.8731,False
0.0005,-0.075,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0005,-0.08,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0005,-0.085,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0005,-0.1,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0008,-0.04,2.4652,840.82,-38.399,-12.568,21.897,1.0895,False
0.0008,-0.05,2.7537,1231.7,-38.748,-12.568,31.788,0.8458,False
0.0008,-0.055,2.7369,1224.01,-45.23,-14.432,27.062,0.9605,False
0.0008,-0.06,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.0008,-0.065,3.0749,1843.93,-41.564,-15.944,44.364,0.9012,False
0.0008,-0.07,3.0987,1891.4,-38.991,-16.764,48.508,0.8731,False
0.0008,-0.075,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0008,-0.08,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0008,-0.085,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0008,-0.1,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.001,-0.04,2.4652,840.82,-38.399,-12.568,21.897,1.0895,False
0.001,-0.05,2.7537,1231.7,-38.748,-12.568,31.788,0.8458,False
0.001,-0.055,2.7369,1224.01,-45.23,-14.432,27.062,0.9605,False
0.001,-0.06,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.001,-0.065,3.0749,1843.93,-41.564,-15.944,44.364,0.9012,False
0.001,-0.07,3.0987,1891.4,-38.991,-16.764,48.508,0.8731,False
0.001,-0.075,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.001,-0.08,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.001,-0.085,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.001,-0.1,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0015,-0.04,2.4652,840.82,-38.399,-12.568,21.897,1.0895,False
0.0015,-0.05,2.7537,1231.7,-38.748,-12.568,31.788,0.8458,False
0.0015,-0.055,2.7369,1224.01,-45.23,-14.432,27.062,0.9605,False
0.0015,-0.06,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.0015,-0.065,3.0749,1843.93,-41.564,-15.944,44.364,0.9012,False
0.0015,-0.07,3.0987,1891.4,-38.991,-16.764,48.508,0.8731,False
0.0015,-0.075,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
0.0015,-0.08,3.0859,1866.77,-38.991,-17.078,47.877,0.8787,False
