L_BASE,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.0,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.0,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.0,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.0,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.0,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.0,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.0,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.0,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.1,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.1,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.1,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.1,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.1,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.1,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.1,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.1,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.1,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.2,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.2,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.2,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.2,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.2,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.2,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.2,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.2,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.2,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.3,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.3,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.3,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.3,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.3,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.3,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.3,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.3,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.3,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.4,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.4,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.4,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.4,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.4,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.4,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.4,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.4,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.4,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.5,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.5,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.5,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.5,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.5,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.5,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.5,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.5,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.5,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.6,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.6,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.6,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.6,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.6,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.6,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.6,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.6,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.6,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.7,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.7,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.7,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.7,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.7,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.7,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.7,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.7,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.7,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.75,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.75,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.75,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.75,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.75,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.75,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.75,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.75,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.75,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.8,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.8,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.8,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.8,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.8,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.8,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.8,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.8,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.8,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
0.9,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
0.9,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
0.9,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
0.9,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
0.9,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
0.9,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
0.9,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
0.9,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
0.9,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
1.0,0.6,2.7933,135.55,-12.341,-4.349,10.983,0.915,False
1.0,0.8,2.7933,206.26,-16.193,-5.798,12.738,0.915,False
1.0,1.0,2.7933,293.75,-19.917,-7.247,14.749,0.915,False
1.0,1.2,2.7933,400.69,-23.518,-8.697,17.037,0.915,False
1.0,1.4,2.7933,529.77,-26.998,-10.146,19.622,0.915,False
1.0,1.5,2.7933,603.46,-28.694,-10.871,21.031,0.915,False
1.0,1.6,2.7933,683.66,-30.36,-11.596,22.519,0.915,False
1.0,1.8,2.7933,864.86,-33.606,-13.045,25.735,0.915,False
1.0,2.0,2.7933,1075.53,-36.739,-14.495,29.275,0.915,False
