surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,2.6536,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,2.7235,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,2.7654,8,12.5,8,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.95,3.1531,56,31.11,56,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,3.2361,32,17.78,32,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,3.2859,8,4.44,7,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,2.6536,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,2.7235,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,2.7654,108,100.0,108,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,2.8253,132,66.67,121,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,2.8997,110,55.56,88,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,2.9443,44,22.22,44,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,2.9438,48,60.0,48,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,3.0212,48,60.0,48,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,3.0677,48,60.0,48,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,2.9438,48,60.0,48,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,3.0212,48,60.0,48,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,3.0677,48,60.0,48,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,2.6536,56,70.0,48,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,2.7235,24,30.0,16,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,2.7654,16,20.0,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,2.6745,72,75.0,64,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,2.7449,32,33.33,24,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,2.7871,24,25.0,8,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,2.7417,27,38.57,22,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,2.8138,10,14.29,9,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,2.8571,1,1.43,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,2.6536,25,100.0,25,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,2.7235,13,52.0,9,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,2.7654,10,40.0,9,True,Robust plateau | baseline inside
