TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.04,30,1.021,-60.92,12.167,1.079,-2.195,291
0.04,31,1.021,-60.92,12.167,1.079,-2.195,291
0.04,32,1.021,-60.92,12.167,1.079,-2.195,291
0.04,33,1.021,-60.92,12.167,1.079,-2.195,291
0.04,34,1.021,-60.92,12.167,1.079,-2.195,291
0.04,35,1.849,-48.17,3.359,2.377,-0.455,290
0.04,36,1.849,-48.17,3.359,2.377,-0.455,290
0.04,37,1.849,-48.17,3.359,2.377,-0.455,290
0.04,38,1.849,-48.17,3.359,2.377,-0.455,290
0.04,39,1.849,-48.17,3.359,2.377,-0.455,290
0.04,40,0.661,-67.59,117.564,0.763,-1.616,289
0.04,41,0.661,-67.59,117.564,0.763,-1.616,289
0.04,42,0.661,-67.59,117.564,0.763,-1.616,289
0.04,43,0.661,-67.59,117.564,0.763,-1.616,289
0.04,44,0.661,-67.59,117.564,0.763,-1.616,289
0.05,30,1.692,-65.92,6.178,-0.926,-0.745,291
0.05,31,1.692,-65.92,6.178,-0.926,-0.745,291
0.05,32,1.692,-65.92,6.178,-0.926,-0.745,291
0.05,33,1.692,-65.92,6.178,-0.926,-0.745,291
0.05,34,1.692,-65.92,6.178,-0.926,-0.745,291
0.05,35,2.426,-55.2,2.866,2.894,-0.061,290
0.05,36,2.426,-55.2,2.866,2.894,-0.061,290
0.05,37,2.426,-55.2,2.866,2.894,-0.061,290
0.05,38,2.426,-55.2,2.866,2.894,-0.061,290
0.05,39,2.426,-55.2,2.866,2.894,-0.061,290
0.05,40,1.93,-63.06,5.178,2.643,-1.27,289
0.05,41,1.93,-63.06,5.178,2.643,-1.27,289
0.05,42,1.93,-63.06,5.178,2.643,-1.27,289
0.05,43,1.93,-63.06,5.178,2.643,-1.27,289
0.05,44,1.93,-63.06,5.178,2.643,-1.27,289
0.06,30,2.003,-50.38,1.282,0.27,1.244,291
0.06,31,2.003,-50.38,1.282,0.27,1.244,291
0.06,32,2.003,-50.38,1.282,0.27,1.244,291
0.06,33,2.003,-50.38,1.282,0.27,1.244,291
0.06,34,2.003,-50.38,1.282,0.27,1.244,291
0.06,35,2.711,-43.77,0.947,3.783,1.969,290
0.06,36,2.711,-43.77,0.947,3.783,1.969,290
0.06,37,2.711,-43.77,0.947,3.783,1.969,290
0.06,38,2.711,-43.77,0.947,3.783,1.969,290
0.06,39,2.711,-43.77,0.947,3.783,1.969,290
0.06,40,2.087,-51.19,1.503,2.438,0.759,289
0.06,41,2.087,-51.19,1.503,2.438,0.759,289
0.06,42,2.087,-51.19,1.503,2.438,0.759,289
