TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.04,35,1.849,-48.17,3.359,2.377,-0.455,290
0.05,35,2.426,-55.2,2.866,2.894,-0.061,290
0.06,35,2.711,-43.77,0.947,3.783,1.969,290
0.07,35,2.694,-42.58,0.956,4.085,3.617,290
0.08,35,2.939,-41.03,0.837,3.912,3.617,290
0.09,35,2.883,-39.34,0.791,3.912,3.617,290
0.1,35,2.904,-39.83,0.793,3.912,3.837,290
0.11,35,2.915,-39.34,0.77,3.912,3.837,290
0.12,35,2.974,-39.34,0.776,3.912,3.837,290
0.13,35,2.974,-39.34,0.776,3.912,3.837,290
0.14,35,2.974,-39.34,0.776,3.912,3.837,290
0.15,35,2.974,-39.34,0.776,3.912,3.837,290
0.16,35,2.974,-39.34,0.776,3.912,3.837,290
