shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,2.7898,1317.37,-39.762,0.0,0.0,True
-10.0,1,2.7115,1199.88,-45.186,-0.0783,-5.424,True
-10.0,3,2.5397,971.46,-55.6,-0.25,-15.839,False
-10.0,5,2.4883,908.96,-58.417,-0.3014,-18.655,False
-20.0,1,2.6088,1066.79,-51.276,-0.181,-11.514,False
-20.0,3,2.2462,674.89,-68.817,-0.5435,-29.055,False
-20.0,5,2.0123,487.92,-76.924,-0.7775,-37.163,False
-30.0,1,2.4931,932.3,-57.367,-0.2966,-17.605,False
-30.0,3,1.9384,436.65,-79.11,-0.8514,-39.348,False
-30.0,5,1.5419,218.71,-88.164,-1.2479,-48.403,False
-40.0,1,2.3678,796.21,-63.457,-0.4219,-23.695,False
-40.0,3,1.6344,251.16,-86.845,-1.1554,-47.083,False
-40.0,5,1.1101,57.19,-94.524,-1.6796,-54.762,False
