aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.4738,0.94761,-0.0951,-1.4563,-83.53,-93.82,-0.89,Unusable
143844,0.56826,1.13651,-0.3856,-1.7468,-90.41,-95.84,-0.94,Unusable
206913,0.68154,1.36308,-0.7339,-2.0951,-94.99,-97.61,-0.97,Unusable
297635,0.81741,1.63482,-1.1514,-2.5126,-97.71,-98.79,-0.99,Unusable
428133,0.98036,1.96073,-1.6514,-3.0126,-99.1,-99.47,-1.0,Unusable
615848,1.1758,2.35161,-2.2498,-3.6109,-99.71,-99.8,-1.0,Unusable
885866,1.41021,2.82041,-2.9648,-4.326,-99.93,-99.96,-1.0,Unusable
1274274,1.69134,3.38267,-3.8175,-5.1787,-99.99,-99.99,-1.0,Unusable
1832980,2.02851,4.05702,-4.8312,-6.1924,-100.0,-100.0,-1.0,Unusable
2636650,2.4329,4.8658,-6.0309,-7.3921,-100.0,-100.0,-1.0,Unusable
3792690,2.91791,5.83582,-7.4416,-8.8028,-100.0,-100.0,-1.0,Unusable
5455594,3.49961,6.99921,-9.0851,-10.4463,-100.0,-100.0,-1.0,Unusable
7847599,4.19727,8.39454,-10.9754,-12.3365,-100.0,-100.0,-1.0,Unusable
11288378,5.03401,10.06802,-13.1111,-14.4723,-100.0,-100.0,-1.0,Unusable
16237767,6.03756,12.07512,-15.4679,-16.8291,-100.0,-100.0,-1.0,Unusable
23357214,7.24117,14.48234,-17.9905,-19.3517,-100.0,-100.0,-1.0,Unusable
33598182,8.68473,17.36945,-20.5904,-21.9516,-100.0,-100.0,-1.0,Unusable
48329302,10.41606,20.83212,-23.154,-24.5152,-100.0,-100.0,-1.0,Unusable
69519279,12.49255,24.98509,-25.5606,-26.9217,-100.0,-100.0,-1.0,Unusable
100000000,14.98298,29.96597,-27.7077,-29.0689,-100.0,-100.0,-1.0,Unusable
