Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,level,1,0.0142,0.7811,0.0997,0.0497,388,yes
Calmar,delta,1,0.0186,0.718,0.0979,0.0563,381,
CAGR%,delta,1,0.0184,0.7176,0.0938,0.0653,387,
AvgDailyRet%,delta,1,0.1166,0.0218,0.0926,0.0688,387,
Sharpe,delta,1,0.0936,0.0673,0.0846,0.0983,383,
Sharpe,level,1,0.0954,0.0619,0.0826,0.1062,384,
Sortino,delta,1,-0.039,0.4447,0.0786,0.1228,387,
CAGR%,level,1,-0.0201,0.6936,0.0763,0.1335,388,
AvgDailyRet%,level,1,0.0798,0.1166,0.0746,0.1425,388,
Calmar,level,1,-0.0209,0.6846,0.056,0.2752,382,
CAGR%,delta,3,-0.0075,0.8839,0.0871,0.088,385,
Calmar,delta,3,-0.008,0.877,0.085,0.0983,379,
Sortino,level,3,0.0622,0.2226,0.0745,0.1439,386,
Sortino,delta,3,0.0035,0.9457,0.0666,0.1925,385,
AvgDailyRet%,delta,3,0.049,0.3379,0.0578,0.2578,385,
Sharpe,delta,3,0.0334,0.5161,0.054,0.293,381,
Sharpe,level,3,0.1111,0.0299,0.0463,0.3664,382,
AvgDailyRet%,level,3,0.0765,0.1336,0.0392,0.4425,386,
CAGR%,level,3,-0.0318,0.5334,0.0354,0.4879,386,
Calmar,level,3,-0.0328,0.5238,-0.0041,0.9372,380,
Sortino,level,5,0.0415,0.4169,0.0938,0.0664,384,
Sortino,delta,5,0.0053,0.9173,0.0608,0.2353,383,
Calmar,delta,5,-0.0205,0.6917,0.0592,0.2519,377,
AvgDailyRet%,level,5,0.1088,0.033,0.0526,0.3037,384,
CAGR%,delta,5,-0.0202,0.6936,0.0492,0.3366,383,
Sharpe,level,5,0.147,0.0041,0.0491,0.3395,380,
CAGR%,level,5,0.0068,0.8937,0.0438,0.3915,384,
AvgDailyRet%,delta,5,0.019,0.7103,0.0347,0.4985,383,
Sharpe,delta,5,0.016,0.7556,0.0276,0.5928,379,
Calmar,level,5,0.0067,0.8972,-0.0109,0.8335,378,
