Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,delta,1,0.0085,0.8671,0.1,0.0494,387,yes
CAGR%,delta,1,0.0086,0.8664,0.0762,0.1346,387,
Sortino,level,1,-0.011,0.8284,0.0344,0.4993,388,
Calmar,level,1,-0.0389,0.445,0.0287,0.5732,388,
Sharpe,level,1,0.0212,0.6774,0.023,0.6509,388,
Sortino,delta,1,-0.0191,0.7078,0.0226,0.6574,387,
CAGR%,level,1,-0.0389,0.4449,0.0207,0.6848,388,
AvgDailyRet%,level,1,-0.0084,0.869,0.0175,0.7318,388,
AvgDailyRet%,delta,1,0.0156,0.7592,0.0124,0.8085,387,
Sharpe,delta,1,0.041,0.4215,0.0113,0.8242,387,
Calmar,delta,3,-0.0345,0.4997,0.0705,0.1675,385,
CAGR%,delta,3,-0.0345,0.4996,0.0612,0.2312,385,
Calmar,level,3,-0.0622,0.223,-0.0465,0.3623,386,
CAGR%,level,3,-0.0622,0.2229,-0.0308,0.546,386,
Sharpe,level,3,0.0327,0.5217,-0.026,0.6102,386,
AvgDailyRet%,delta,3,-0.0582,0.2547,-0.024,0.6386,385,
Sharpe,delta,3,-0.0357,0.4845,-0.0225,0.6593,385,
AvgDailyRet%,level,3,-0.0038,0.9402,-0.0189,0.7116,386,
Sortino,delta,3,-0.0136,0.79,0.0068,0.8939,385,
Sortino,level,3,-0.0146,0.7749,-0.0045,0.9304,386,
Sortino,level,5,-0.0051,0.9204,0.0409,0.4243,384,
AvgDailyRet%,delta,5,-0.0574,0.2624,-0.0305,0.5524,383,
CAGR%,delta,5,-0.0157,0.7593,0.0273,0.5936,383,
AvgDailyRet%,level,5,0.0414,0.4184,0.0273,0.594,384,
Sharpe,delta,5,-0.0262,0.6095,-0.0233,0.6492,383,
Calmar,delta,5,-0.0157,0.7597,0.0219,0.6689,383,
Calmar,level,5,-0.0294,0.5657,-0.0214,0.6766,384,
CAGR%,level,5,-0.0294,0.5659,0.0138,0.7877,384,
Sharpe,level,5,0.0752,0.1412,0.0137,0.7896,384,
Sortino,delta,5,-0.0288,0.5741,0.0064,0.901,383,
