date,type,start_usd,margin_usd,lev,invested_usd,trade_vol_usd,taker_fee_usd,funding_usd,end_usd,ret_gross_pct,ret_net_pct,net_pnl_usd
2025-02-13,active,100000.0,100000.0,1.3,130000.0,260000.0,104.0,26.0,93480.5,-6.3895,-6.5195,-6519.5
2025-02-14,active,93480.5,93480.5,1.3,121524.65,243049.3,97.2197,24.3049,87793.15,-5.954,-6.084,-5687.35
2025-02-15,active,87793.15,87793.15,1.3,114131.09,228262.18,91.3049,22.8262,85918.54,-2.0053,-2.1353,-1874.6
2025-02-16,active,85918.54,85918.54,1.3,111694.11,223388.21,89.3553,22.3388,83042.42,-3.2175,-3.3475,-2876.12
2025-02-17,active,83042.42,83042.42,1.3,107955.15,215910.29,86.3641,21.591,79660.73,-3.9423,-4.0723,-3381.69
2025-02-18,active,79660.73,79660.73,1.3,103558.94,207117.89,82.8472,20.7118,80067.19,0.6403,0.5103,406.47
2025-02-19,active,80067.19,80067.19,1.3,104087.35,208174.7,83.2699,20.8175,83234.05,4.0853,3.9553,3166.86
2025-02-20,active,83234.05,83234.05,1.3,108204.27,216408.53,86.5634,21.6409,97508.9,17.2802,17.1502,14274.85
2025-02-21,active,97508.9,97508.9,1.3,126761.57,253523.14,101.4093,25.3523,90093.35,-7.475,-7.605,-7415.55
2025-02-22,active,90093.35,90093.35,1.3,117121.35,234242.7,93.6971,23.4243,101662.01,12.9708,12.8407,11568.66
2025-02-23,active,101662.01,101662.01,1.3,132160.61,264321.22,105.7285,26.4321,101100.33,-0.4225,-0.5525,-561.68
2025-02-24,active,101100.33,101100.33,1.3,131430.42,262860.85,105.1443,26.2861,95797.11,-5.1155,-5.2455,-5303.22
2025-02-25,flat,95797.11,0.0,0.0,0.0,0.0,0.0,0.0,95797.11,0.0,0.0,0.0
2025-02-26,active,95797.11,95797.11,1.3,124536.24,249072.48,99.629,24.9072,106974.24,11.7975,11.6675,11177.13
2025-02-27,active,106974.24,106974.24,1.3,139066.51,278133.02,111.2532,27.8133,101908.74,-4.6052,-4.7352,-5065.5
2025-02-28,active,101908.74,101908.74,1.3,132481.36,264962.72,105.9851,26.4963,103147.44,1.3455,1.2155,1238.7
2025-03-01,active,103147.44,103147.44,1.3,134091.67,268183.34,107.2733,26.8183,101058.96,-1.8947,-2.0247,-2088.48
2025-03-02,active,101058.96,101058.96,1.3,131376.65,262753.3,105.1013,26.2753,99659.8,-1.2545,-1.3845,-1399.16
2025-03-03,active,99659.8,99659.8,1.3,129557.74,259115.48,103.6462,25.9115,96712.36,-2.8275,-2.9575,-2947.44
2025-03-04,active,96712.36,96712.36,1.3,125726.07,251452.14,100.5809,25.1452,95678.27,-0.9393,-1.0693,-1034.1
2025-03-05,active,95678.27,95678.27,1.3,124381.74,248763.49,99.5054,24.8763,101744.98,6.4707,6.3408,6066.72
2025-03-06,active,101744.98,101744.98,1.3,132268.48,264536.96,105.8148,26.4537,93623.7,-7.852,-7.982,-8121.28
2025-03-07,active,93623.7,93623.7,1.3,121710.81,243421.62,97.3686,24.3422,91931.92,-1.677,-1.807,-1691.78
2025-03-08,active,91931.92,91931.92,1.3,119511.5,239022.99,95.6092,23.9023,84393.73,-8.0698,-8.1997,-7538.19
2025-03-09,active,84393.73,84393.73,1.3,109711.85,219423.7,87.7695,21.9424,78600.95,-6.734,-6.864,-5792.79
2025-03-10,active,78600.95,78600.95,1.3,102181.23,204362.46,81.745,20.4362,72434.31,-7.7155,-7.8455,-6166.64
2025-03-11,active,72434.31,72434.31,1.3,94164.6,188329.2,75.3317,18.8329,71010.07,-1.8362,-1.9663,-1424.24
2025-03-12,active,71010.07,71010.07,1.3,92313.09,184626.18,73.8505,18.4626,74492.58,5.0343,4.9043,3482.51
2025-03-13,active,74492.58,74492.58,1.3,96840.36,193680.71,77.4723,19.3681,68425.53,-8.0145,-8.1445,-6067.05
2025-03-14,active,68425.53,68425.53,1.3,88953.19,177906.39,71.1626,17.7906,68932.57,0.871,0.741,507.03
2025-03-15,active,68932.57,68932.57,1.3,89612.34,179224.67,71.6899,17.9225,76184.44,10.6502,10.5203,7251.88
2025-03-16,active,76184.44,76184.44,2.6,198079.55,396159.11,158.4636,39.6159,75184.14,-1.053,-1.313,-1000.3
2025-03-17,active,75184.14,75184.14,2.6,195478.77,390957.54,156.383,39.0958,77784.01,3.718,3.458,2599.87
2025-03-18,active,77784.01,77784.01,2.6,202238.43,404476.85,161.7907,40.4477,65199.72,-15.9185,-16.1785,-12584.29
2025-03-19,active,65199.72,65199.72,2.6,169519.28,339038.56,135.6154,33.9039,62703.55,-3.5685,-3.8285,-2496.17
2025-03-20,active,62703.55,62703.55,2.6,163029.24,326058.47,130.4234,32.6058,62051.44,-0.78,-1.04,-652.12
2025-03-21,active,62051.44,62051.44,2.6,161333.73,322667.47,129.067,32.2667,69174.32,11.739,11.479,7122.88
2025-03-22,active,69174.32,69174.32,2.6,179853.23,359706.46,143.8826,35.9706,69988.16,1.4365,1.1765,813.84
2025-03-23,active,69988.16,69988.16,2.6,181969.21,363938.41,145.5754,36.3938,62741.23,-10.0945,-10.3545,-7246.92
2025-03-24,active,62741.23,62741.23,2.6,163127.2,326254.41,130.5018,32.6254,52545.78,-15.99,-16.25,-10195.45
2025-03-25,active,52545.78,52545.78,2.6,136619.03,273238.07,109.2952,27.3238,50394.03,-3.835,-4.095,-2151.75
2025-03-26,active,50394.03,50394.03,2.6,131024.48,262048.97,104.8196,26.2049,47491.84,-5.499,-5.759,-2902.19
2025-03-27,active,47491.84,47491.84,2.6,123478.78,246957.57,98.783,24.6958,63034.73,32.9875,32.7275,15542.89
2025-03-28,active,63034.73,63034.73,2.6,163890.3,327780.61,131.1122,32.7781,56204.6,-10.5755,-10.8355,-6830.13
2025-03-29,active,56204.6,56204.6,2.6,146131.97,292263.94,116.9056,29.2264,51568.57,-7.9885,-8.2485,-4636.04
2025-03-30,active,51568.57,51568.57,2.6,134078.27,268156.55,107.2626,26.8157,50968.57,-0.9035,-1.1635,-600.0
2025-03-31,active,50968.57,50968.57,2.6,132518.27,265036.55,106.0146,26.5037,50289.41,-1.0725,-1.3325,-679.16
2025-04-01,active,50289.41,50289.41,2.6,130752.47,261504.93,104.602,26.1505,44905.68,-10.4455,-10.7055,-5383.73
2025-04-02,active,44905.68,44905.68,2.6,116754.76,233509.52,93.4038,23.351,46006.09,2.7105,2.4505,1100.41
2025-04-03,active,46006.09,46006.09,2.6,119615.84,239231.67,95.6927,23.9232,48754.26,6.2335,5.9735,2748.17
2025-04-04,active,48754.26,48754.26,2.6,126761.09,253522.18,101.4089,25.3522,45100.38,-7.2345,-7.4945,-3653.89
2025-04-05,active,45100.38,45100.38,2.6,117260.98,234521.96,93.8088,23.4522,45548.9,1.2545,0.9945,448.52
2025-04-06,active,45548.9,45548.9,2.6,118427.14,236854.28,94.7417,23.6854,40338.11,-11.18,-11.44,-5210.79
2025-04-07,active,40338.11,40338.11,2.6,104879.07,209758.15,83.9033,20.9758,43694.24,8.58,8.32,3356.13
2025-04-08,active,43694.24,43694.24,2.6,113605.01,227210.03,90.884,22.721,43288.1,-0.6695,-0.9295,-406.14
2025-04-09,active,43288.1,43288.1,2.6,112549.06,225098.11,90.0392,22.5098,45305.54,4.9205,4.6605,2017.44
2025-04-10,active,45305.54,45305.54,2.6,117794.4,235588.81,94.2355,23.5589,43188.19,-4.4135,-4.6735,-2117.35
2025-04-11,active,43188.19,43188.19,2.6,112289.28,224578.56,89.8314,22.4579,45417.13,5.421,5.161,2228.94
2025-04-12,active,45417.13,45417.13,2.6,118084.53,236169.06,94.4676,23.6169,55176.81,21.749,21.489,9759.69
2025-04-13,active,55176.81,55176.81,2.6,143459.72,286919.43,114.7678,28.6919,50001.51,-9.1195,-9.3795,-5175.31
2025-04-14,active,50001.51,50001.51,2.6,130003.91,260007.83,104.0031,26.0008,45087.36,-9.568,-9.828,-4914.15
2025-04-15,active,45087.36,45087.36,2.6,117227.13,234454.26,93.7817,23.4454,48064.93,6.864,6.604,2977.57
2025-04-16,active,48064.93,48064.93,2.6,124968.81,249937.62,99.975,24.9938,45071.92,-5.967,-6.227,-2993.0
2025-04-17,active,45071.92,45071.92,2.6,117187.0,234374.0,93.7496,23.4374,52750.6,17.2965,17.0365,7678.68
2025-04-18,active,52750.6,52750.6,2.6,137151.56,274303.13,109.7213,27.4303,50799.62,-3.4385,-3.6985,-1950.98
2025-04-19,active,50799.62,50799.62,2.6,132079.01,264158.03,105.6632,26.4158,60329.12,19.019,18.759,9529.5
2025-04-20,active,60329.12,60329.12,2.6,156855.72,313711.43,125.4846,31.3711,55317.58,-8.047,-8.307,-5011.54
2025-04-21,active,55317.58,55317.58,2.6,143825.71,287651.42,115.0606,28.7651,62023.45,12.3825,12.1225,6705.87
2025-04-22,active,62023.45,62023.45,2.6,161260.98,322521.97,129.0088,32.2522,88357.37,42.718,42.458,26333.92
2025-04-23,active,88357.37,88357.37,1.4243,125845.28,251690.56,100.6762,25.1691,94055.02,6.5908,6.4484,5697.65
2025-04-24,active,94055.02,94055.02,1.3,122271.52,244543.05,97.8172,24.4543,106499.2,13.3608,13.2307,12444.18
2025-04-25,active,106499.2,106499.2,1.3,138448.96,276897.93,110.7592,27.6898,119669.16,12.4962,12.3663,13169.96
2025-04-26,active,119669.16,119669.16,1.3,155569.91,311139.82,124.4559,31.114,119673.05,0.1332,0.0032,3.89
2025-04-27,active,119673.05,119673.05,1.3,155574.96,311149.93,124.46,31.115,110603.03,-7.449,-7.579,-9070.02
2025-04-28,active,110603.03,110603.03,1.3,143783.94,287567.88,115.0272,28.7568,100566.91,-8.944,-9.074,-10036.12
2025-04-29,active,100566.91,100566.91,1.3,130736.98,261473.97,104.5896,26.1474,98527.41,-1.898,-2.028,-2039.5
2025-04-30,active,98527.41,98527.41,1.3,128085.64,256171.28,102.4685,25.6171,107679.13,9.4185,9.2885,9151.72
2025-05-01,active,107679.13,107679.13,1.3,139982.87,279965.74,111.9863,27.9966,107623.14,0.078,-0.052,-55.99
2025-05-02,active,107623.14,107623.14,1.3,139910.08,279820.16,111.9281,27.982,109637.84,2.002,1.872,2014.71
2025-05-03,active,109637.84,109637.84,1.3,142529.2,285058.4,114.0234,28.5058,107065.19,-2.2165,-2.3465,-2572.65
2025-05-04,active,107065.19,107065.19,1.3,139184.75,278369.5,111.3478,27.8369,103783.91,-2.9347,-3.0647,-3281.28
2025-05-05,active,103783.91,103783.91,1.3,134919.09,269838.17,107.9353,26.9838,105848.17,2.119,1.989,2064.26
2025-05-06,active,105848.17,105848.17,1.3,137602.63,275205.25,110.0821,27.5205,102466.59,-3.0648,-3.1948,-3381.58
2025-05-07,active,102466.59,102466.59,1.3,133206.57,266413.13,106.5653,26.6413,116270.12,13.6012,13.4712,13803.53
2025-05-08,active,116270.12,116270.12,1.3,151151.16,302302.31,120.9209,30.2302,129790.59,11.7585,11.6285,13520.47
2025-05-09,active,129790.59,129790.59,1.3,168727.77,337455.54,134.9822,33.7456,149076.17,14.989,14.859,19285.58
2025-05-10,active,149076.17,149076.17,1.3,193799.03,387598.05,155.0392,38.7598,152656.61,2.5318,2.4018,3580.44
2025-05-11,active,152656.61,152656.61,1.3,198453.59,396907.19,158.7629,39.6907,140506.29,-7.8292,-7.9592,-12150.32
2025-05-12,active,140506.29,140506.29,1.3,182658.18,365316.35,146.1265,36.5316,152438.44,8.6222,8.4923,11932.15
2025-05-13,active,152438.44,152438.44,1.3,198169.97,396339.93,158.536,39.634,146116.81,-4.017,-4.147,-6321.62
2025-05-14,active,146116.81,146116.81,1.3,189951.86,379903.72,151.9615,37.9904,135617.22,-7.0558,-7.1858,-10499.59
2025-05-15,active,135617.22,135617.22,1.3,176302.39,352604.78,141.0419,35.2605,122866.15,-9.2722,-9.4022,-12751.07
2025-05-16,active,122866.15,122866.15,1.3,159726.0,319452.0,127.7808,31.9452,117527.31,-4.2153,-4.3453,-5338.84
2025-05-17,active,117527.31,117527.31,1.3,152785.51,305571.01,122.2284,30.5571,114272.98,-2.639,-2.769,-3254.33
2025-05-18,active,114272.98,114272.98,1.3,148554.88,297109.75,118.8439,29.711,114339.83,0.1885,0.0585,66.85
2025-05-19,active,114339.83,114339.83,1.3,148641.78,297283.56,118.9134,29.7284,113689.52,-0.4388,-0.5688,-650.31
2025-05-20,active,113689.52,113689.52,1.3,147796.38,295592.76,118.2371,29.5593,111941.83,-1.4072,-1.5372,-1747.69
2025-05-21,active,111941.83,111941.83,1.3,145524.38,291048.76,116.4195,29.1049,112593.05,0.7117,0.5817,651.22
2025-05-22,active,112593.05,112593.05,1.3,146370.97,292741.94,117.0968,29.2742,114323.89,1.6672,1.5373,1730.84
2025-05-23,active,114323.89,114323.89,1.3195,150853.94,301707.88,120.6832,30.1708,105102.94,-7.9337,-8.0656,-9220.95
