Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,delta,1,0.0085,0.8677,0.1076,0.0344,387,yes
CAGR%,delta,1,0.0085,0.8671,0.0806,0.1133,387,
Sortino,level,1,-0.0155,0.7609,0.0309,0.5439,388,
Sortino,delta,1,-0.0173,0.735,0.0302,0.5535,387,
Calmar,level,1,-0.039,0.4433,0.0219,0.6676,388,
Sharpe,delta,1,0.048,0.3464,0.02,0.695,387,
AvgDailyRet%,delta,1,0.0211,0.6787,0.0196,0.7002,387,
Sharpe,level,1,0.0136,0.7902,0.0181,0.723,388,
CAGR%,level,1,-0.039,0.4433,0.0166,0.7444,388,
AvgDailyRet%,level,1,-0.015,0.7682,0.0135,0.7915,388,
Calmar,level,3,-0.0625,0.2208,-0.0763,0.1345,386,
Calmar,delta,3,-0.0343,0.5018,0.0743,0.1459,385,
CAGR%,delta,3,-0.0343,0.5017,0.0646,0.2062,385,
Sharpe,level,3,0.0164,0.7481,-0.0492,0.3347,386,
CAGR%,level,3,-0.0625,0.2207,-0.0475,0.3517,386,
AvgDailyRet%,level,3,-0.0174,0.7329,-0.0381,0.4556,386,
Sortino,level,3,-0.0247,0.6283,-0.0251,0.6234,386,
AvgDailyRet%,delta,3,-0.0552,0.2803,-0.0186,0.7158,385,
Sortino,delta,3,-0.0123,0.8106,0.0127,0.8044,385,
Sharpe,delta,3,-0.0297,0.5617,-0.0115,0.8213,385,
Calmar,level,5,-0.03,0.5584,-0.0544,0.2879,384,
CAGR%,delta,5,-0.0157,0.7598,0.0307,0.5487,383,
Calmar,delta,5,-0.0156,0.7602,0.0288,0.574,383,
AvgDailyRet%,delta,5,-0.0561,0.2737,-0.0269,0.6003,383,
Sharpe,level,5,0.0513,0.3162,-0.0239,0.6404,384,
Sharpe,delta,5,-0.0238,0.6425,-0.0162,0.7518,383,
CAGR%,level,5,-0.0299,0.5586,-0.0143,0.7806,384,
Sortino,delta,5,-0.0281,0.5833,0.0099,0.8473,383,
Sortino,level,5,-0.0192,0.7071,0.0068,0.8947,384,
AvgDailyRet%,level,5,0.0226,0.6595,-0.0033,0.9492,384,
