Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.0828,0.1151,-0.081,0.1233,363,
Calmar,level,1,-0.0201,0.7352,-0.0779,0.1882,287,
CAGR%,level,1,-0.0683,0.1793,-0.0755,0.1378,388,
AvgDailyRet%,level,1,-0.0867,0.0881,-0.0675,0.1843,388,
Sortino,delta,1,0.0741,0.1456,0.0526,0.3022,387,
CAGR%,delta,1,0.0598,0.2408,0.0278,0.5855,387,
AvgDailyRet%,delta,1,0.0384,0.451,0.0179,0.725,387,
Sharpe,delta,1,0.0638,0.2258,0.009,0.8652,362,
Sortino,level,1,-0.0643,0.2065,-0.0081,0.8743,388,
Calmar,delta,1,-0.0002,0.9969,-0.0014,0.9809,286,
Sharpe,level,3,-0.2049,0.0001,-0.1383,0.0085,361,yes
CAGR%,level,3,-0.1756,0.0005,-0.1227,0.0159,386,yes
Calmar,level,3,-0.0405,0.4948,-0.1175,0.0468,287,yes
AvgDailyRet%,level,3,-0.1765,0.0005,-0.1139,0.0252,386,yes
Sortino,level,3,-0.1488,0.0034,-0.0809,0.1127,386,
Sortino,delta,3,-0.019,0.71,0.0627,0.2193,385,
AvgDailyRet%,delta,3,0.0042,0.9352,0.0296,0.5629,385,
Sharpe,delta,3,0.0234,0.6581,0.0287,0.5877,360,
Calmar,delta,3,0.0,0.9997,-0.0235,0.692,286,
CAGR%,delta,3,-0.0452,0.3768,0.0228,0.6556,385,
Sharpe,level,5,-0.2575,0.0,-0.2144,0.0,359,yes
CAGR%,level,5,-0.1195,0.0192,-0.1799,0.0004,384,yes
AvgDailyRet%,level,5,-0.2089,0.0,-0.1791,0.0004,384,yes
Calmar,level,5,-0.0554,0.3494,-0.1649,0.0051,287,yes
Sortino,level,5,-0.1574,0.002,-0.1465,0.004,384,yes
CAGR%,delta,5,-0.0626,0.2216,-0.0593,0.247,383,
Sortino,delta,5,-0.0524,0.3064,-0.0461,0.3683,383,
AvgDailyRet%,delta,5,-0.0177,0.7304,-0.0303,0.554,383,
Calmar,delta,5,-0.0,0.9999,-0.0255,0.6674,286,
Sharpe,delta,5,-0.0176,0.74,-0.0161,0.761,358,
