trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
0,2.320541,-0.058900,0.996821,37,0.002026,0.124245,870,2.987100,2397.740000,-47.743000,50.222000,1.182900
1,2.325868,-0.053306,0.886604,34,0.004024,0.100358,906,2.096700,581.990000,-49.378000,11.786000,0.867300
2,2.175102,-0.055090,0.914738,31,0.003786,0.099480,869,2.095100,522.510000,-48.758000,10.716000,0.937100
3,2.135991,-0.068473,1.006143,38,0.002267,0.087604,457,3.259700,2246.090000,-34.195000,65.685000,0.723600
4,2.047887,-0.063295,0.966086,40,0.002582,0.080673,702,2.511800,644.050000,-32.000000,20.127000,0.752800
5,2.063367,-0.053339,0.893440,32,0.003408,0.085475,912,2.459800,680.520000,-28.191000,24.139000,0.639100
6,2.288117,-0.056623,0.989710,38,0.002730,0.074760,825,3.077700,1423.910000,-33.481000,42.529000,0.766000
7,2.041491,-0.054598,0.766988,38,0.003396,0.104772,882,3.038900,1782.230000,-32.725000,54.461000,0.615600
8,2.181923,-0.061237,0.802745,31,0.003404,0.087919,758,2.420600,725.370000,-30.774000,23.571000,0.680000
9,2.316599,-0.062425,0.914466,36,0.002529,0.056219,684,3.649800,2129.680000,-26.564000,80.171000,0.719100
10,2.074417,-0.058354,0.995419,32,0.001940,0.074260,601,2.034000,353.660000,-30.352000,11.652000,0.874500
11,2.271243,-0.061027,0.976653,37,0.002775,0.112609,528,3.057600,2533.620000,-42.690000,59.349000,0.769100
12,1.989993,-0.052621,0.960037,35,0.002187,0.090075,520,3.430200,2269.900000,-29.690000,76.453000,0.667300
13,2.286381,-0.059031,0.867876,33,0.003313,0.080051,482,2.115000,545.950000,-37.246000,14.658000,1.098000
14,2.031923,-0.068314,1.010317,37,0.002438,0.123781,881,2.918000,1598.280000,-44.013000,36.314000,1.264900
15,2.295432,-0.059089,0.838505,31,0.003966,0.086816,549,2.296700,664.380000,-42.922000,15.479000,1.198300
16,2.114621,-0.061426,0.812729,39,0.003620,0.105801,681,2.985000,1744.930000,-38.377000,45.468000,0.628800
17,2.256016,-0.061514,0.940459,31,0.002798,0.056996,717,2.179200,407.320000,-34.346000,11.859000,1.119300
18,2.125139,-0.053601,0.792919,36,0.002209,0.120609,767,2.856100,1547.140000,-43.026000,35.959000,1.313700
