L_BASE,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.0,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.0,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.0,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.0,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.0,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.0,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.0,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.0,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.1,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.1,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.1,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.1,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.1,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.1,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.1,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.1,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.1,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.2,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.2,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.2,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.2,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.2,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.2,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.2,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.2,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.2,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.3,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.3,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.3,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.3,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.3,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.3,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.3,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.3,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.3,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.4,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.4,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.4,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.4,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.4,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.4,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.4,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.4,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.4,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.5,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.5,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.5,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.5,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.5,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.5,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.5,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.5,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.5,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.6,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.6,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.6,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.6,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.6,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.6,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.6,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.6,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.6,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.7,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.7,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.7,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.7,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.7,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.7,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.7,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.7,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.7,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.75,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.75,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.75,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.75,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.75,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.75,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.75,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.75,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.75,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.8,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.8,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.8,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.8,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.8,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.8,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.8,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.8,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.8,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
0.9,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
0.9,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
0.9,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
0.9,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
0.9,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
0.9,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
0.9,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
0.9,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
0.9,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
1.0,0.6,0.8315,23.97,-24.284,-7.752,0.987,3.0668,False
1.0,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
1.0,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
1.0,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
1.0,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
1.0,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
1.0,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
1.0,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
1.0,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
