PORT_SL,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
-0.04,0.8,0.8005,29.92,-36.895,-7.176,0.811,2.495,False
-0.04,1.0,0.8002,34.83,-43.934,-8.97,0.793,2.5015,False
-0.04,1.2,0.8,38.44,-50.255,-10.764,0.765,2.5091,False
-0.04,1.4,0.8,40.7,-55.923,-12.558,0.728,2.5091,False
-0.04,1.5,0.8,41.31,-58.62,-13.455,0.705,2.5091,False
-0.04,1.6,0.8,41.56,-61.295,-14.352,0.678,2.5091,False
-0.04,1.8,0.8,41.0,-66.239,-16.146,0.619,2.5091,False
-0.04,2.0,0.8,39.08,-70.668,-17.94,0.553,2.5091,False
-0.05,0.8,0.8237,29.75,-31.853,-8.632,0.934,3.2168,False
-0.05,1.0,0.8368,35.89,-38.222,-10.79,0.939,3.1674,False
-0.05,1.2,0.836,40.25,-44.048,-12.948,0.914,3.1691,False
-0.05,1.4,0.836,43.47,-49.372,-15.106,0.881,3.1691,False
-0.05,1.5,0.836,44.62,-51.859,-16.185,0.86,3.1691,False
-0.05,1.6,0.836,45.46,-54.234,-17.264,0.838,3.1691,False
-0.05,1.8,0.836,46.16,-58.671,-19.422,0.787,3.1691,False
-0.05,2.0,0.836,45.58,-62.715,-21.58,0.727,3.1691,False
-0.055,0.8,0.8143,29.22,-32.448,-9.152,0.9,3.0533,False
-0.055,1.0,0.8191,34.62,-38.903,-11.44,0.89,3.007,False
-0.055,1.2,0.8161,38.48,-44.796,-13.728,0.859,3.0083,False
-0.055,1.4,0.8161,41.37,-50.171,-16.016,0.825,3.0083,False
-0.055,1.5,0.8161,42.35,-52.676,-17.16,0.804,3.0083,False
-0.055,1.6,0.8161,43.01,-55.068,-18.304,0.781,3.0083,False
-0.055,1.8,0.8161,43.39,-59.527,-20.592,0.729,3.0083,False
-0.055,2.0,0.8161,42.51,-63.582,-22.88,0.669,3.0083,False
-0.06,0.8,0.8176,29.45,-31.104,-10.336,0.947,3.0888,False
-0.06,1.0,0.8224,34.89,-37.364,-12.92,0.934,3.0474,False
-0.06,1.2,0.8194,38.77,-43.104,-15.504,0.899,3.0496,False
-0.06,1.4,0.8194,41.66,-48.365,-18.088,0.861,3.0496,False
-0.06,1.5,0.8194,42.63,-50.827,-19.38,0.839,3.0496,False
-0.06,1.6,0.8194,43.28,-53.182,-20.672,0.814,3.0496,False
-0.06,1.8,0.8194,43.6,-57.589,-23.256,0.757,3.0496,False
-0.06,2.0,0.8194,42.64,-61.618,-25.84,0.692,3.0496,False
-0.065,0.8,0.8026,28.69,-31.104,-10.78,0.923,3.1,False
-0.065,1.0,0.8073,33.88,-37.364,-13.475,0.907,3.0603,False
-0.065,1.2,0.8044,37.49,-43.104,-16.17,0.87,3.0629,False
-0.065,1.4,0.8044,40.09,-48.365,-18.865,0.829,3.0629,False
-0.065,1.5,0.8044,40.91,-50.827,-20.212,0.805,3.0629,False
-0.065,1.6,0.8044,41.41,-53.182,-21.56,0.779,3.0629,False
-0.065,1.8,0.8044,41.44,-57.589,-24.255,0.72,3.0629,False
