Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,1.21,Fail
Return Quality,Sortino Ratio,>3.0,3.59,Pass
Return Quality,Calmar Ratio,>3.0,1.85,Fail
Return Quality,CAGR %,>30%,115.84%,Pass
Return Quality,Return / MaxDD,>3x,1.85,Fail
Return Quality,Gross Return %,info,167.82%,N/A
Return Quality,Net Return %,info,138.71%,N/A
Return Quality,CAGR / Total Return (×),info,0.84,N/A
Return Quality,Equity Multiplier (×),info,2.39,N/A
Return Quality,Doubling Periods,info,1.26,N/A
Return Quality,Volatility Drag Ann %,info,55.09,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,3.43,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,3.43,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,3.43,Pass
Return Quality,Avg Monthly Return %,>0%,11.75%,Pass
Return Quality,Worst Monthly Return %,>-20%,-54.90%,Fail
Robustness & Validation,FA Walk-Forward CV,<0.25,N/A,N/A
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,N/A,N/A
Robustness & Validation,FA-WF % Folds Positive,>80%,100.00%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,0,Pass
Robustness & Validation,FA-WF Mean DSR %,>80%,88.89%,Pass
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,65.95%,Fail
Robustness & Validation,PBO %,<30%,3.87,Pass
Robustness & Validation,Performance Degradation,<0.3,0.131,Pass
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,-27.626,Fail
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,494.06,Fail
Risk Profile,Max Drawdown %,>-30%,-62.59%,Fail
Risk Profile,Avg Drawdown %,>-15%,-29.77%,Fail
Risk Profile,Avg DD Recovery (days),<90d,43d,Pass
Risk Profile,Ulcer Index,<10,29.04,Fail
Risk Profile,Max DD Duration (days),<180d,134.00,Pass
Risk Profile,% Time Underwater,<70%,74.69,Borderline
Risk Profile,Worst Single Day %,>-10%,-17.52%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-29.34,Fail
Risk Profile,Consecutive Loss Streak,<7d,9,Fail
Risk Profile,Probability of Loss %,<5%,2.77%,Pass
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,53.80,Fail
Risk Profile,Tail Ratio,>1.2,2.10,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,0.44,Fail
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.506,Fail
Market Independence,Return Autocorrelation,≈0,0.243,Fail
Execution & Capacity,Sharpe @2× Slippage,>1.5,1.21,Fail
Execution & Capacity,Total Fee Drag %,<5%,12.19%,Fail
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.31%,Fail
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.07%,Fail
Execution & Capacity,Avg Leverage Used,info,3.10×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,23.62%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,18.8/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
