L_BASE,L_HIGH,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.0,0.8,1.0,0.9082,23.03,-25.012,0.921,1.161,False
0.0,0.8,2.0,1.0067,38.02,-34.36,1.106,1.184,False
0.0,0.8,2.5,1.0673,43.4,-34.395,1.262,1.144,False
0.0,0.8,3.0,1.0788,45.55,-34.285,1.329,1.1447,False
0.0,0.9,1.0,0.9082,25.65,-27.715,0.925,1.161,False
0.0,0.9,2.0,0.9798,40.34,-37.818,1.067,1.1987,False
0.0,0.9,2.5,1.0166,44.21,-37.72,1.172,1.1986,False
0.0,0.9,3.0,1.0314,46.66,-37.529,1.243,1.1986,False
0.0,1.0,1.0,0.9082,28.19,-30.332,0.929,1.161,False
0.0,1.0,2.0,0.9577,42.41,-41.116,1.031,1.2129,False
0.0,1.0,2.5,0.9793,45.08,-40.835,1.104,1.2156,False
0.0,1.0,3.0,1.0021,48.22,-40.645,1.186,1.2156,False
0.0,1.1,1.0,0.9082,30.64,-32.867,0.932,1.161,False
0.0,1.1,2.0,0.952,45.28,-44.258,1.023,1.2149,False
0.0,1.1,2.5,0.9786,48.62,-43.9,1.107,1.2149,False
0.0,1.1,3.0,0.9955,51.05,-43.753,1.167,1.2149,False
0.0,1.2,1.0,0.9082,32.99,-35.32,0.934,1.161,False
0.0,1.2,2.0,0.9538,48.52,-47.251,1.027,1.2128,False
0.0,1.2,2.5,0.9815,52.25,-46.883,1.114,1.2128,False
0.0,1.2,3.0,0.9856,53.1,-46.802,1.135,1.2128,False
0.0,1.3,1.0,0.9082,35.25,-37.694,0.935,1.161,False
0.0,1.3,2.0,0.9538,51.35,-50.103,1.025,1.2128,False
0.0,1.3,2.5,0.9861,55.81,-49.735,1.122,1.2128,False
0.0,1.3,3.0,0.9831,55.68,-49.698,1.12,1.2128,False
0.0,1.4,1.0,0.9082,37.4,-39.992,0.935,1.161,False
0.0,1.4,2.0,0.9538,53.92,-52.817,1.021,1.2128,False
0.0,1.4,2.5,0.9901,59.13,-52.451,1.127,1.2128,False
0.0,1.4,3.0,0.9863,58.71,-52.446,1.12,1.2128,False
0.0,1.5,1.0,0.9082,39.45,-42.215,0.934,1.161,False
0.0,1.5,2.0,0.9538,56.2,-55.401,1.015,1.2128,False
0.0,1.5,2.5,0.9878,61.32,-55.067,1.114,1.2128,False
0.0,1.5,3.0,0.9878,61.32,-55.067,1.114,1.2128,False
0.0,1.6,1.0,0.9082,41.37,-44.366,0.933,1.161,False
0.0,1.6,2.0,0.9538,58.2,-57.859,1.006,1.2128,False
0.0,1.6,2.5,0.9861,63.22,-57.567,1.098,1.2128,False
0.0,1.6,3.0,0.9861,63.22,-57.567,1.098,1.2128,False
0.0,1.7,1.0,0.9082,43.18,-46.447,0.93,1.161,False
0.0,1.7,2.0,0.9538,59.9,-60.197,0.995,1.2128,False
0.0,1.7,2.5,0.9838,64.71,-59.95,1.079,1.2128,False
0.0,1.7,3.0,0.9838,64.71,-59.95,1.079,1.2128,False
0.0,1.8,1.0,0.9082,44.86,-48.459,0.926,1.161,False
0.0,1.8,2.0,0.9538,61.29,-62.421,0.982,1.2128,False
0.0,1.8,2.5,0.9809,65.78,-62.221,1.057,1.2128,False
0.0,1.8,3.0,0.9809,65.78,-62.221,1.057,1.2128,False
0.0,2.0,1.0,0.9082,47.82,-52.286,0.915,1.161,False
0.0,2.0,2.0,0.9538,63.13,-66.542,0.949,1.2128,False
0.0,2.0,2.5,0.9625,64.66,-66.483,0.973,1.2128,False
0.0,2.0,3.0,0.9625,64.66,-66.483,0.973,1.2128,False
0.5,0.8,1.0,0.9082,23.03,-25.012,0.921,1.161,False
0.5,0.8,2.0,1.0067,38.02,-34.36,1.106,1.184,False
0.5,0.8,2.5,1.0673,43.4,-34.395,1.262,1.144,False
0.5,0.8,3.0,1.0788,45.55,-34.285,1.329,1.1447,False
0.5,0.9,1.0,0.9082,25.65,-27.715,0.925,1.161,False
0.5,0.9,2.0,0.9798,40.34,-37.818,1.067,1.1987,False
0.5,0.9,2.5,1.0166,44.21,-37.72,1.172,1.1986,False
0.5,0.9,3.0,1.0314,46.66,-37.529,1.243,1.1986,False
0.5,1.0,1.0,0.9082,28.19,-30.332,0.929,1.161,False
0.5,1.0,2.0,0.9577,42.41,-41.116,1.031,1.2129,False
0.5,1.0,2.5,0.9793,45.08,-40.835,1.104,1.2156,False
0.5,1.0,3.0,1.0021,48.22,-40.645,1.186,1.2156,False
0.5,1.1,1.0,0.9082,30.64,-32.867,0.932,1.161,False
0.5,1.1,2.0,0.952,45.28,-44.258,1.023,1.2149,False
0.5,1.1,2.5,0.9786,48.62,-43.9,1.107,1.2149,False
0.5,1.1,3.0,0.9955,51.05,-43.753,1.167,1.2149,False
0.5,1.2,1.0,0.9082,32.99,-35.32,0.934,1.161,False
0.5,1.2,2.0,0.9538,48.52,-47.251,1.027,1.2128,False
0.5,1.2,2.5,0.9815,52.25,-46.883,1.114,1.2128,False
0.5,1.2,3.0,0.9856,53.1,-46.802,1.135,1.2128,False
0.5,1.3,1.0,0.9082,35.25,-37.694,0.935,1.161,False
0.5,1.3,2.0,0.9538,51.35,-50.103,1.025,1.2128,False
0.5,1.3,2.5,0.9861,55.81,-49.735,1.122,1.2128,False
0.5,1.3,3.0,0.9831,55.68,-49.698,1.12,1.2128,False
0.5,1.4,1.0,0.9082,37.4,-39.992,0.935,1.161,False
0.5,1.4,2.0,0.9538,53.92,-52.817,1.021,1.2128,False
0.5,1.4,2.5,0.9901,59.13,-52.451,1.127,1.2128,False
0.5,1.4,3.0,0.9863,58.71,-52.446,1.12,1.2128,False
0.5,1.5,1.0,0.9082,39.45,-42.215,0.934,1.161,False
0.5,1.5,2.0,0.9538,56.2,-55.401,1.015,1.2128,False
0.5,1.5,2.5,0.9878,61.32,-55.067,1.114,1.2128,False
0.5,1.5,3.0,0.9878,61.32,-55.067,1.114,1.2128,False
0.5,1.6,1.0,0.9082,41.37,-44.366,0.933,1.161,False
0.5,1.6,2.0,0.9538,58.2,-57.859,1.006,1.2128,False
0.5,1.6,2.5,0.9861,63.22,-57.567,1.098,1.2128,False
0.5,1.6,3.0,0.9861,63.22,-57.567,1.098,1.2128,False
0.5,1.7,1.0,0.9082,43.18,-46.447,0.93,1.161,False
0.5,1.7,2.0,0.9538,59.9,-60.197,0.995,1.2128,False
0.5,1.7,2.5,0.9838,64.71,-59.95,1.079,1.2128,False
0.5,1.7,3.0,0.9838,64.71,-59.95,1.079,1.2128,False
0.5,1.8,1.0,0.9082,44.86,-48.459,0.926,1.161,False
0.5,1.8,2.0,0.9538,61.29,-62.421,0.982,1.2128,False
0.5,1.8,2.5,0.9809,65.78,-62.221,1.057,1.2128,False
0.5,1.8,3.0,0.9809,65.78,-62.221,1.057,1.2128,False
0.5,2.0,1.0,0.9082,47.82,-52.286,0.915,1.161,False
0.5,2.0,2.0,0.9538,63.13,-66.542,0.949,1.2128,False
0.5,2.0,2.5,0.9625,64.66,-66.483,0.973,1.2128,False
0.5,2.0,3.0,0.9625,64.66,-66.483,0.973,1.2128,False
1.0,1.1,1.0,0.9082,30.64,-32.867,0.932,1.161,False
1.0,1.1,2.0,0.952,45.28,-44.258,1.023,1.2149,False
1.0,1.1,2.5,0.9786,48.62,-43.9,1.107,1.2149,False
1.0,1.1,3.0,0.9955,51.05,-43.753,1.167,1.2149,False
1.0,1.2,1.0,0.9082,32.99,-35.32,0.934,1.161,False
1.0,1.2,2.0,0.9538,48.52,-47.251,1.027,1.2128,False
1.0,1.2,2.5,0.9815,52.25,-46.883,1.114,1.2128,False
1.0,1.2,3.0,0.9856,53.1,-46.802,1.135,1.2128,False
1.0,1.3,1.0,0.9082,35.25,-37.694,0.935,1.161,False
1.0,1.3,2.0,0.9538,51.35,-50.103,1.025,1.2128,False
1.0,1.3,2.5,0.9861,55.81,-49.735,1.122,1.2128,False
1.0,1.3,3.0,0.9831,55.68,-49.698,1.12,1.2128,False
1.0,1.4,1.0,0.9082,37.4,-39.992,0.935,1.161,False
1.0,1.4,2.0,0.9538,53.92,-52.817,1.021,1.2128,False
1.0,1.4,2.5,0.9901,59.13,-52.451,1.127,1.2128,False
1.0,1.4,3.0,0.9863,58.71,-52.446,1.12,1.2128,False
1.0,1.5,1.0,0.9082,39.45,-42.215,0.934,1.161,False
1.0,1.5,2.0,0.9538,56.2,-55.401,1.015,1.2128,False
1.0,1.5,2.5,0.9878,61.32,-55.067,1.114,1.2128,False
1.0,1.5,3.0,0.9878,61.32,-55.067,1.114,1.2128,False
1.0,1.6,1.0,0.9082,41.37,-44.366,0.933,1.161,False
1.0,1.6,2.0,0.9538,58.2,-57.859,1.006,1.2128,False
1.0,1.6,2.5,0.9861,63.22,-57.567,1.098,1.2128,False
1.0,1.6,3.0,0.9861,63.22,-57.567,1.098,1.2128,False
1.0,1.7,1.0,0.9082,43.18,-46.447,0.93,1.161,False
1.0,1.7,2.0,0.9538,59.9,-60.197,0.995,1.2128,False
1.0,1.7,2.5,0.9838,64.71,-59.95,1.079,1.2128,False
1.0,1.7,3.0,0.9838,64.71,-59.95,1.079,1.2128,False
1.0,1.8,1.0,0.9082,44.86,-48.459,0.926,1.161,False
1.0,1.8,2.0,0.9538,61.29,-62.421,0.982,1.2128,False
1.0,1.8,2.5,0.9809,65.78,-62.221,1.057,1.2128,False
1.0,1.8,3.0,0.9809,65.78,-62.221,1.057,1.2128,False
1.0,2.0,1.0,0.9082,47.82,-52.286,0.915,1.161,False
1.0,2.0,2.0,0.9538,63.13,-66.542,0.949,1.2128,False
1.0,2.0,2.5,0.9625,64.66,-66.483,0.973,1.2128,False
1.0,2.0,3.0,0.9625,64.66,-66.483,0.973,1.2128,False
