TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.04,30,0.506,-36.25,3.096,-2.089,3.772,317
0.04,31,0.506,-36.25,3.096,-2.089,3.772,317
0.04,32,0.506,-36.25,3.096,-2.089,3.772,317
0.04,33,0.506,-36.25,3.096,-2.089,3.772,317
0.04,34,0.506,-36.25,3.096,-2.089,3.772,317
0.04,35,0.816,-45.17,1.758,-2.855,3.253,309
0.04,36,0.816,-45.17,1.758,-2.855,3.253,309
0.04,37,0.816,-45.17,1.758,-2.855,3.253,309
0.04,38,0.816,-45.17,1.758,-2.855,3.253,309
0.04,39,0.816,-45.17,1.758,-2.855,3.253,309
0.04,40,1.131,-48.46,1.059,-2.642,4.857,300
0.04,41,1.131,-48.46,1.059,-2.642,4.857,300
0.04,42,1.131,-48.46,1.059,-2.642,4.857,300
0.04,43,1.131,-48.46,1.059,-2.642,4.857,300
0.04,44,1.131,-48.46,1.059,-2.642,4.857,300
0.05,30,0.782,-35.33,1.408,1.77,4.05,317
0.05,31,0.782,-35.33,1.408,1.77,4.05,317
0.05,32,0.782,-35.33,1.408,1.77,4.05,317
0.05,33,0.782,-35.33,1.408,1.77,4.05,317
0.05,34,0.782,-35.33,1.408,1.77,4.05,317
0.05,35,1.197,-45.18,0.924,0.644,3.525,309
0.05,36,1.197,-45.18,0.924,0.644,3.525,309
0.05,37,1.197,-45.18,0.924,0.644,3.525,309
0.05,38,1.197,-45.18,0.924,0.644,3.525,309
0.05,39,1.197,-45.18,0.924,0.644,3.525,309
0.05,40,1.438,-48.29,0.703,0.9,5.137,300
0.05,41,1.438,-48.29,0.703,0.9,5.137,300
0.05,42,1.438,-48.29,0.703,0.9,5.137,300
0.05,43,1.438,-48.29,0.703,0.9,5.137,300
0.05,44,1.438,-48.29,0.703,0.9,5.137,300
0.06,30,0.936,-38.01,1.209,1.817,4.05,317
0.06,31,0.936,-38.01,1.209,1.817,4.05,317
0.06,32,0.936,-38.01,1.209,1.817,4.05,317
0.06,33,0.936,-38.01,1.209,1.817,4.05,317
0.06,34,0.936,-38.01,1.209,1.817,4.05,317
0.06,35,1.496,-47.4,0.629,1.029,3.525,309
0.06,36,1.496,-47.4,0.629,1.029,3.525,309
0.06,37,1.496,-47.4,0.629,1.029,3.525,309
0.06,38,1.496,-47.4,0.629,1.029,3.525,309
0.06,39,1.496,-47.4,0.629,1.029,3.525,309
0.06,40,1.885,-40.16,0.558,1.289,5.137,300
0.06,41,1.885,-40.16,0.558,1.289,5.137,300
0.06,42,1.885,-40.16,0.558,1.289,5.137,300
0.06,43,1.885,-40.16,0.558,1.289,5.137,300
0.06,44,1.885,-40.16,0.558,1.289,5.137,300
0.07,30,0.903,-36.86,1.305,0.979,4.05,317
0.07,31,0.903,-36.86,1.305,0.979,4.05,317
0.07,32,0.903,-36.86,1.305,0.979,4.05,317
0.07,33,0.903,-36.86,1.305,0.979,4.05,317
0.07,34,0.903,-36.86,1.305,0.979,4.05,317
0.07,35,1.357,-49.06,0.665,0.269,3.525,309
0.07,36,1.357,-49.06,0.665,0.269,3.525,309
0.07,37,1.357,-49.06,0.665,0.269,3.525,309
0.07,38,1.357,-49.06,0.665,0.269,3.525,309
0.07,39,1.357,-49.06,0.665,0.269,3.525,309
0.07,40,1.796,-40.08,0.601,0.542,5.137,300
0.07,41,1.796,-40.08,0.601,0.542,5.137,300
0.07,42,1.796,-40.08,0.601,0.542,5.137,300
0.07,43,1.796,-40.08,0.601,0.542,5.137,300
0.07,44,1.796,-40.08,0.601,0.542,5.137,300
0.08,30,1.128,-36.86,1.147,2.626,4.05,317
0.08,31,1.128,-36.86,1.147,2.626,4.05,317
0.08,32,1.128,-36.86,1.147,2.626,4.05,317
0.08,33,1.128,-36.86,1.147,2.626,4.05,317
0.08,34,1.128,-36.86,1.147,2.626,4.05,317
0.08,35,1.532,-49.06,0.62,1.512,3.525,309
0.08,36,1.532,-49.06,0.62,1.512,3.525,309
0.08,37,1.532,-49.06,0.62,1.512,3.525,309
0.08,38,1.532,-49.06,0.62,1.512,3.525,309
0.08,39,1.532,-49.06,0.62,1.512,3.525,309
0.08,40,1.984,-40.08,0.542,2.142,5.137,300
0.08,41,1.984,-40.08,0.542,2.142,5.137,300
0.08,42,1.984,-40.08,0.542,2.142,5.137,300
0.08,43,1.984,-40.08,0.542,2.142,5.137,300
0.08,44,1.984,-40.08,0.542,2.142,5.137,300
0.09,30,1.09,-38.44,1.147,2.626,4.05,317
0.09,31,1.09,-38.44,1.147,2.626,4.05,317
0.09,32,1.09,-38.44,1.147,2.626,4.05,317
0.09,33,1.09,-38.44,1.147,2.626,4.05,317
0.09,34,1.09,-38.44,1.147,2.626,4.05,317
0.09,35,1.496,-50.32,0.62,1.512,3.525,309
0.09,36,1.496,-50.32,0.62,1.512,3.525,309
0.09,37,1.496,-50.32,0.62,1.512,3.525,309
0.09,38,1.496,-50.32,0.62,1.512,3.525,309
0.09,39,1.496,-50.32,0.62,1.512,3.525,309
0.09,40,1.963,-40.98,0.542,2.142,5.137,300
0.09,41,1.963,-40.98,0.542,2.142,5.137,300
0.09,42,1.963,-40.98,0.542,2.142,5.137,300
0.09,43,1.963,-40.98,0.542,2.142,5.137,300
0.09,44,1.963,-40.98,0.542,2.142,5.137,300
0.1,30,1.09,-38.44,1.147,2.626,4.05,317
0.1,31,1.09,-38.44,1.147,2.626,4.05,317
0.1,32,1.09,-38.44,1.147,2.626,4.05,317
0.1,33,1.09,-38.44,1.147,2.626,4.05,317
0.1,34,1.09,-38.44,1.147,2.626,4.05,317
0.1,35,1.478,-50.96,0.62,1.512,3.525,309
0.1,36,1.478,-50.96,0.62,1.512,3.525,309
0.1,37,1.478,-50.96,0.62,1.512,3.525,309
0.1,38,1.478,-50.96,0.62,1.512,3.525,309
0.1,39,1.478,-50.96,0.62,1.512,3.525,309
0.1,40,1.963,-40.98,0.542,2.142,5.137,300
0.1,41,1.963,-40.98,0.542,2.142,5.137,300
0.1,42,1.963,-40.98,0.542,2.142,5.137,300
0.1,43,1.963,-40.98,0.542,2.142,5.137,300
0.1,44,1.963,-40.98,0.542,2.142,5.137,300
0.11,30,1.09,-38.44,1.147,2.626,4.05,317
0.11,31,1.09,-38.44,1.147,2.626,4.05,317
0.11,32,1.09,-38.44,1.147,2.626,4.05,317
0.11,33,1.09,-38.44,1.147,2.626,4.05,317
0.11,34,1.09,-38.44,1.147,2.626,4.05,317
0.11,35,1.478,-50.96,0.62,1.512,3.525,309
0.11,36,1.478,-50.96,0.62,1.512,3.525,309
0.11,37,1.478,-50.96,0.62,1.512,3.525,309
0.11,38,1.478,-50.96,0.62,1.512,3.525,309
0.11,39,1.478,-50.96,0.62,1.512,3.525,309
0.11,40,1.963,-40.98,0.542,2.142,5.137,300
0.11,41,1.963,-40.98,0.542,2.142,5.137,300
0.11,42,1.963,-40.98,0.542,2.142,5.137,300
0.11,43,1.963,-40.98,0.542,2.142,5.137,300
0.11,44,1.963,-40.98,0.542,2.142,5.137,300
0.12,30,1.09,-38.44,1.147,2.626,4.05,317
0.12,31,1.09,-38.44,1.147,2.626,4.05,317
0.12,32,1.09,-38.44,1.147,2.626,4.05,317
0.12,33,1.09,-38.44,1.147,2.626,4.05,317
0.12,34,1.09,-38.44,1.147,2.626,4.05,317
0.12,35,1.478,-50.96,0.62,1.512,3.525,309
0.12,36,1.478,-50.96,0.62,1.512,3.525,309
0.12,37,1.478,-50.96,0.62,1.512,3.525,309
0.12,38,1.478,-50.96,0.62,1.512,3.525,309
0.12,39,1.478,-50.96,0.62,1.512,3.525,309
0.12,40,1.963,-40.98,0.542,2.142,5.137,300
0.12,41,1.963,-40.98,0.542,2.142,5.137,300
0.12,42,1.963,-40.98,0.542,2.142,5.137,300
0.12,43,1.963,-40.98,0.542,2.142,5.137,300
0.12,44,1.963,-40.98,0.542,2.142,5.137,300
0.13,30,1.09,-38.44,1.147,2.626,4.05,317
0.13,31,1.09,-38.44,1.147,2.626,4.05,317
0.13,32,1.09,-38.44,1.147,2.626,4.05,317
0.13,33,1.09,-38.44,1.147,2.626,4.05,317
0.13,34,1.09,-38.44,1.147,2.626,4.05,317
0.13,35,1.478,-50.96,0.62,1.512,3.525,309
0.13,36,1.478,-50.96,0.62,1.512,3.525,309
0.13,37,1.478,-50.96,0.62,1.512,3.525,309
0.13,38,1.478,-50.96,0.62,1.512,3.525,309
0.13,39,1.478,-50.96,0.62,1.512,3.525,309
0.13,40,1.963,-40.98,0.542,2.142,5.137,300
0.13,41,1.963,-40.98,0.542,2.142,5.137,300
0.13,42,1.963,-40.98,0.542,2.142,5.137,300
0.13,43,1.963,-40.98,0.542,2.142,5.137,300
0.13,44,1.963,-40.98,0.542,2.142,5.137,300
0.14,30,1.09,-38.44,1.147,2.626,4.05,317
0.14,31,1.09,-38.44,1.147,2.626,4.05,317
0.14,32,1.09,-38.44,1.147,2.626,4.05,317
0.14,33,1.09,-38.44,1.147,2.626,4.05,317
0.14,34,1.09,-38.44,1.147,2.626,4.05,317
0.14,35,1.478,-50.96,0.62,1.512,3.525,309
0.14,36,1.478,-50.96,0.62,1.512,3.525,309
0.14,37,1.478,-50.96,0.62,1.512,3.525,309
0.14,38,1.478,-50.96,0.62,1.512,3.525,309
0.14,39,1.478,-50.96,0.62,1.512,3.525,309
0.14,40,1.963,-40.98,0.542,2.142,5.137,300
0.14,41,1.963,-40.98,0.542,2.142,5.137,300
0.14,42,1.963,-40.98,0.542,2.142,5.137,300
0.14,43,1.963,-40.98,0.542,2.142,5.137,300
0.14,44,1.963,-40.98,0.542,2.142,5.137,300
0.15,30,1.09,-38.44,1.147,2.626,4.05,317
0.15,31,1.09,-38.44,1.147,2.626,4.05,317
0.15,32,1.09,-38.44,1.147,2.626,4.05,317
0.15,33,1.09,-38.44,1.147,2.626,4.05,317
0.15,34,1.09,-38.44,1.147,2.626,4.05,317
0.15,35,1.478,-50.96,0.62,1.512,3.525,309
0.15,36,1.478,-50.96,0.62,1.512,3.525,309
