surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,1.447,16,25.0,8,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,1.4851,8,12.5,8,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,1.508,8,12.5,8,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.95,1.271,2,1.11,2,False,Thin plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,1.3045,1,0.56,1,False,Single-cell peak | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,1.3245,1,0.56,1,False,Single-cell peak | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,1.1082,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,1.1373,96,88.89,84,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,1.1548,84,77.78,84,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,1.1116,106,53.54,88,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,1.1408,91,45.96,80,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,1.1584,69,34.85,32,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,1.205,64,80.0,42,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,1.2367,6,7.5,6,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,1.2557,5,6.25,5,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,1.2066,72,90.0,48,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,1.2383,8,10.0,8,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,1.2574,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,1.2145,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,1.2464,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,1.2656,8,10.0,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,1.2145,8,8.33,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,1.2464,8,8.33,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,1.2656,8,8.33,8,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,1.2145,3,4.29,3,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,1.2464,3,4.29,3,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,1.2656,3,4.29,3,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,1.2182,6,24.0,5,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,1.2502,5,20.0,5,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,1.2695,5,20.0,5,False,Robust plateau | baseline outside
