taxonomy,label,n_days,sharpe,cagr_pct,maxdd_pct,calmar,wf_cv
Volatility,Vol: Low  (rvol30 ≤ p33),274,0.1914,-34.11,-69.468,-0.491,2.9535
Volatility,Vol: Mid  (p33 < rvol30 ≤ p67),75,1.4118,124.99,-17.336,7.21,nan
Volatility,Vol: High (rvol30 > p67),49,0.8066,30.07,-11.774,2.554,nan
Volatility,Vol: Spike (5d/60d ratio > 1.5×),46,-3.7449,-55.88,-9.797,-5.703,nan
BTC Dominance,DOM: Low  (BTC mom ≤ p33 — alt-season),158,-0.7296,-81.39,-68.268,-1.192,nan
BTC Dominance,DOM: Mid  (neutral momentum),173,0.3286,-3.34,-47.465,-0.07,nan
BTC Dominance,DOM: High (BTC mom > p67 — BTC dominant),67,2.0298,415.08,-32.275,12.861,nan
Trend,Trend: Bull (21d BTC > +5%),92,1.753,301.12,-34.198,8.805,nan
Trend,Trend: Sideways (-5% to +5%),185,0.4912,9.69,-47.851,0.202,0.1247
Trend,Trend: Bear  (21d BTC < -5%),121,-1.3678,-90.66,-66.317,-1.367,nan
