Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,0.1035,0.0418,0.1053,0.0384,387,yes
Calmar,level,1,-0.0245,0.6838,-0.0719,0.2316,279,
Sharpe,level,1,-0.0759,0.1488,-0.0676,0.199,363,
CAGR%,delta,1,0.0607,0.2331,0.0648,0.2031,387,
CAGR%,level,1,-0.0712,0.1615,-0.0631,0.2153,388,
AvgDailyRet%,delta,1,0.0635,0.2127,0.0561,0.2712,387,
AvgDailyRet%,level,1,-0.0847,0.0956,-0.0558,0.2727,388,
Calmar,delta,1,-0.1027,0.0873,0.0512,0.3948,278,
Sharpe,delta,1,0.0804,0.127,0.0429,0.4157,362,
Sortino,level,1,-0.0467,0.3589,0.0055,0.9139,388,
Sharpe,level,3,-0.2015,0.0001,-0.1304,0.0132,361,yes
CAGR%,level,3,-0.1784,0.0004,-0.1183,0.0201,386,yes
AvgDailyRet%,level,3,-0.1811,0.0003,-0.1111,0.0291,386,yes
Calmar,level,3,0.0514,0.3921,-0.1016,0.0904,279,
Sortino,level,3,-0.1302,0.0104,-0.0703,0.1679,386,
Calmar,delta,3,-0.0127,0.8326,-0.0467,0.4382,278,
Sortino,delta,3,-0.0169,0.7409,0.0454,0.3743,385,
AvgDailyRet%,delta,3,-0.004,0.9377,0.0235,0.6461,385,
Sharpe,delta,3,0.0256,0.6287,0.0171,0.7467,360,
CAGR%,delta,3,-0.0451,0.3773,0.0146,0.7757,385,
Sharpe,level,5,-0.2522,0.0,-0.2032,0.0001,359,yes
CAGR%,level,5,-0.1245,0.0147,-0.1725,0.0007,384,yes
AvgDailyRet%,level,5,-0.2054,0.0,-0.1716,0.0007,384,yes
Sortino,level,5,-0.1366,0.0073,-0.126,0.0135,384,yes
Calmar,level,5,0.0119,0.8433,-0.1248,0.0373,279,yes
Sortino,delta,5,-0.0331,0.5189,-0.0618,0.2277,383,
CAGR%,delta,5,-0.0631,0.218,-0.0601,0.2407,383,
AvgDailyRet%,delta,5,-0.0214,0.677,-0.04,0.4354,383,
Sharpe,delta,5,-0.0091,0.8635,-0.0319,0.5472,358,
Calmar,delta,5,-0.0074,0.9022,-0.0117,0.8462,278,
