EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,3.8142,9566.02,-38.998,-17.606,245.295,0.4794,False
0.001,0.0015,3.7209,6801.29,-38.976,-17.606,174.5,0.4145,False
0.001,0.002,3.6651,6241.92,-39.449,-17.606,158.227,0.416,False
0.001,0.0025,3.6607,5914.85,-29.76,-17.606,198.749,0.4688,False
0.001,0.003,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
0.0015,0.001,3.7209,6801.29,-38.976,-17.606,174.5,0.4145,False
0.0015,0.0015,3.7209,6801.29,-38.976,-17.606,174.5,0.4145,False
0.0015,0.002,3.6651,6241.92,-39.449,-17.606,158.227,0.416,False
0.0015,0.0025,3.6607,5914.85,-29.76,-17.606,198.749,0.4688,False
0.0015,0.003,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
0.002,0.001,3.6651,6241.92,-39.449,-17.606,158.227,0.416,False
0.002,0.0015,3.6651,6241.92,-39.449,-17.606,158.227,0.416,False
0.002,0.002,3.6651,6241.92,-39.449,-17.606,158.227,0.416,False
0.002,0.0025,3.6607,5914.85,-29.76,-17.606,198.749,0.4688,False
0.002,0.003,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
0.0025,0.001,3.6607,5914.85,-29.76,-17.606,198.749,0.4688,False
0.0025,0.0015,3.6607,5914.85,-29.76,-17.606,198.749,0.4688,False
0.0025,0.002,3.6607,5914.85,-29.76,-17.606,198.749,0.4688,False
0.0025,0.0025,3.6607,5914.85,-29.76,-17.606,198.749,0.4688,False
0.0025,0.003,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
0.003,0.001,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
0.003,0.0015,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
0.003,0.002,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
0.003,0.0025,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
0.003,0.003,3.741,6484.63,-29.76,-17.606,217.894,0.4334,True
