date,type,start_usd,margin_usd,lev,invested_usd,trade_vol_usd,taker_fee_usd,funding_usd,end_usd,ret_gross_pct,ret_net_pct,net_pnl_usd
2025-02-13,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-14,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-15,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-16,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-17,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-18,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-19,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-20,active,100000.0,100000.0,3.0,300000.0,600000.0,240.0,60.0,150220.0,50.52,50.22,50220.0
2025-02-21,active,150220.0,150220.0,3.0,450660.0,901320.0,360.528,90.132,125095.7,-16.425,-16.725,-25124.29
2025-02-22,no_entry,125095.7,0.0,0.0,0.0,0.0,0.0,0.0,125095.7,0.0,0.0,0.0
2025-02-23,no_entry,125095.7,0.0,0.0,0.0,0.0,0.0,0.0,125095.7,0.0,0.0,0.0
2025-02-24,no_entry,125095.7,0.0,0.0,0.0,0.0,0.0,0.0,125095.7,0.0,0.0,0.0
2025-02-25,flat,125095.7,0.0,0.0,0.0,0.0,0.0,0.0,125095.7,0.0,0.0,0.0
2025-02-26,active,125095.7,125095.7,3.0,375287.11,750574.23,300.2297,75.0574,157914.56,26.535,26.235,32818.86
2025-02-27,flat,157914.56,0.0,0.0,0.0,0.0,0.0,0.0,157914.56,0.0,0.0,0.0
2025-02-28,active,157914.56,157914.56,3.0,473743.69,947487.38,378.995,94.7487,162344.07,3.105,2.805,4429.5
2025-03-01,no_entry,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-02,no_entry,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-03,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-04,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-05,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-06,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-07,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-08,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-09,no_entry,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-10,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-11,no_entry,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-12,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-13,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-14,flat,162344.07,0.0,0.0,0.0,0.0,0.0,0.0,162344.07,0.0,0.0,0.0
2025-03-15,active,162344.07,162344.07,3.0,487032.2,974064.4,389.6258,97.4064,201903.26,24.6675,24.3675,39559.19
2025-03-16,no_entry,201903.26,0.0,0.0,0.0,0.0,0.0,0.0,201903.26,0.0,0.0,0.0
2025-03-17,no_entry,201903.26,0.0,0.0,0.0,0.0,0.0,0.0,201903.26,0.0,0.0,0.0
2025-03-18,no_entry,201903.26,0.0,0.0,0.0,0.0,0.0,0.0,201903.26,0.0,0.0,0.0
2025-03-19,no_entry,201903.26,0.0,0.0,0.0,0.0,0.0,0.0,201903.26,0.0,0.0,0.0
2025-03-20,active,201903.26,201903.26,3.0,605709.77,1211419.54,484.5678,121.142,198950.42,-1.1625,-1.4625,-2952.84
2025-03-21,no_entry,198950.42,0.0,0.0,0.0,0.0,0.0,0.0,198950.42,0.0,0.0,0.0
2025-03-22,no_entry,198950.42,0.0,0.0,0.0,0.0,0.0,0.0,198950.42,0.0,0.0,0.0
2025-03-23,active,198950.42,198950.42,3.0,596851.27,1193702.53,477.481,119.3703,175225.58,-11.625,-11.925,-23724.84
2025-03-24,active,175225.58,175225.58,3.0,525676.75,1051353.51,420.5414,105.1354,142594.2,-18.3225,-18.6225,-32631.38
2025-03-25,no_entry,142594.2,0.0,0.0,0.0,0.0,0.0,0.0,142594.2,0.0,0.0,0.0
2025-03-26,active,142594.2,142594.2,3.0,427782.6,855565.2,342.2261,85.5565,135503.7,-4.6725,-4.9725,-7090.5
2025-03-27,no_entry,135503.7,0.0,0.0,0.0,0.0,0.0,0.0,135503.7,0.0,0.0,0.0
2025-03-28,no_entry,135503.7,0.0,0.0,0.0,0.0,0.0,0.0,135503.7,0.0,0.0,0.0
2025-03-29,active,135503.7,135503.7,3.5361,479159.27,958318.54,383.3274,95.8319,123620.55,-8.416,-8.7696,-11883.15
2025-03-30,active,123620.55,123620.55,4.3385,536330.82,1072661.64,429.0647,107.2662,123258.53,0.141,-0.2929,-362.02
2025-03-31,flat,123258.53,0.0,0.0,0.0,0.0,0.0,0.0,123258.53,0.0,0.0,0.0
2025-04-01,active,123258.53,123258.53,4.37,538644.69,1077289.37,430.9157,107.7289,108014.89,-11.9302,-12.3672,-15243.64
2025-04-02,active,108014.89,108014.89,6.0,648089.31,1296178.62,518.4714,129.6179,114123.13,6.255,5.655,6108.24
2025-04-03,active,114123.13,114123.13,5.3418,609623.91,1219247.82,487.6991,121.9248,129820.94,14.2893,13.7552,15697.82
2025-04-04,no_entry,129820.94,0.0,0.0,0.0,0.0,0.0,0.0,129820.94,0.0,0.0,0.0
2025-04-05,active,129820.94,129820.94,6.0,778925.66,1557851.31,623.1405,155.7851,138817.53,7.53,6.93,8996.59
2025-04-06,no_entry,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-07,flat,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-08,no_entry,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-09,no_entry,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-10,flat,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-11,flat,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-12,flat,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-13,flat,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-14,flat,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-15,no_entry,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-16,no_entry,138817.53,0.0,0.0,0.0,0.0,0.0,0.0,138817.53,0.0,0.0,0.0
2025-04-17,active,138817.53,138817.53,6.0,832905.21,1665810.41,666.3242,166.581,193143.78,39.735,39.135,54326.24
2025-04-18,no_entry,193143.78,0.0,0.0,0.0,0.0,0.0,0.0,193143.78,0.0,0.0,0.0
2025-04-19,active,193143.78,193143.78,4.6544,898974.34,1797948.68,719.1795,179.7949,261600.67,35.9089,35.4435,68456.9
2025-04-20,no_entry,261600.67,0.0,0.0,0.0,0.0,0.0,0.0,261600.67,0.0,0.0,0.0
2025-04-21,no_entry,261600.67,0.0,0.0,0.0,0.0,0.0,0.0,261600.67,0.0,0.0,0.0
2025-04-22,no_entry,261600.67,0.0,0.0,0.0,0.0,0.0,0.0,261600.67,0.0,0.0,0.0
2025-04-23,active,261600.67,261600.67,3.777,988069.71,1976139.41,790.4558,197.6139,309398.54,18.649,18.2713,47797.87
2025-04-24,active,309398.54,309398.54,3.0,928195.63,1856391.27,742.5565,185.6391,395279.85,28.0575,27.7575,85881.3
2025-04-25,no_entry,395279.85,0.0,0.0,0.0,0.0,0.0,0.0,395279.85,0.0,0.0,0.0
2025-04-26,no_entry,395279.85,0.0,0.0,0.0,0.0,0.0,0.0,395279.85,0.0,0.0,0.0
2025-04-27,active,395279.85,395279.85,3.0,1185839.54,2371679.07,948.6716,237.1679,321757.79,-18.3,-18.6,-73522.05
2025-04-28,active,321757.79,321757.79,3.0,965273.38,1930546.76,772.2187,193.0547,265241.04,-17.265,-17.565,-56516.76
2025-04-29,no_entry,265241.04,0.0,0.0,0.0,0.0,0.0,0.0,265241.04,0.0,0.0,0.0
2025-04-30,active,265241.04,265241.04,3.0,795723.11,1591446.22,636.5785,159.1446,323507.86,22.2675,21.9675,58266.82
2025-05-01,no_entry,323507.86,0.0,0.0,0.0,0.0,0.0,0.0,323507.86,0.0,0.0,0.0
2025-05-02,no_entry,323507.86,0.0,0.0,0.0,0.0,0.0,0.0,323507.86,0.0,0.0,0.0
2025-05-03,no_entry,323507.86,0.0,0.0,0.0,0.0,0.0,0.0,323507.86,0.0,0.0,0.0
2025-05-04,no_entry,323507.86,0.0,0.0,0.0,0.0,0.0,0.0,323507.86,0.0,0.0,0.0
2025-05-05,flat,323507.86,0.0,0.0,0.0,0.0,0.0,0.0,323507.86,0.0,0.0,0.0
2025-05-06,active,323507.86,323507.86,3.0,970523.59,1941047.17,776.4189,194.1047,263723.61,-18.18,-18.48,-59784.25
2025-05-07,active,263723.61,263723.61,3.0,791170.83,1582341.66,632.9367,158.2342,345708.69,31.3875,31.0875,81985.08
2025-05-08,active,345708.69,345708.69,3.0,1037126.06,2074252.12,829.7008,207.4252,434512.61,25.9875,25.6875,88803.92
2025-05-09,no_entry,434512.61,0.0,0.0,0.0,0.0,0.0,0.0,434512.61,0.0,0.0,0.0
2025-05-10,active,434512.61,434512.61,3.0,1303537.82,2607075.63,1042.8303,260.7076,451719.3,4.26,3.96,17206.7
2025-05-11,no_entry,451719.3,0.0,0.0,0.0,0.0,0.0,0.0,451719.3,0.0,0.0,0.0
2025-05-12,active,451719.3,451719.3,3.0,1355157.91,2710315.83,1084.1263,271.0316,540245.0,19.8975,19.5975,88525.69
2025-05-13,no_entry,540245.0,0.0,0.0,0.0,0.0,0.0,0.0,540245.0,0.0,0.0,0.0
2025-05-14,active,540245.0,540245.0,3.0,1620734.99,3241469.97,1296.588,324.147,440893.94,-18.09,-18.39,-99351.05
2025-05-15,no_entry,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-16,no_entry,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-17,no_entry,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-18,no_entry,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-19,no_entry,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-20,no_entry,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-21,flat,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-22,no_entry,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-23,no_entry,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-24,flat,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-25,flat,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-26,flat,440893.94,0.0,0.0,0.0,0.0,0.0,0.0,440893.94,0.0,0.0,0.0
2025-05-27,active,440893.94,440893.94,3.0,1322681.82,2645363.64,1058.1455,264.5364,448201.76,1.9575,1.6575,7307.82
2025-05-28,no_entry,448201.76,0.0,0.0,0.0,0.0,0.0,0.0,448201.76,0.0,0.0,0.0
2025-05-29,no_entry,448201.76,0.0,0.0,0.0,0.0,0.0,0.0,448201.76,0.0,0.0,0.0
2025-05-30,flat,448201.76,0.0,0.0,0.0,0.0,0.0,0.0,448201.76,0.0,0.0,0.0
2025-05-31,no_entry,448201.76,0.0,0.0,0.0,0.0,0.0,0.0,448201.76,0.0,0.0,0.0
2025-06-01,active,448201.76,448201.76,5.241,2349028.64,4698057.29,1879.2229,469.8057,421775.19,-5.372,-5.8961,-26426.57
2025-06-02,no_entry,421775.19,0.0,0.0,0.0,0.0,0.0,0.0,421775.19,0.0,0.0,0.0
2025-06-03,active,421775.19,421775.19,3.544,1494758.86,2989517.72,1195.8071,298.9518,378277.7,-9.9586,-10.313,-43497.48
2025-06-04,no_entry,378277.7,0.0,0.0,0.0,0.0,0.0,0.0,378277.7,0.0,0.0,0.0
2025-06-05,no_entry,378277.7,0.0,0.0,0.0,0.0,0.0,0.0,378277.7,0.0,0.0,0.0
2025-06-06,active,378277.7,378277.7,4.8219,1824001.94,3648003.88,1459.2016,364.8004,325609.65,-13.4409,-13.9231,-52668.06
2025-06-07,no_entry,325609.65,0.0,0.0,0.0,0.0,0.0,0.0,325609.65,0.0,0.0,0.0
2025-06-08,no_entry,325609.65,0.0,0.0,0.0,0.0,0.0,0.0,325609.65,0.0,0.0,0.0
2025-06-09,active,325609.65,325609.65,6.0,1953657.88,3907315.76,1562.9263,390.7316,463244.84,42.87,42.27,137635.2
2025-06-10,flat,463244.84,0.0,0.0,0.0,0.0,0.0,0.0,463244.84,0.0,0.0,0.0
2025-06-11,no_entry,463244.84,0.0,0.0,0.0,0.0,0.0,0.0,463244.84,0.0,0.0,0.0
2025-06-12,no_entry,463244.84,0.0,0.0,0.0,0.0,0.0,0.0,463244.84,0.0,0.0,0.0
2025-06-13,no_entry,463244.84,0.0,0.0,0.0,0.0,0.0,0.0,463244.84,0.0,0.0,0.0
2025-06-14,no_entry,463244.84,0.0,0.0,0.0,0.0,0.0,0.0,463244.84,0.0,0.0,0.0
2025-06-15,no_entry,463244.84,0.0,0.0,0.0,0.0,0.0,0.0,463244.84,0.0,0.0,0.0
2025-06-16,active,463244.84,463244.84,6.0,2779469.07,5558938.13,2223.5753,555.8938,404667.53,-12.045,-12.645,-58577.31
2025-06-17,no_entry,404667.53,0.0,0.0,0.0,0.0,0.0,0.0,404667.53,0.0,0.0,0.0
2025-06-18,no_entry,404667.53,0.0,0.0,0.0,0.0,0.0,0.0,404667.53,0.0,0.0,0.0
2025-06-19,no_entry,404667.53,0.0,0.0,0.0,0.0,0.0,0.0,404667.53,0.0,0.0,0.0
2025-06-20,no_entry,404667.53,0.0,0.0,0.0,0.0,0.0,0.0,404667.53,0.0,0.0,0.0
2025-06-21,no_entry,404667.53,0.0,0.0,0.0,0.0,0.0,0.0,404667.53,0.0,0.0,0.0
2025-06-22,active,404667.53,404667.53,6.0,2428005.2,4856010.4,1942.4042,485.601,506218.85,25.695,25.095,101551.32
2025-06-23,no_entry,506218.85,0.0,0.0,0.0,0.0,0.0,0.0,506218.85,0.0,0.0,0.0
2025-06-24,no_entry,506218.85,0.0,0.0,0.0,0.0,0.0,0.0,506218.85,0.0,0.0,0.0
2025-06-25,active,506218.85,506218.85,5.3765,2721710.89,5443421.77,2177.3687,544.3422,449675.31,-10.6321,-11.1698,-56543.54
2025-06-26,active,449675.31,449675.31,6.0,2698051.85,5396103.69,2158.4415,539.6104,455678.47,1.935,1.335,6003.17
