mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.6463,0.0,5.6462,126224.41,-14.75,1.5112,1.5112,100
return_noise,0.003,5.6463,0.0001,5.6461,126225.31,-14.75,1.5112,1.5111,100
return_noise,0.005,5.6463,0.0002,5.6458,126228.31,-14.75,1.5112,1.5111,100
return_noise,0.01,5.6463,0.0004,5.6451,126079.88,-14.75,1.5112,1.5109,100
signal_shuffle,0.02,3.7102,0.0695,3.4921,19694.51,-39.5,0.993,0.9346,100
signal_shuffle,0.05,3.6632,0.1231,3.2045,18407.52,-40.81,0.9804,0.8577,100
signal_shuffle,0.1,3.5941,0.1698,3.1845,16943.23,-41.85,0.9619,0.8523,100
signal_shuffle,0.2,3.4948,0.2638,2.6097,15495.56,-46.87,0.9354,0.6985,100
ranking_noise,0.02,3.6775,0.1183,3.3318,19250.08,-42.54,0.9843,0.8917,100
ranking_noise,0.05,3.5735,0.224,2.7979,17393.23,-47.79,0.9564,0.7488,100
ranking_noise,0.1,3.3393,0.2799,2.6876,12997.1,-54.99,0.8937,0.7193,100
