EARLY_FILL_Y,EARLY_KILL_Y,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.07,0.001,1.2,2.242,925.66,-46.08,20.088,1.0868,False
0.07,0.001,1.3,2.2474,983.99,-47.788,20.591,1.0615,False
0.07,0.001,1.4,2.2349,1007.67,-49.548,20.337,1.0396,False
0.07,0.001,1.5,2.3206,1230.36,-47.94,25.664,0.9635,False
0.07,0.001,1.6,2.4517,1640.17,-48.457,33.848,0.89,False
0.07,0.001,1.7,2.5461,2033.96,-48.974,41.532,0.84,False
0.07,0.001,1.8,2.5817,2260.13,-49.49,45.668,0.829,False
0.07,0.001,1.9,2.5997,2423.07,-50.758,47.737,0.8191,False
0.07,0.001,2.0,2.6072,2551.76,-52.246,48.841,0.8101,False
0.07,0.001,2.5,2.6072,2551.76,-52.246,48.841,0.8101,False
0.07,0.001,3.0,2.6072,2551.76,-52.246,48.841,0.8101,False
0.07,0.0015,1.2,2.242,925.66,-46.08,20.088,1.0868,False
0.07,0.0015,1.3,2.2474,983.99,-47.788,20.591,1.0615,False
0.07,0.0015,1.4,2.2349,1007.67,-49.548,20.337,1.0396,False
0.07,0.0015,1.5,2.3206,1230.36,-47.94,25.664,0.9635,False
0.07,0.0015,1.6,2.4517,1640.17,-48.457,33.848,0.89,False
0.07,0.0015,1.7,2.5461,2033.96,-48.974,41.532,0.84,False
0.07,0.0015,1.8,2.5817,2260.13,-49.49,45.668,0.829,False
0.07,0.0015,1.9,2.5997,2423.07,-50.758,47.737,0.8191,False
0.07,0.0015,2.0,2.6072,2551.76,-52.246,48.841,0.8101,False
0.07,0.0015,2.5,2.6072,2551.76,-52.246,48.841,0.8101,False
0.07,0.0015,3.0,2.6072,2551.76,-52.246,48.841,0.8101,False
0.07,0.003,1.2,2.242,925.66,-46.08,20.088,1.0868,False
0.07,0.003,1.3,2.2474,983.99,-47.788,20.591,1.0615,False
0.07,0.003,1.4,2.2349,1007.67,-49.548,20.337,1.0396,False
0.07,0.003,1.5,2.3206,1230.36,-47.94,25.664,0.9635,False
