PORT_SL,PORT_TSL,EARLY_KILL_Y,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
-0.07,0.04,0.001,1.5547,278.34,-82.7,3.366,3.0938,False
-0.07,0.04,0.0015,1.5547,278.34,-82.7,3.366,3.0938,False
-0.07,0.04,0.003,1.5547,278.34,-82.7,3.366,3.0938,False
-0.07,0.045,0.001,1.7822,508.5,-82.29,6.179,3.1269,False
-0.07,0.045,0.0015,1.7822,508.5,-82.29,6.179,3.1269,False
-0.07,0.045,0.003,1.7822,508.5,-82.29,6.179,3.1269,False
-0.07,0.05,0.001,2.5269,2946.06,-83.483,35.289,1.3026,False
-0.07,0.05,0.0015,2.5269,2946.06,-83.483,35.289,1.3026,False
-0.07,0.05,0.003,2.5269,2946.06,-83.483,35.289,1.3026,False
-0.07,0.055,0.001,2.844,5906.77,-61.334,96.305,0.8338,False
-0.07,0.055,0.0015,2.844,5906.77,-61.334,96.305,0.8338,False
-0.07,0.055,0.003,2.844,5906.77,-61.334,96.305,0.8338,False
-0.07,0.06,0.001,2.9242,6794.22,-65.545,103.657,0.6569,False
-0.07,0.06,0.0015,2.9242,6794.22,-65.545,103.657,0.6569,False
-0.07,0.06,0.003,2.9242,6794.22,-65.545,103.657,0.6569,False
-0.07,0.065,0.001,2.9718,7487.19,-69.592,107.587,0.6152,False
-0.07,0.065,0.0015,2.9718,7487.19,-69.592,107.587,0.6152,False
-0.07,0.065,0.003,2.9718,7487.19,-69.592,107.587,0.6152,False
-0.07,0.075,0.001,3.3644,14693.93,-52.246,281.245,0.5843,False
-0.07,0.075,0.0015,3.3644,14693.93,-52.246,281.245,0.5843,False
-0.07,0.075,0.003,3.3644,14693.93,-52.246,281.245,0.5843,False
-0.07,0.08,0.001,3.3512,14229.62,-52.246,272.358,0.5878,False
-0.07,0.08,0.0015,3.3512,14229.62,-52.246,272.358,0.5878,False
-0.07,0.08,0.003,3.3512,14229.62,-52.246,272.358,0.5878,False
-0.07,0.085,0.001,3.3182,13504.92,-52.246,258.487,0.5902,False
-0.07,0.085,0.0015,3.3182,13504.92,-52.246,258.487,0.5902,False
-0.07,0.085,0.003,3.3182,13504.92,-52.246,258.487,0.5902,False
-0.07,0.09,0.001,3.3138,13373.53,-52.246,255.973,0.5888,False
-0.07,0.09,0.0015,3.3138,13373.53,-52.246,255.973,0.5888,False
-0.07,0.09,0.003,3.3138,13373.53,-52.246,255.973,0.5888,False
-0.07,0.095,0.001,3.357,14723.37,-52.246,281.809,0.574,False
-0.07,0.095,0.0015,3.357,14723.37,-52.246,281.809,0.574,False
-0.07,0.095,0.003,3.357,14723.37,-52.246,281.809,0.574,False
-0.07,0.1,0.001,3.3324,14087.03,-52.246,269.629,0.5739,False
-0.07,0.1,0.0015,3.3324,14087.03,-52.246,269.629,0.5739,False
-0.07,0.1,0.003,3.3324,14087.03,-52.246,269.629,0.5739,False
-0.07,0.105,0.001,3.3324,14087.03,-52.246,269.629,0.5739,False
-0.07,0.105,0.0015,3.3324,14087.03,-52.246,269.629,0.5739,False
-0.07,0.105,0.003,3.3324,14087.03,-52.246,269.629,0.5739,False
-0.07,0.11,0.001,3.3279,13979.78,-52.246,267.576,0.5739,False
-0.07,0.11,0.0015,3.3279,13979.78,-52.246,267.576,0.5739,False
-0.07,0.11,0.003,3.3279,13979.78,-52.246,267.576,0.5739,False
-0.07,0.115,0.001,3.3131,13654.3,-52.246,261.346,0.574,False
-0.07,0.115,0.0015,3.3131,13654.3,-52.246,261.346,0.574,False
-0.07,0.115,0.003,3.3131,13654.3,-52.246,261.346,0.574,False
-0.07,0.12,0.001,3.3101,13593.55,-52.246,260.184,0.5741,False
-0.07,0.12,0.0015,3.3101,13593.55,-52.246,260.184,0.5741,False
-0.07,0.12,0.003,3.3101,13593.55,-52.246,260.184,0.5741,False
-0.07,0.125,0.001,3.3101,13593.55,-52.246,260.184,0.5741,False
-0.07,0.125,0.0015,3.3101,13593.55,-52.246,260.184,0.5741,False
-0.07,0.125,0.003,3.3101,13593.55,-52.246,260.184,0.5741,False
-0.07,0.13,0.001,3.3101,13593.55,-52.246,260.184,0.5741,False
-0.07,0.13,0.0015,3.3101,13593.55,-52.246,260.184,0.5741,False
-0.07,0.13,0.003,3.3101,13593.55,-52.246,260.184,0.5741,False
-0.08,0.04,0.001,1.5547,278.34,-82.7,3.366,3.0938,False
-0.08,0.04,0.0015,1.5547,278.34,-82.7,3.366,3.0938,False
-0.08,0.04,0.003,1.5547,278.34,-82.7,3.366,3.0938,False
-0.08,0.045,0.001,1.7822,508.5,-82.29,6.179,3.1269,False
-0.08,0.045,0.0015,1.7822,508.5,-82.29,6.179,3.1269,False
-0.08,0.045,0.003,1.7822,508.5,-82.29,6.179,3.1269,False
-0.08,0.05,0.001,2.5269,2946.06,-83.483,35.289,1.3026,False
-0.08,0.05,0.0015,2.5269,2946.06,-83.483,35.289,1.3026,False
-0.08,0.05,0.003,2.5269,2946.06,-83.483,35.289,1.3026,False
-0.08,0.055,0.001,2.844,5906.77,-61.334,96.305,0.8338,False
-0.08,0.055,0.0015,2.844,5906.77,-61.334,96.305,0.8338,False
-0.08,0.055,0.003,2.844,5906.77,-61.334,96.305,0.8338,False
-0.08,0.06,0.001,2.9242,6794.22,-65.545,103.657,0.6569,False
-0.08,0.06,0.0015,2.9242,6794.22,-65.545,103.657,0.6569,False
-0.08,0.06,0.003,2.9242,6794.22,-65.545,103.657,0.6569,False
-0.08,0.065,0.001,2.9718,7487.19,-69.592,107.587,0.6152,False
-0.08,0.065,0.0015,2.9718,7487.19,-69.592,107.587,0.6152,False
-0.08,0.065,0.003,2.9718,7487.19,-69.592,107.587,0.6152,False
-0.08,0.075,0.001,3.3644,14693.93,-52.246,281.245,0.5843,False
-0.08,0.075,0.0015,3.3644,14693.93,-52.246,281.245,0.5843,False
-0.08,0.075,0.003,3.3644,14693.93,-52.246,281.245,0.5843,False
-0.08,0.08,0.001,3.3512,14229.62,-52.246,272.358,0.5878,False
-0.08,0.08,0.0015,3.3512,14229.62,-52.246,272.358,0.5878,False
-0.08,0.08,0.003,3.3512,14229.62,-52.246,272.358,0.5878,False
-0.08,0.085,0.001,3.3614,13756.17,-52.246,263.296,0.5488,False
-0.08,0.085,0.0015,3.3614,13756.17,-52.246,263.296,0.5488,False
-0.08,0.085,0.003,3.3614,13756.17,-52.246,263.296,0.5488,False
-0.08,0.09,0.001,3.3562,13615.96,-52.246,260.613,0.5475,False
-0.08,0.09,0.0015,3.3562,13615.96,-52.246,260.613,0.5475,False
-0.08,0.09,0.003,3.3562,13615.96,-52.246,260.613,0.5475,False
-0.08,0.095,0.001,3.4033,15083.61,-52.246,288.704,0.5347,False
-0.08,0.095,0.0015,3.4033,15083.61,-52.246,288.704,0.5347,False
-0.08,0.095,0.003,3.4033,15083.61,-52.246,288.704,0.5347,False
-0.08,0.1,0.001,3.378,14433.55,-52.246,276.262,0.5345,False
-0.08,0.1,0.0015,3.378,14433.55,-52.246,276.262,0.5345,False
-0.08,0.1,0.003,3.378,14433.55,-52.246,276.262,0.5345,False
-0.08,0.105,0.001,3.378,14433.55,-52.246,276.262,0.5345,False
-0.08,0.105,0.0015,3.378,14433.55,-52.246,276.262,0.5345,False
-0.08,0.105,0.003,3.378,14433.55,-52.246,276.262,0.5345,False
-0.08,0.11,0.001,3.3735,14325.03,-52.246,274.184,0.5345,False
-0.08,0.11,0.0015,3.3735,14325.03,-52.246,274.184,0.5345,False
-0.08,0.11,0.003,3.3735,14325.03,-52.246,274.184,0.5345,False
-0.08,0.115,0.001,3.3577,13981.38,-52.246,267.607,0.5347,False
-0.08,0.115,0.0015,3.3577,13981.38,-52.246,267.607,0.5347,False
