EARLY_FILL_Y,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.07,0.0,3.2655,5727.3,-40.775,-22.512,140.461,0.6238,False
0.07,0.0005,3.2655,5727.3,-40.775,-22.512,140.461,0.6238,False
0.07,0.0008,3.2655,5727.3,-40.775,-22.512,140.461,0.6238,False
0.07,0.001,3.2655,5727.3,-40.775,-22.512,140.461,0.6238,False
0.07,0.0015,3.2655,5727.3,-40.775,-22.512,140.461,0.6238,False
0.07,0.002,3.2655,5727.3,-40.775,-22.512,140.461,0.6238,False
0.07,0.0025,3.2655,5727.3,-40.775,-22.512,140.461,0.6238,False
0.07,0.003,3.2655,5727.3,-40.775,-22.512,140.461,0.6238,False
0.08,0.0,3.601,11767.21,-40.775,-23.19,288.588,0.4933,False
0.08,0.0005,3.601,11767.21,-40.775,-23.19,288.588,0.4933,False
0.08,0.0008,3.601,11767.21,-40.775,-23.19,288.588,0.4933,False
0.08,0.001,3.601,11767.21,-40.775,-23.19,288.588,0.4933,False
0.08,0.0015,3.601,11767.21,-40.775,-23.19,288.588,0.4933,False
0.08,0.002,3.601,11767.21,-40.775,-23.19,288.588,0.4933,False
0.08,0.0025,3.601,11767.21,-40.775,-23.19,288.588,0.4933,False
0.08,0.003,3.601,11767.21,-40.775,-23.19,288.588,0.4933,False
0.09,0.0,3.7785,19211.7,-40.775,-22.417,471.163,0.4518,False
0.09,0.0005,3.7785,19211.7,-40.775,-22.417,471.163,0.4518,False
0.09,0.0008,3.7785,19211.7,-40.775,-22.417,471.163,0.4518,False
0.09,0.001,3.7785,19211.7,-40.775,-22.417,471.163,0.4518,False
0.09,0.0015,3.7785,19211.7,-40.775,-22.417,471.163,0.4518,False
0.09,0.002,3.7785,19211.7,-40.775,-22.417,471.163,0.4518,False
0.09,0.0025,3.7785,19211.7,-40.775,-22.417,471.163,0.4518,False
0.09,0.003,3.7785,19211.7,-40.775,-22.417,471.163,0.4518,True
0.1,0.0,3.318,18256.15,-56.787,-39.84,321.482,0.4687,False
0.1,0.0005,3.318,18256.15,-56.787,-39.84,321.482,0.4687,False
0.1,0.0008,3.318,18256.15,-56.787,-39.84,321.482,0.4687,False
0.1,0.001,3.318,18256.15,-56.787,-39.84,321.482,0.4687,False
0.1,0.0015,3.318,18256.15,-56.787,-39.84,321.482,0.4687,False
0.1,0.002,3.318,18256.15,-56.787,-39.84,321.482,0.4687,False
0.1,0.0025,3.318,18256.15,-56.787,-39.84,321.482,0.4687,False
0.1,0.003,3.318,18256.15,-56.787,-39.84,321.482,0.4687,False
0.15,0.0,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
0.15,0.0005,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
0.15,0.0008,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
0.15,0.001,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
0.15,0.0015,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
0.15,0.002,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
0.15,0.0025,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
0.15,0.003,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
0.2,0.0,3.1967,35599.97,-69.371,-39.84,513.182,0.6229,False
0.2,0.0005,3.1967,35599.97,-69.371,-39.84,513.182,0.6229,False
0.2,0.0008,3.1967,35599.97,-69.371,-39.84,513.182,0.6229,False
0.2,0.001,3.1967,35599.97,-69.371,-39.84,513.182,0.6229,False
0.2,0.0015,3.1967,35599.97,-69.371,-39.84,513.182,0.6229,False
0.2,0.002,3.1967,35599.97,-69.371,-39.84,513.182,0.6229,False
0.2,0.0025,3.1967,35599.97,-69.371,-39.84,513.182,0.6229,False
0.2,0.003,3.1967,35599.97,-69.371,-39.84,513.182,0.6229,False
0.25,0.0,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
0.25,0.0005,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
0.25,0.0008,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
0.25,0.001,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
0.25,0.0015,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
0.25,0.002,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
0.25,0.0025,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
0.25,0.003,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
0.3,0.0,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
0.3,0.0005,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
0.3,0.0008,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
0.3,0.001,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
0.3,0.0015,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
0.3,0.002,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
0.3,0.0025,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
0.3,0.003,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
0.4,0.0,3.074,37474.92,-69.395,-39.84,540.02,0.6245,False
0.4,0.0005,3.074,37474.92,-69.395,-39.84,540.02,0.6245,False
0.4,0.0008,3.074,37474.92,-69.395,-39.84,540.02,0.6245,False
0.4,0.001,3.074,37474.92,-69.395,-39.84,540.02,0.6245,False
0.4,0.0015,3.074,37474.92,-69.395,-39.84,540.02,0.6245,False
0.4,0.002,3.074,37474.92,-69.395,-39.84,540.02,0.6245,False
0.4,0.0025,3.074,37474.92,-69.395,-39.84,540.02,0.6245,False
0.4,0.003,3.074,37474.92,-69.395,-39.84,540.02,0.6245,False
