EARLY_FILL_X,EARLY_FILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
360,0.07,3.5376,11334.7,-43.924,-20.155,258.052,0.7077,False
360,0.08,3.6321,20553.99,-41.408,-19.92,496.378,0.5484,False
360,0.09,3.7015,29794.47,-41.023,-19.92,726.294,0.6093,False
360,0.1,3.3383,18840.4,-49.147,-37.68,383.347,0.6358,False
360,0.15,3.1848,25701.27,-57.78,-39.84,444.816,0.5793,False
360,0.175,3.1987,30857.19,-56.632,-39.84,544.873,0.5732,False
360,0.2,3.1633,28662.17,-57.048,-39.84,502.419,0.5729,False
360,0.225,3.0908,41650.17,-57.995,-39.84,718.166,0.5167,False
360,0.25,2.984,41898.78,-59.082,-39.84,709.161,0.531,False
360,0.3,2.8688,65971.34,-59.454,-39.84,1109.616,0.5088,False
540,0.07,3.5868,10364.13,-43.924,-20.155,235.955,0.6948,False
540,0.08,3.8011,16018.46,-41.408,-19.92,386.845,0.5573,False
540,0.09,3.8695,23034.34,-41.023,-19.92,561.503,0.5768,False
540,0.1,3.5883,26243.61,-40.775,-19.92,643.619,0.4512,False
540,0.15,3.188,25975.94,-57.678,-39.84,450.361,0.577,False
540,0.175,3.2177,33275.98,-56.477,-39.84,589.2,0.5603,False
540,0.2,3.226,35692.44,-52.642,-37.68,678.022,0.5375,False
540,0.225,3.1903,59470.29,-51.897,-32.863,1145.923,0.4732,False
540,0.25,2.984,41898.78,-59.082,-39.84,709.161,0.531,False
540,0.3,2.8688,65971.34,-59.454,-39.84,1109.616,0.5088,False
600,0.07,3.4793,7372.58,-43.924,-20.155,167.848,0.7058,False
600,0.08,3.7243,11811.94,-41.408,-19.92,285.258,0.5603,False
600,0.09,3.8717,20320.46,-41.023,-19.92,495.348,0.544,False
600,0.1,3.5663,24293.21,-40.775,-19.92,595.786,0.4516,False
600,0.15,3.188,25975.94,-57.678,-39.84,450.361,0.577,False
600,0.175,3.2177,33275.98,-56.477,-39.84,589.2,0.5603,False
600,0.2,3.226,35692.44,-52.642,-37.68,678.022,0.5375,False
600,0.225,3.1903,59470.29,-51.897,-32.863,1145.923,0.4732,False
600,0.25,2.984,41898.78,-59.082,-39.84,709.161,0.531,False
600,0.3,2.8688,65971.34,-59.454,-39.84,1109.616,0.5088,False
660,0.07,3.4459,6721.32,-43.924,-20.155,153.021,0.7127,False
660,0.08,3.7077,11176.39,-41.408,-19.92,269.909,0.565,False
660,0.09,3.8536,19060.45,-41.023,-19.92,464.633,0.5474,False
660,0.1,3.5735,24712.03,-40.775,-19.92,606.057,0.4518,False
660,0.15,3.1899,25012.2,-57.541,-39.84,434.683,0.5657,False
660,0.175,3.2177,33275.98,-56.477,-39.84,589.2,0.5603,False
660,0.2,3.226,35692.44,-52.642,-37.68,678.022,0.5375,False
660,0.225,3.1903,59470.29,-51.897,-32.863,1145.923,0.4732,False
660,0.25,2.984,41898.78,-59.082,-39.84,709.161,0.531,False
660,0.3,2.8688,65971.34,-59.454,-39.84,1109.616,0.5088,False
720,0.07,3.3872,5986.79,-43.924,-20.155,136.298,0.7062,False
720,0.08,3.7238,11602.78,-41.408,-19.92,280.206,0.565,False
720,0.09,3.8746,20086.6,-41.023,-19.92,489.647,0.5474,False
720,0.1,3.5706,24477.22,-40.775,-19.92,600.298,0.4528,False
720,0.15,3.1899,25012.2,-57.541,-39.84,434.683,0.5657,False
720,0.175,3.2186,33440.15,-56.485,-39.84,592.021,0.5616,False
720,0.2,3.2335,37364.94,-52.742,-37.68,708.453,0.549,False
720,0.225,3.1903,59470.29,-51.897,-32.863,1145.923,0.4732,False
720,0.25,2.984,41898.78,-59.082,-39.84,709.161,0.531,False
720,0.3,2.8688,65971.34,-59.454,-39.84,1109.616,0.5088,False
900,0.07,3.3935,5868.06,-43.924,-20.155,133.595,0.7113,False
900,0.08,3.6951,10375.04,-41.408,-19.92,250.556,0.5673,False
900,0.09,3.8825,19630.77,-41.023,-19.92,478.535,0.5517,False
900,0.1,3.6388,28772.93,-40.775,-19.92,705.65,0.468,False
900,0.15,3.2774,34480.68,-57.541,-39.84,599.234,0.5711,False
900,0.175,3.3076,46383.68,-56.485,-39.84,821.172,0.5672,False
900,0.2,3.2725,44180.31,-52.742,-37.68,837.675,0.549,False
900,0.225,3.231,70306.92,-51.897,-32.863,1354.733,0.4732,False
900,0.25,2.984,41898.78,-59.082,-39.84,709.161,0.531,False
900,0.3,2.8688,65971.34,-59.454,-39.84,1109.616,0.5088,False
1080,0.07,3.3577,5576.98,-44.483,-22.338,125.375,0.7181,False
1080,0.08,3.7027,10417.35,-41.221,-19.92,252.722,0.5673,False
1080,0.09,3.8973,20199.87,-41.023,-19.92,492.408,0.5527,False
1080,0.1,3.6905,26103.97,-40.775,-19.92,640.194,0.4749,False
1080,0.15,3.2762,35013.31,-57.541,-39.84,608.491,0.5705,False
1080,0.175,3.313,47487.91,-56.485,-39.84,840.722,0.5673,False
1080,0.2,3.3028,51736.01,-52.742,-37.68,980.933,0.5489,False
1080,0.225,3.2544,78597.78,-51.897,-32.863,1514.488,0.4733,False
1080,0.25,2.984,41898.78,-59.082,-39.84,709.161,0.531,False
1080,0.3,2.8688,65971.34,-59.454,-39.84,1109.616,0.5088,False
