L_HIGH,PORT_TSL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.8,0.04,2.1045,166.58,-24.681,-7.352,6.749,2.5915,False
0.8,0.045,2.4391,243.06,-23.442,-7.796,10.369,2.3917,False
0.8,0.05,3.2742,389.44,-17.609,-7.364,22.116,0.8331,False
0.8,0.055,3.6242,444.51,-11.824,-4.758,37.594,0.616,False
0.8,0.06,3.4799,406.64,-12.585,-6.847,32.311,0.5613,False
0.8,0.065,3.5902,406.62,-13.933,-9.156,29.184,0.5497,False
0.8,0.075,3.8535,423.38,-12.452,-5.312,34.001,0.5462,False
0.8,0.08,3.822,419.7,-12.548,-5.312,33.447,0.5479,False
0.8,0.085,3.8042,424.37,-13.457,-5.312,31.536,0.5524,False
0.8,0.09,3.8042,424.37,-13.457,-5.312,31.536,0.5524,False
0.8,0.095,3.8723,435.25,-10.97,-5.312,39.678,0.5253,False
0.8,0.1,3.8534,433.7,-10.97,-5.312,39.537,0.525,False
0.8,0.105,3.8534,433.7,-10.97,-5.312,39.537,0.525,False
0.8,0.11,3.8497,433.81,-10.97,-5.312,39.547,0.525,False
0.8,0.115,3.8457,433.96,-10.97,-5.312,39.56,0.525,False
0.8,0.12,3.8457,433.96,-10.97,-5.312,39.56,0.525,False
0.8,0.125,3.8457,433.96,-10.97,-5.312,39.56,0.525,False
0.8,0.13,3.8457,433.96,-10.97,-5.312,39.56,0.525,False
0.9,0.04,2.1057,196.2,-27.389,-8.271,7.163,2.5888,False
0.9,0.045,2.4329,290.37,-26.049,-8.77,11.147,2.3999,False
0.9,0.05,3.2679,482.41,-19.639,-8.284,24.564,0.8341,False
0.9,0.055,3.6219,558.81,-13.23,-5.353,42.236,0.6163,False
0.9,0.06,3.482,507.62,-14.078,-7.457,36.058,0.5617,False
0.9,0.065,3.5881,507.41,-15.596,-10.3,32.535,0.55,False
0.9,0.075,3.8647,537.68,-13.927,-5.976,38.607,0.5459,False
0.9,0.08,3.8346,532.04,-14.034,-5.976,37.911,0.5473,False
0.9,0.085,3.8074,535.06,-15.041,-5.976,35.573,0.5526,False
0.9,0.09,3.8074,535.06,-15.041,-5.976,35.573,0.5526,False
0.9,0.095,3.8773,550.98,-12.282,-5.976,44.859,0.5257,False
0.9,0.1,3.8563,549.53,-12.282,-5.976,44.741,0.5256,False
0.9,0.105,3.8563,549.53,-12.282,-5.976,44.741,0.5256,False
0.9,0.11,3.8526,549.66,-12.282,-5.976,44.752,0.5256,False
0.9,0.115,3.8486,549.83,-12.282,-5.976,44.766,0.5256,False
0.9,0.12,3.8486,549.83,-12.282,-5.976,44.766,0.5256,False
0.9,0.125,3.8486,549.83,-12.282,-5.976,44.766,0.5256,False
0.9,0.13,3.8486,549.83,-12.282,-5.976,44.766,0.5256,False
1.0,0.04,2.1057,227.7,-30.02,-9.19,7.585,2.5888,False
1.0,0.045,2.4328,344.04,-28.588,-9.745,12.034,2.4,False
1.0,0.05,3.2682,594.63,-21.633,-9.205,27.488,0.834,False
1.0,0.055,3.6233,697.63,-14.622,-5.947,47.712,0.6167,False
1.0,0.06,3.4836,629.11,-15.554,-8.285,40.448,0.5625,False
1.0,0.065,3.5897,629.4,-17.241,-11.445,36.506,0.5503,False
1.0,0.075,3.8635,669.61,-15.384,-6.64,43.525,0.5454,False
1.0,0.08,3.8315,661.34,-15.502,-6.64,42.663,0.547,False
1.0,0.085,3.8047,665.45,-16.605,-6.64,40.075,0.5523,False
1.0,0.09,3.8047,665.45,-16.605,-6.64,40.075,0.5523,False
1.0,0.095,3.8767,688.1,-13.583,-6.64,50.66,0.5257,False
1.0,0.1,3.8557,686.04,-13.583,-6.64,50.509,0.5256,False
1.0,0.105,3.8557,686.04,-13.583,-6.64,50.509,0.5256,False
1.0,0.11,3.852,686.18,-13.583,-6.64,50.519,0.5256,False
1.0,0.115,3.848,686.38,-13.583,-6.64,50.534,0.5256,False
1.0,0.12,3.848,686.38,-13.583,-6.64,50.534,0.5256,False
1.0,0.125,3.848,686.38,-13.583,-6.64,50.534,0.5256,False
1.0,0.13,3.848,686.38,-13.583,-6.64,50.534,0.5256,False
1.1,0.04,2.1057,261.22,-32.575,-10.109,8.019,2.5888,False
1.1,0.045,2.4328,402.99,-31.061,-10.72,12.974,2.4,False
1.1,0.05,3.2682,725.49,-23.59,-10.126,30.754,0.834,False
1.1,0.055,3.6235,862.85,-15.997,-6.542,53.937,0.6167,False
1.1,0.06,3.4836,772.16,-17.012,-9.114,45.39,0.5625,False
1.1,0.065,3.5897,773.29,-18.869,-12.59,40.982,0.5503,False
1.1,0.075,3.8635,828.24,-16.824,-7.304,49.229,0.5454,False
1.1,0.08,3.8315,817.15,-16.952,-7.304,48.205,0.547,False
1.1,0.085,3.8047,822.31,-18.148,-7.304,45.31,0.5523,False
1.1,0.09,3.8047,822.31,-18.148,-7.304,45.31,0.5523,False
1.1,0.095,3.8767,852.56,-14.87,-7.304,57.334,0.5257,False
1.1,0.1,3.8557,849.66,-14.87,-7.304,57.139,0.5256,False
1.1,0.105,3.8557,849.66,-14.87,-7.304,57.139,0.5256,False
1.1,0.11,3.852,849.81,-14.87,-7.304,57.149,0.5256,False
1.1,0.115,3.848,850.04,-14.87,-7.304,57.164,0.5256,False
1.1,0.12,3.848,850.04,-14.87,-7.304,57.164,0.5256,False
1.1,0.125,3.848,850.04,-14.87,-7.304,57.164,0.5256,False
1.1,0.13,3.848,850.04,-14.87,-7.304,57.164,0.5256,False
1.2,0.04,2.1057,296.72,-35.055,-11.028,8.464,2.5888,False
1.2,0.045,2.4318,466.82,-33.468,-11.694,13.948,2.4006,False
1.2,0.05,3.2682,877.49,-25.512,-11.046,34.395,0.834,False
1.2,0.055,3.6235,1058.41,-17.358,-7.137,60.976,0.6167,False
1.2,0.06,3.4836,939.82,-18.453,-9.942,50.931,0.5625,False
1.2,0.065,3.5897,942.21,-20.48,-13.734,46.006,0.5503,False
1.2,0.075,3.8635,1016.36,-18.247,-7.968,55.7,0.5454,False
1.2,0.08,3.8315,1001.67,-18.384,-7.968,54.487,0.547,False
1.2,0.085,3.8047,1008.04,-19.671,-7.968,51.245,0.5523,False
1.2,0.09,3.8047,1008.04,-19.671,-7.968,51.245,0.5523,False
1.2,0.095,3.8767,1048.0,-16.145,-7.968,64.912,0.5257,False
1.2,0.1,3.8557,1044.0,-16.145,-7.968,64.664,0.5256,False
