Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0743,0.236,-0.0565,0.3681,256,
CAGR%,delta,1,-0.0457,0.376,0.0369,0.4752,377,
AvgDailyRet%,level,1,-0.0011,0.9828,-0.0357,0.4895,378,
CAGR%,level,1,-0.0649,0.2079,-0.0331,0.521,378,
Sortino,delta,1,0.0611,0.2366,-0.0309,0.5503,377,
Sharpe,level,1,-0.0242,0.6823,-0.0239,0.686,288,
Calmar,delta,1,-0.0454,0.4704,0.0138,0.826,255,
AvgDailyRet%,delta,1,0.0992,0.0542,-0.0122,0.8126,377,
Sharpe,delta,1,0.0448,0.4498,-0.0059,0.9207,287,
Sortino,level,1,0.0235,0.6484,-0.0017,0.9739,378,
Calmar,level,3,-0.065,0.3024,-0.0906,0.1499,254,
Sharpe,level,3,-0.0728,0.2196,-0.0565,0.3414,286,
CAGR%,level,3,-0.0492,0.3416,-0.0449,0.3852,376,
AvgDailyRet%,level,3,-0.046,0.374,-0.0365,0.4799,376,
CAGR%,delta,3,-0.0014,0.978,0.0354,0.4943,375,
Sortino,delta,3,0.0553,0.2852,0.0263,0.6119,375,
Calmar,delta,3,-0.0024,0.9698,0.022,0.7281,253,
Sortino,level,3,-0.0011,0.9825,0.0216,0.6765,376,
AvgDailyRet%,delta,3,0.0417,0.4206,0.0198,0.7027,375,
Sharpe,delta,3,0.0037,0.9505,0.0065,0.9132,285,
Sortino,level,5,-0.026,0.6165,0.0641,0.2162,374,
Calmar,delta,5,0.0052,0.9352,0.053,0.4035,251,
CAGR%,delta,5,0.0063,0.9028,0.0496,0.3398,373,
Calmar,level,5,-0.0939,0.1371,-0.049,0.4383,252,
AvgDailyRet%,delta,5,0.0662,0.2019,0.0393,0.4495,373,
Sortino,delta,5,0.0784,0.1307,0.0329,0.5261,373,
Sharpe,delta,5,0.0228,0.7025,0.0219,0.7138,283,
Sharpe,level,5,-0.0758,0.2027,-0.017,0.7758,284,
AvgDailyRet%,level,5,-0.057,0.2714,0.0163,0.7527,374,
CAGR%,level,5,-0.0778,0.1334,0.0025,0.9615,374,
