date,type,start_usd,margin_usd,lev,invested_usd,trade_vol_usd,taker_fee_usd,funding_usd,end_usd,ret_gross_pct,ret_net_pct,net_pnl_usd
2025-02-13,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-14,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-15,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-16,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-17,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-18,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-19,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-20,active,10000.0,10000.0,2.3,23000.0,46000.0,18.4,4.6,12820.38,28.4337,28.2037,2820.38
2025-02-21,active,12820.38,12820.38,2.3,29486.86,58973.72,23.5895,5.8974,11219.98,-12.2532,-12.4832,-1600.4
2025-02-22,no_entry,11219.98,0.0,0.0,0.0,0.0,0.0,0.0,11219.98,0.0,0.0,0.0
2025-02-23,no_entry,11219.98,0.0,0.0,0.0,0.0,0.0,0.0,11219.98,0.0,0.0,0.0
2025-02-24,no_entry,11219.98,0.0,0.0,0.0,0.0,0.0,0.0,11219.98,0.0,0.0,0.0
2025-02-25,no_entry,11219.98,0.0,0.0,0.0,0.0,0.0,0.0,11219.98,0.0,0.0,0.0
2025-02-26,active,11219.98,11219.98,2.3,25805.94,51611.89,20.6448,5.1612,13476.71,20.3435,20.1135,2256.73
2025-02-27,no_entry,13476.71,0.0,0.0,0.0,0.0,0.0,0.0,13476.71,0.0,0.0,0.0
2025-02-28,active,13476.71,13476.71,2.3,30996.42,61992.84,24.7971,6.1993,13766.52,2.3805,2.1505,289.82
2025-03-01,no_entry,13766.52,0.0,0.0,0.0,0.0,0.0,0.0,13766.52,0.0,0.0,0.0
2025-03-02,no_entry,13766.52,0.0,0.0,0.0,0.0,0.0,0.0,13766.52,0.0,0.0,0.0
2025-03-03,no_entry,13766.52,0.0,0.0,0.0,0.0,0.0,0.0,13766.52,0.0,0.0,0.0
2025-03-04,active,13766.52,13766.52,2.3,31663.0,63326.0,25.3304,6.3326,13361.24,-2.714,-2.944,-405.29
2025-03-05,no_entry,13361.24,0.0,0.0,0.0,0.0,0.0,0.0,13361.24,0.0,0.0,0.0
2025-03-06,no_entry,13361.24,0.0,0.0,0.0,0.0,0.0,0.0,13361.24,0.0,0.0,0.0
2025-03-07,active,13361.24,13361.24,2.3,30730.84,61461.68,24.5847,6.1462,12850.34,-3.5937,-3.8237,-510.9
2025-03-08,active,12850.34,12850.34,2.3,29555.77,59111.54,23.6446,5.9112,10904.09,-14.9155,-15.1455,-1946.25
2025-03-09,no_entry,10904.09,0.0,0.0,0.0,0.0,0.0,0.0,10904.09,0.0,0.0,0.0
2025-03-10,no_entry,10904.09,0.0,0.0,0.0,0.0,0.0,0.0,10904.09,0.0,0.0,0.0
2025-03-11,no_entry,10904.09,0.0,0.0,0.0,0.0,0.0,0.0,10904.09,0.0,0.0,0.0
2025-03-12,active,10904.09,10904.09,2.3,25079.4,50158.8,20.0635,5.0159,11850.21,8.9067,8.6768,946.12
2025-03-13,no_entry,11850.21,0.0,0.0,0.0,0.0,0.0,0.0,11850.21,0.0,0.0,0.0
2025-03-14,active,11850.21,11850.21,2.3,27255.48,54510.96,21.8044,5.4511,12160.92,2.852,2.622,310.71
2025-03-15,active,12160.92,12160.92,3.0044,36535.67,73071.34,29.2285,7.3071,15128.53,24.7033,24.4028,2967.61
2025-03-16,flat,15128.53,0.0,0.0,0.0,0.0,0.0,0.0,15128.53,0.0,0.0,0.0
2025-03-17,no_entry,15128.53,0.0,0.0,0.0,0.0,0.0,0.0,15128.53,0.0,0.0,0.0
2025-03-18,no_entry,15128.53,0.0,0.0,0.0,0.0,0.0,0.0,15128.53,0.0,0.0,0.0
2025-03-19,no_entry,15128.53,0.0,0.0,0.0,0.0,0.0,0.0,15128.53,0.0,0.0,0.0
2025-03-20,active,15128.53,15128.53,2.3,34795.62,69591.24,27.8365,6.9591,14958.9,-0.8912,-1.1212,-169.63
2025-03-21,no_entry,14958.9,0.0,0.0,0.0,0.0,0.0,0.0,14958.9,0.0,0.0,0.0
2025-03-22,no_entry,14958.9,0.0,0.0,0.0,0.0,0.0,0.0,14958.9,0.0,0.0,0.0
2025-03-23,flat,14958.9,0.0,0.0,0.0,0.0,0.0,0.0,14958.9,0.0,0.0,0.0
2025-03-24,flat,14958.9,0.0,0.0,0.0,0.0,0.0,0.0,14958.9,0.0,0.0,0.0
2025-03-25,no_entry,14958.9,0.0,0.0,0.0,0.0,0.0,0.0,14958.9,0.0,0.0,0.0
2025-03-26,active,14958.9,14958.9,3.4479,51576.52,103153.05,41.2612,10.3153,14104.02,-5.3701,-5.7149,-854.88
2025-03-27,no_entry,14104.02,0.0,0.0,0.0,0.0,0.0,0.0,14104.02,0.0,0.0,0.0
2025-03-28,no_entry,14104.02,0.0,0.0,0.0,0.0,0.0,0.0,14104.02,0.0,0.0,0.0
2025-03-29,active,14104.02,14104.02,2.5256,35620.57,71241.15,28.4965,7.1241,13220.63,-6.0108,-6.2634,-883.39
2025-03-30,active,13220.63,13220.63,3.2741,43285.56,86571.12,34.6284,8.6571,13191.41,0.1064,-0.221,-29.22
2025-03-31,flat,13191.41,0.0,0.0,0.0,0.0,0.0,0.0,13191.41,0.0,0.0,0.0
2025-04-01,active,13191.41,13191.41,3.3064,43615.82,87231.63,34.8927,8.7232,11957.09,-9.0264,-9.3571,-1234.33
2025-04-02,active,11957.09,11957.09,4.6,55002.59,110005.19,44.0021,11.0005,12475.48,4.7955,4.3355,518.4
2025-04-03,active,12475.48,12475.48,4.6,57387.23,114774.46,45.9098,11.4774,13953.21,12.305,11.845,1477.72
2025-04-04,no_entry,13953.21,0.0,0.0,0.0,0.0,0.0,0.0,13953.21,0.0,0.0,0.0
2025-04-05,active,13953.21,13953.21,4.6,64184.75,128369.5,51.3478,12.8369,14694.54,5.773,5.313,741.33
2025-04-06,flat,14694.54,0.0,0.0,0.0,0.0,0.0,0.0,14694.54,0.0,0.0,0.0
2025-04-07,no_entry,14694.54,0.0,0.0,0.0,0.0,0.0,0.0,14694.54,0.0,0.0,0.0
2025-04-08,no_entry,14694.54,0.0,0.0,0.0,0.0,0.0,0.0,14694.54,0.0,0.0,0.0
2025-04-09,no_entry,14694.54,0.0,0.0,0.0,0.0,0.0,0.0,14694.54,0.0,0.0,0.0
2025-04-10,active,14694.54,14694.54,4.5964,67542.09,135084.17,54.0337,13.5084,13629.06,-6.7912,-7.2508,-1065.48
2025-04-11,no_entry,13629.06,0.0,0.0,0.0,0.0,0.0,0.0,13629.06,0.0,0.0,0.0
2025-04-12,active,13629.06,13629.06,4.6,62693.69,125387.38,50.155,12.5387,18810.7,38.479,38.019,5181.63
2025-04-13,active,18810.7,18810.7,2.3,43264.6,86529.21,34.6117,8.6529,18267.73,-2.6565,-2.8865,-542.97
2025-04-14,no_entry,18267.73,0.0,0.0,0.0,0.0,0.0,0.0,18267.73,0.0,0.0,0.0
2025-04-15,no_entry,18267.73,0.0,0.0,0.0,0.0,0.0,0.0,18267.73,0.0,0.0,0.0
2025-04-16,no_entry,18267.73,0.0,0.0,0.0,0.0,0.0,0.0,18267.73,0.0,0.0,0.0
2025-04-17,active,18267.73,18267.73,2.3,42015.77,84031.54,33.6126,8.4032,21008.2,15.2317,15.0017,2740.48
2025-04-18,no_entry,21008.2,0.0,0.0,0.0,0.0,0.0,0.0,21008.2,0.0,0.0,0.0
2025-04-19,active,21008.2,21008.2,2.3,48318.87,96637.74,38.6551,9.6638,24687.69,17.7445,17.5145,3679.48
2025-04-20,no_entry,24687.69,0.0,0.0,0.0,0.0,0.0,0.0,24687.69,0.0,0.0,0.0
2025-04-21,no_entry,24687.69,0.0,0.0,0.0,0.0,0.0,0.0,24687.69,0.0,0.0,0.0
2025-04-22,no_entry,24687.69,0.0,0.0,0.0,0.0,0.0,0.0,24687.69,0.0,0.0,0.0
2025-04-23,active,24687.69,24687.69,2.3,56781.68,113563.36,45.4253,11.3563,27434.5,11.3563,11.1263,2746.81
