Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.0404,0.4338,-0.0612,0.2355,378,
CAGR%,level,1,-0.092,0.0741,-0.0589,0.2532,378,
AvgDailyRet%,level,1,-0.0535,0.2993,-0.0525,0.3087,378,
Calmar,delta,1,0.0011,0.9836,0.0415,0.4249,372,
Calmar,level,1,-0.0965,0.0625,-0.0402,0.4383,373,
CAGR%,delta,1,-0.0109,0.833,0.0392,0.4475,377,
AvgDailyRet%,delta,1,0.0374,0.4695,0.0202,0.6957,377,
Sharpe,delta,1,0.0821,0.1113,0.0099,0.8475,377,
Sortino,delta,1,-0.0353,0.4939,-0.0047,0.9269,377,
Sortino,level,1,-0.0113,0.8269,-0.0017,0.9745,378,
CAGR%,level,3,-0.1442,0.0051,-0.08,0.1214,376,
Sharpe,level,3,-0.1044,0.043,-0.0791,0.1258,376,
AvgDailyRet%,level,3,-0.1047,0.0425,-0.0737,0.1538,376,
Calmar,level,3,-0.1673,0.0012,-0.0645,0.215,371,
Calmar,delta,3,-0.009,0.8629,0.0425,0.4151,370,
CAGR%,delta,3,-0.0057,0.9125,0.0128,0.8044,375,
Sharpe,delta,3,0.0458,0.3768,0.0122,0.8139,375,
Sortino,level,3,0.0084,0.8713,0.0114,0.8254,376,
Sortino,delta,3,0.029,0.5759,0.0098,0.85,375,
AvgDailyRet%,delta,3,0.004,0.9381,-0.0031,0.9526,375,
Calmar,level,5,-0.196,0.0002,-0.0965,0.064,369,
Calmar,delta,5,-0.0287,0.5833,0.0946,0.07,368,
Sharpe,level,5,-0.1478,0.0042,-0.089,0.0857,374,
CAGR%,level,5,-0.1842,0.0003,-0.0871,0.0927,374,
AvgDailyRet%,level,5,-0.1377,0.0076,-0.081,0.1177,374,
Sharpe,delta,5,0.0613,0.2372,0.05,0.3352,373,
CAGR%,delta,5,-0.0233,0.6538,0.0467,0.3688,373,
AvgDailyRet%,delta,5,0.0292,0.5735,0.0358,0.4903,373,
Sortino,delta,5,0.0022,0.9661,0.0302,0.5607,373,
Sortino,level,5,-0.0213,0.6817,-0.0106,0.838,374,
