Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0326,0.522,-0.072,0.1571,388,
Sharpe,level,1,-0.048,0.3485,-0.0675,0.1877,383,
AvgDailyRet%,level,1,-0.0433,0.3948,-0.0635,0.2124,388,
Calmar,level,1,-0.0135,0.8054,-0.0597,0.276,335,
Sortino,delta,1,0.0351,0.4906,0.055,0.2808,387,
Sharpe,delta,1,0.1004,0.0499,0.0366,0.4759,382,
Calmar,delta,1,0.0489,0.3734,0.033,0.5476,334,
Sortino,level,1,-0.071,0.1628,-0.0299,0.5569,388,
CAGR%,delta,1,0.041,0.4213,0.0218,0.6695,387,
AvgDailyRet%,delta,1,0.045,0.3769,0.0176,0.7298,387,
Sharpe,level,3,-0.135,0.0083,-0.1379,0.007,381,yes
CAGR%,level,3,-0.089,0.0807,-0.1281,0.0117,386,yes
AvgDailyRet%,level,3,-0.0984,0.0535,-0.1181,0.0203,386,yes
Sortino,level,3,-0.1169,0.0216,-0.1081,0.0338,386,yes
Calmar,level,3,-0.0103,0.8509,-0.1055,0.0538,335,
Sortino,delta,3,-0.0437,0.3924,0.0572,0.2625,385,
Sharpe,delta,3,0.0426,0.4076,0.0448,0.3841,380,
AvgDailyRet%,delta,3,0.0089,0.8624,0.0358,0.4837,385,
CAGR%,delta,3,-0.0158,0.7574,0.0184,0.7191,385,
Calmar,delta,3,0.0038,0.9444,0.0065,0.9062,334,
Sharpe,level,5,-0.1751,0.0006,-0.2013,0.0001,379,yes
CAGR%,level,5,-0.0629,0.2189,-0.152,0.0028,384,yes
AvgDailyRet%,level,5,-0.1184,0.0203,-0.1442,0.0046,384,yes
Sortino,level,5,-0.1274,0.0125,-0.1338,0.0086,384,yes
Calmar,level,5,-0.0029,0.9572,-0.1031,0.0595,335,
Calmar,delta,5,0.0156,0.7761,0.0233,0.6717,334,
Sharpe,delta,5,0.0132,0.7986,0.0128,0.8046,378,
AvgDailyRet%,delta,5,0.0249,0.6274,0.0118,0.8183,383,
Sortino,delta,5,-0.0076,0.8814,0.0113,0.8254,383,
CAGR%,delta,5,-0.0116,0.8204,-0.005,0.9216,383,
