date,type,start_usd,margin_usd,lev,invested_usd,trade_vol_usd,taker_fee_usd,funding_usd,end_usd,ret_gross_pct,ret_net_pct,net_pnl_usd
2025-02-13,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-14,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-15,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-16,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-17,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-18,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-19,no_entry,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
2025-02-20,active,10000.0,10000.0,1.5,15000.0,30000.0,12.0,3.0,11839.37,18.5437,18.3937,1839.37
2025-02-21,active,11839.37,11839.37,1.5,17759.06,35518.12,14.2072,3.5518,10875.5,-7.9912,-8.1412,-963.87
2025-02-22,no_entry,10875.5,0.0,0.0,0.0,0.0,0.0,0.0,10875.5,0.0,0.0,0.0
2025-02-23,no_entry,10875.5,0.0,0.0,0.0,0.0,0.0,0.0,10875.5,0.0,0.0,0.0
2025-02-24,no_entry,10875.5,0.0,0.0,0.0,0.0,0.0,0.0,10875.5,0.0,0.0,0.0
2025-02-25,no_entry,10875.5,0.0,0.0,0.0,0.0,0.0,0.0,10875.5,0.0,0.0,0.0
2025-02-26,active,10875.5,10875.5,1.5,16313.25,32626.51,13.0506,3.2627,12302.1,13.2675,13.1175,1426.59
2025-02-27,no_entry,12302.1,0.0,0.0,0.0,0.0,0.0,0.0,12302.1,0.0,0.0,0.0
2025-02-28,active,12302.1,12302.1,1.5,18453.14,36906.29,14.7625,3.6906,12474.63,1.5525,1.4025,172.54
2025-03-01,no_entry,12474.63,0.0,0.0,0.0,0.0,0.0,0.0,12474.63,0.0,0.0,0.0
2025-03-02,no_entry,12474.63,0.0,0.0,0.0,0.0,0.0,0.0,12474.63,0.0,0.0,0.0
2025-03-03,no_entry,12474.63,0.0,0.0,0.0,0.0,0.0,0.0,12474.63,0.0,0.0,0.0
2025-03-04,active,12474.63,12474.63,1.5,18711.95,37423.9,14.9696,3.7424,12235.12,-1.77,-1.92,-239.51
2025-03-05,no_entry,12235.12,0.0,0.0,0.0,0.0,0.0,0.0,12235.12,0.0,0.0,0.0
2025-03-06,no_entry,12235.12,0.0,0.0,0.0,0.0,0.0,0.0,12235.12,0.0,0.0,0.0
2025-03-07,active,12235.12,12235.12,1.5,18352.68,36705.36,14.6821,3.6705,11930.01,-2.3438,-2.4938,-305.11
2025-03-08,active,11930.01,11930.01,1.5,17895.01,35790.02,14.316,3.579,10751.62,-9.7275,-9.8775,-1178.39
2025-03-09,no_entry,10751.62,0.0,0.0,0.0,0.0,0.0,0.0,10751.62,0.0,0.0,0.0
2025-03-10,no_entry,10751.62,0.0,0.0,0.0,0.0,0.0,0.0,10751.62,0.0,0.0,0.0
2025-03-11,no_entry,10751.62,0.0,0.0,0.0,0.0,0.0,0.0,10751.62,0.0,0.0,0.0
2025-03-12,active,10751.62,10751.62,1.5,16127.43,32254.86,12.9019,3.2255,11360.03,5.8087,5.6587,608.41
2025-03-13,no_entry,11360.03,0.0,0.0,0.0,0.0,0.0,0.0,11360.03,0.0,0.0,0.0
2025-03-14,active,11360.03,11360.03,1.5,17040.04,34080.08,13.632,3.408,11554.28,1.86,1.71,194.26
2025-03-15,active,11554.28,11554.28,1.95,22530.85,45061.71,18.0247,4.5062,13384.35,16.0339,15.8389,1830.07
2025-03-16,no_entry,13384.35,0.0,0.0,0.0,0.0,0.0,0.0,13384.35,0.0,0.0,0.0
2025-03-17,no_entry,13384.35,0.0,0.0,0.0,0.0,0.0,0.0,13384.35,0.0,0.0,0.0
2025-03-18,no_entry,13384.35,0.0,0.0,0.0,0.0,0.0,0.0,13384.35,0.0,0.0,0.0
2025-03-19,no_entry,13384.35,0.0,0.0,0.0,0.0,0.0,0.0,13384.35,0.0,0.0,0.0
2025-03-20,active,13384.35,13384.35,1.5,20076.53,40153.06,16.0612,4.0153,13286.48,-0.5813,-0.7312,-97.87
2025-03-21,no_entry,13286.48,0.0,0.0,0.0,0.0,0.0,0.0,13286.48,0.0,0.0,0.0
2025-03-22,no_entry,13286.48,0.0,0.0,0.0,0.0,0.0,0.0,13286.48,0.0,0.0,0.0
2025-03-23,active,13286.48,13286.48,2.4,31887.55,63775.1,25.51,6.3775,12018.95,-9.3,-9.54,-1267.53
2025-03-24,active,12018.95,12018.95,2.4,28845.48,57690.96,23.0764,5.7691,10228.37,-14.658,-14.898,-1790.58
2025-03-25,no_entry,10228.37,0.0,0.0,0.0,0.0,0.0,0.0,10228.37,0.0,0.0,0.0
2025-03-26,active,10228.37,10228.37,2.85,29150.84,58301.69,23.3207,5.8302,9745.19,-4.4389,-4.7239,-483.18
2025-03-27,no_entry,9745.19,0.0,0.0,0.0,0.0,0.0,0.0,9745.19,0.0,0.0,0.0
2025-03-28,no_entry,9745.19,0.0,0.0,0.0,0.0,0.0,0.0,9745.19,0.0,0.0,0.0
2025-03-29,active,9745.19,9745.19,2.85,27773.79,55547.59,22.219,5.5548,9056.4,-6.783,-7.068,-688.79
2025-03-30,active,9056.4,9056.4,2.85,25810.74,51621.48,20.6486,5.1621,9038.98,0.0926,-0.1924,-17.42
2025-03-31,no_entry,9038.98,0.0,0.0,0.0,0.0,0.0,0.0,9038.98,0.0,0.0,0.0
2025-04-01,active,9038.98,9038.98,2.85,25761.09,51522.18,20.6089,5.1522,8309.94,-7.7805,-8.0655,-729.04
2025-04-02,active,8309.94,8309.94,2.85,23683.33,47366.66,18.9467,4.7367,8533.16,2.9711,2.6861,223.22
2025-04-03,active,8533.16,8533.16,2.85,24319.49,48638.98,19.4556,4.8639,9159.38,7.6237,7.3387,626.23
2025-04-04,no_entry,9159.38,0.0,0.0,0.0,0.0,0.0,0.0,9159.38,0.0,0.0,0.0
2025-04-05,active,9159.38,9159.38,2.85,26104.24,52208.48,20.8834,5.2208,9460.89,3.5767,3.2917,301.5
2025-04-06,no_entry,9460.89,0.0,0.0,0.0,0.0,0.0,0.0,9460.89,0.0,0.0,0.0
2025-04-07,no_entry,9460.89,0.0,0.0,0.0,0.0,0.0,0.0,9460.89,0.0,0.0,0.0
2025-04-08,no_entry,9460.89,0.0,0.0,0.0,0.0,0.0,0.0,9460.89,0.0,0.0,0.0
2025-04-09,no_entry,9460.89,0.0,0.0,0.0,0.0,0.0,0.0,9460.89,0.0,0.0,0.0
2025-04-10,active,9460.89,9460.89,2.85,26963.53,53927.05,21.5708,5.3927,9035.54,-4.2109,-4.4959,-425.35
2025-04-11,no_entry,9035.54,0.0,0.0,0.0,0.0,0.0,0.0,9035.54,0.0,0.0,0.0
2025-04-12,active,9035.54,9035.54,2.85,25751.28,51502.56,20.601,5.1503,11163.88,23.8402,23.5552,2128.34
2025-04-13,active,11163.88,11163.88,2.85,31817.06,63634.11,25.4536,6.3634,10764.58,-3.2918,-3.5768,-399.3
2025-04-14,no_entry,10764.58,0.0,0.0,0.0,0.0,0.0,0.0,10764.58,0.0,0.0,0.0
2025-04-15,no_entry,10764.58,0.0,0.0,0.0,0.0,0.0,0.0,10764.58,0.0,0.0,0.0
2025-04-16,no_entry,10764.58,0.0,0.0,0.0,0.0,0.0,0.0,10764.58,0.0,0.0,0.0
2025-04-17,active,10764.58,10764.58,2.85,30679.04,61358.08,24.5432,6.1358,12765.62,18.8741,18.5891,2001.04
2025-04-18,no_entry,12765.62,0.0,0.0,0.0,0.0,0.0,0.0,12765.62,0.0,0.0,0.0
2025-04-19,active,12765.62,12765.62,2.85,36382.01,72764.01,29.1056,7.2764,15536.11,21.9877,21.7027,2770.49
2025-04-20,no_entry,15536.11,0.0,0.0,0.0,0.0,0.0,0.0,15536.11,0.0,0.0,0.0
2025-04-21,no_entry,15536.11,0.0,0.0,0.0,0.0,0.0,0.0,15536.11,0.0,0.0,0.0
2025-04-22,no_entry,15536.11,0.0,0.0,0.0,0.0,0.0,0.0,15536.11,0.0,0.0,0.0
