date,col_name,n_deployed,n_eligible,n_dropped,deployed,eligible,dropped,drop_reasons
2025-02-13,Bt_20250213_060000,7,7,0,CAKE|NFP|PEOPLE|RUNE|THE|UXLINK|ZEN,CAKE|NFP|PEOPLE|RUNE|THE|UXLINK|ZEN,,
2025-02-14,Bt_20250214_060000,6,6,0,ALPACA|FARTCOIN|HEI|POPCAT|SYN|VVV,ALPACA|FARTCOIN|HEI|POPCAT|SYN|VVV,,
2025-02-15,Bt_20250215_060000,5,5,0,CAKE|LISTA|RATS|SWELL|XMR,CAKE|LISTA|RATS|SWELL|XMR,,
2025-02-16,Bt_20250216_060000,8,8,0,ALCH|HEI|HIVE|LISTA|PIPPIN|TNSR|TROY|X,ALCH|HEI|HIVE|LISTA|PIPPIN|TNSR|TROY|X,,
2025-02-17,Bt_20250217_060000,10,10,0,ARK|ID|NULS|POWR|RATS|SONIC|STORJ|SXP|USTC|ZRX,ARK|ID|NULS|POWR|RATS|SONIC|STORJ|SXP|USTC|ZRX,,
2025-02-18,Bt_20250218_060000,8,8,0,ACH|CFX|IP|LISTA|QTUM|SHELL|STORJ|SXP,ACH|CFX|IP|LISTA|QTUM|SHELL|STORJ|SXP,,
2025-02-19,Bt_20250219_060000,9,9,0,ARK|BERA|GPS|IP|KOMA|LOKA|MKR|S|THE,ARK|BERA|GPS|IP|KOMA|LOKA|MKR|S|THE,,
2025-02-20,Bt_20250220_060000,7,7,0,ARC|BERA|BRETT|GPS|IP|RDNT|TAO,ARC|BERA|BRETT|GPS|IP|RDNT|TAO,,
2025-02-21,Bt_20250221_060000,9,9,0,ACE|ARKM|ASTR|BIGTIME|JTO|LISTA|LTC|ME|MOVR,ACE|ARKM|ASTR|BIGTIME|JTO|LISTA|LTC|ME|MOVR,,
2025-02-22,Bt_20250222_060000,8,8,0,AI16Z|ALCH|ARC|AVA|BAN|KAITO|RUNE|SEI,AI16Z|ALCH|ARC|AVA|BAN|KAITO|RUNE|SEI,,
2025-02-23,Bt_20250223_060000,6,6,0,ANIME|GLM|MKR|MOCA|PROM|VELODROME,ANIME|GLM|MKR|MOCA|PROM|VELODROME,,
2025-02-24,Bt_20250224_060000,7,7,0,AIXBT|ANIME|AUCTION|AVAAI|CATI|KAITO|RATS,AIXBT|ANIME|AUCTION|AVAAI|CATI|KAITO|RATS,,
2025-02-25,Bt_20250225_060000,4,4,0,ALCH|AUCTION|LAYER|REZ,ALCH|AUCTION|LAYER|REZ,,
2025-02-26,Bt_20250226_060000,7,6,1,ALCH|BSW|DEGO|G|LPT|MOVE|RUNE,ALCH|BSW|DEGO|LPT|MOVE|RUNE,G,too_young_-203d
2025-02-27,Bt_20250227_060000,3,3,0,AEVO|SAFE|SHELL,AEVO|SAFE|SHELL,,
2025-02-28,Bt_20250228_060000,2,2,0,CATI|CKB,CATI|CKB,,
2025-03-01,Bt_20250301_060000,3,3,0,ALGO|MELANIA|TRUMP,ALGO|MELANIA|TRUMP,,
2025-03-02,Bt_20250302_060000,3,3,0,HIVE|KAITO|LAYER,HIVE|KAITO|LAYER,,
2025-03-03,Bt_20250303_060000,3,3,0,AVAAI|BADGER|NEIROETH,AVAAI|BADGER|NEIROETH,,
2025-03-04,Bt_20250304_060000,4,4,0,GPS|SOLV|TRX|UXLINK,GPS|SOLV|TRX|UXLINK,,
2025-03-05,Bt_20250305_060000,4,4,0,ALCH|BCH|KAITO|LUMIA,ALCH|BCH|KAITO|LUMIA,,
2025-03-06,Bt_20250306_060000,7,7,0,AERO|DF|DOGE|ENA|LTC|MOVE|OP,AERO|DF|DOGE|ENA|LTC|MOVE|OP,,
2025-03-07,Bt_20250307_060000,4,4,0,AUCTION|REZ|SHELL|SOLV,AUCTION|REZ|SHELL|SOLV,,
2025-03-08,Bt_20250308_060000,3,3,0,PNUT|RED|SPX,PNUT|RED|SPX,,
2025-03-09,Bt_20250309_060000,4,4,0,B3|HIPPO|LQTY|VINE,B3|HIPPO|LQTY|VINE,,
2025-03-10,Bt_20250310_060000,4,4,0,CATI|ENA|IP|MYRO,CATI|ENA|IP|MYRO,,
2025-03-11,Bt_20250311_060000,6,6,0,AKT|B3|IOTX|LISTA|QUICK|RARE,AKT|B3|IOTX|LISTA|QUICK|RARE,,
2025-03-12,Bt_20250312_060000,9,9,0,AKT|ALPACA|ID|LAYER|MYRO|RONIN|VANRY|VVV|ZETA,AKT|ALPACA|ID|LAYER|MYRO|RONIN|VANRY|VVV|ZETA,,
2025-03-13,Bt_20250313_060000,8,8,0,AVAAI|GLM|HEI|KAITO|LAYER|RED|SOLV|TRUMP,AVAAI|GLM|HEI|KAITO|LAYER|RED|SOLV|TRUMP,,
2025-03-14,Bt_20250314_060000,7,7,0,FXS|HEI|PENGU|PEPE|S|TROY|TRUMP,FXS|HEI|PENGU|PEPE|S|TROY|TRUMP,,
2025-03-15,Bt_20250315_060000,9,9,0,ARC|AXL|CAKE|DRIFT|FXS|GMX|RED|TST|ZRO,ARC|AXL|CAKE|DRIFT|FXS|GMX|RED|TST|ZRO,,
2025-03-16,Bt_20250316_060000,6,6,0,BNX|FXS|METIS|SAGA|VVV|ZRO,BNX|FXS|METIS|SAGA|VVV|ZRO,,
2025-03-17,Bt_20250317_060000,10,10,0,BAKE|BERA|BSW|CAKE|DF|DRIFT|MOG|SAFE|SHELL|THE,BAKE|BERA|BSW|CAKE|DF|DRIFT|MOG|SAFE|SHELL|THE,,
2025-03-18,Bt_20250318_060000,8,8,0,AERGO|ARK|BIGTIME|BMT|KOMA|MUBARAK|UMA|UXLINK,AERGO|ARK|BIGTIME|BMT|KOMA|MUBARAK|UMA|UXLINK,,
2025-03-19,Bt_20250319_060000,8,8,0,API3|AVAAI|EOS|FLM|GMT|MKR|RED|SWELL,API3|AVAAI|EOS|FLM|GMT|MKR|RED|SWELL,,
2025-03-20,Bt_20250320_060000,5,5,0,BANANA|CAKE|FXS|VANA|VIDT,BANANA|CAKE|FXS|VANA|VIDT,,
2025-03-21,Bt_20250321_060000,9,9,0,ACH|DOGS|LISTA|ORCA|TUT|VANA|VELODROME|X|ZRO,ACH|DOGS|LISTA|ORCA|TUT|VANA|VELODROME|X|ZRO,,
2025-03-22,Bt_20250322_060000,7,6,1,ACX|ALT|DOGS|G|MOCA|PENDLE|ZETA,ACX|ALT|DOGS|MOCA|PENDLE|ZETA,G,too_young_-179d
2025-03-23,Bt_20250323_060000,5,5,0,CYBER|ILV|OMNI|PEPE|W,CYBER|ILV|OMNI|PEPE|W,,
2025-03-24,Bt_20250324_060000,6,6,0,AKT|ANKR|BR|BROCCOLI714|GRIFFAIN|ZETA,AKT|ANKR|BR|BROCCOLI714|GRIFFAIN|ZETA,,
2025-03-25,Bt_20250325_060000,9,9,0,ARK|BANANAS31|BEAMX|CAKE|HIVE|LAYER|POLYX|RED|SIREN,ARK|BANANAS31|BEAMX|CAKE|HIVE|LAYER|POLYX|RED|SIREN,,
2025-03-26,Bt_20250326_060000,6,5,1,BANANAS31|MEW|PARTI|SHIB|SUPER|WHY,BANANAS31|MEW|PARTI|SHIB|SUPER|WHY,WHY,no_parquet_data
2025-03-27,Bt_20250327_060000,10,10,0,CETUS|CRV|LINA|MKR|MUBARAK|ORCA|PARTI|SAFE|TUT|ZRO,CETUS|CRV|LINA|MKR|MUBARAK|ORCA|PARTI|SAFE|TUT|ZRO,,
2025-03-28,Bt_20250328_060000,4,4,0,API3|ORCA|PAXG|VIDT,API3|ORCA|PAXG|VIDT,,
